ئافرىقا	Afrique
ئۆزبېك تىلى	Ouzbek
تۈركمەن تىلى	Turkmène
يەھۇدى دىنى	Judaïsme
تىمپۇ	Thimphou
باندار سەرى بەگاۋان	Bandar Seri Begawan
ئىبرانى تىلى	Hébreu
ئەزەربەيجان تىلى	Azéri
ماكېدون تىلى	Macédonien
سېرب تىلى	Serbe
سېربو-كرودىيىلىكلەر تىلى	Serbo-croate
بوسنىيە تىلى	Bosnien
گالىسىيەچە	Galicien
ۋېلش تىلى	Gallois
دىلى	Dili
شوتلاندىيە گائېل تىلى	Gaélique écossais
Wyéntyan	Vientiane
مالې	Malé
Bishkek	Bichkek
Düshenbe	Douchanbé
جىگەر	Foie
تلا	Rate
بۆرەك	Rein
دوۋساق	Vessie
نېرۋا سىستىمېسى	Système nerveux
ئوكيانىيە	Océan
مۇھەممەد ئەلەيھىسسالام	Mahomet
ئىمام ئەلغازالىي	Al-Ghazâlî
رىچارد نىكسون	Richard Nixon
قورساق قىسم	Abdomen
داۋجياۋ دىنى	Taoïsme
سوپىزم (تەسەۋۋۇپ)	Soufisme
ۋېنا تومۇرى	Veine
بېنگال تىلى	Bengali
تىل	Langue (anatomie humaine)
پانكرېئاتىت	Pancréas
بويۇن	Cou
ئېغىز بوشلۇقى	Bouche
بوغۇز	Larynx
فالكلاند تاقىم ئاراللىرى	Îles Malouines
سازاڭسىمان ئۆسۈكچە	Appendice iléo-cæcal
ئېلىزابېت II	Élisabeth II
تاڭ سۇلالىسى	Dynastie Tang
كېننېدى	John Fitzgerald Kennedy
تاڭ تەيزوڭ	Tang Taizong
بالزاك	Honoré de Balzac
مىڭ سۇلالىسى	Dynastie Ming
جۇ يۈەنجاڭ	Ming Hongwu
رېگان	Ronald Reagan
زۇلۇچە	Zoulou
زازا تىلى	Zazaki
پلازما	État plasma
رىم گىلادىئاتورلار مەيدانى	Colisée
Saragossa	Saragosse
Bélfast	Belfast
ئېلېمېنتلارنىڭ دەۋرىي جەەدۋىلى	Tableau périodique des éléments
قۇرۇق ئۈزۈم	Raisin
ھەسەل	Miel
شېكەر	Sucre
روبوت	Robot
ماشىنىسازلىق	Machine
ئايلىنىش سىستېمىسى	Appareil cardiovasculaire
ئىچكى ئاجراتما سىستېمىسى	Système endocrinien
كىسلاتا	Acide
سارايېۋو	Sarajevo
تۇز	Sel alimentaire
فۇنكسىيە	Fonction (mathématiques)
مولېكۇلا	Molécule
ئېنېرگىيە	Énergie
ئىنفرا قىزىل نۇر	Infrarouge
ماسسا	Masse
مېتال	Métal
پولات	Acier
نانو تېخنىكىسى	Nanotechnologie
ئەينەك	Verre
ۋاكۇئۇم	Vide
ئېلېكترون ئىلمى	Électronique
.توك (توك ئېقىمى)	Courant électrique
ئىككى پۇتلۇق لامپا	Diode
ئامېرىكىغا قاراشلىق ۋىرگىن تاقىم ئاراللىرى	Îles Vierges des États-Unis
شېنياڭ شەھىرى	Shenyang
چۇڭچىڭ شەھىرى	Chongqing
تيەنجىن شەھىرى	Tianjin
Lahor	Lahore
ۋۇخەن شەھىرى	Wuhan
نۆۋەتتىكى ھادىسە	Liste des pays du monde
ناگويا	Nagoya
تاش قورال دەۋرى	Âge de la pierre
ئېيىق	Ursidae
فوتوسىنتېز رولى	Photosynthèse
برېتون تىلى	Breton
پىرېنېي تاغلىرى	Pyrénées
Détroyt	Détroit (Michigan)
بۇرج دۇبەي	Burj Khalifa
Sedichin Sépili	Grande Muraille
ئاياسوڧيا	Sainte-Sophie (Constantinople)
ئابباسىيلار خاندانلىقى	Califat abbasside
سەلىپنىڭ شەرققە يۈرۈش قىلىشى	Croisades
موڭغۇل ئىمپېرىيىسى	Empire mongol
ئوسمان ئىمپېرىيىسى	Empire ottoman
ئىسپانىيە-ئامېرىكا ئۇرۇشى	Guerre hispano-américaine
مىللى دارامەت	Produit intérieur brut
ئېلېكتر	Électricité
يادرو ئېنېرگىيىسى	Énergie nucléaire
ھور ماشىنىسى	Machine à vapeur
Antwérp	Anvers
باش سۆڭىكى	Crâne
ئانار	Grenade (fruit)
ئاپېلسىن	Orange (fruit)
دۇنيا تىلى	Romanche
جۇاڭزۇ تىلى	Zhuang (langue)
شىبە تىلى	Xibe (langue)
ئۇيغۇر تىلى	Ouïghour
سىنگال تىلى	Cingalais
ناخۇئاتل تىلى	Nahuatl
مونتسەررات	Montserrat (Antilles)
خارۋارد ئۇنىۋېرسىتېتى	Université Harvard
Pisa	Pise
باشقۇرتچە	Bachkir
قېلىپ:Location map Earth	Modèle:Géolocalisation/Terre
باغلانغان ئۆردەك	Le Canard enchaîné
ئەرەب تىلى	Arabe
كيۇسيۇ ئارىلى	Kyūshū
خونسيو ئارىلى	Honshū
شىكوكۇ	Shikoku
كورسىكا ئارىلى	Corse
ئاڧرىقانچە	Afrikaans
بۆرە بورسۇق	Gulo gulo
ئاۋمېن	Macao
خۇ جىنتاۋ	Hu Jintao
شى جىنپىڭ	Xi Jinping
زىراپە	Girafe
شېنجېن شەھىرى	Shenzhen
گۇئاڭدوڭ ئۆلكىسى	Guangdong
گۇاڭشى جۇاڭزۇ ئاپتونۇم رايونى	Guangxi
سوۋېت ئىتتىپاقى	Union des républiques socialistes soviétiques
شياڭگاڭ ئۇنىۋېرستېتى	Université de Hong Kong
شياڭگاڭ جۇڭگو تىللىرى ئۇنۋېرسىتېتى	Université chinoise de Hong Kong
رۇبلى	Rouble
پۇت	Pied (anatomie humaine)
دولا	Épaule
قالقانبەز	Glande thyroïde
Wikipedia:Tor Jamiyeti	Wikipédia:Le Bistro
Wérmont Shitati	Vermont
San Diyégo	San Diego
San Xosé	San José (Californie)
Dénwér	Denver
Hyuston	Houston
Féniks	Phoenix (Arizona)
Dallas	Dallas
Austin	Austin (Texas)
Mémfis, Ténnéssi	Memphis (Tennessee)
Sharlot	Charlotte (Caroline du Nord)
Kolumbu, Oxéo	Columbus (Ohio)
گۇاڭجۇ شەھىرى	Canton (Chine)
جىياڭ جىشى	Tchang Kaï-chek
ۋېن جىياباۋ	Wen Jiabao
Guam Aril	Guam
ئامېرىكىغا قاراشلىق ساموئا	Samoa américaines
شىمالىي مارىئانا فېدېراتسىيىسى	Îles Mariannes du Nord
نەنجىڭ شەھىرى	Nankin
بېيجىڭ ئۇنىۋېرسىتېتى	Université de Pékin
ئۈرۈمچى شەھىرى	Ürümqi
جياڭسۇ ئۆلكىسى	Jiangsu
جېجياڭ ئۆلكىسى	Zhejiang
گۇئادەلوپە	Guadeloupe
مارتىنىكا	Martinique
شىزاڭ ئاپتونوم رايونى	Région autonome du Tibet
دالاي لاما	Tenzin Gyatso
تۆگىقۇش	Autruche d'Afrique
Sakraménto	Sacramento
چاۋشيەن	Corée
لى كېچياڭ	Li Keqiang
Manchéstér	Manchester
تۇركس ۋە كايكوس تاقىم ئاراللىرى	Îles Turques-et-Caïques
ۋىتامىن A	Vitamine A
ياۋروپا چىمپيونلۇق لوڭقىسى	Ligue des champions de l'UEFA
پالمىزارلىق ئىپار مۈشۈكى	Paradoxurus hermaphroditus
Pyongyang	Pyongyang
New Testament	Nouveau Testament
ئادالەت ۋە تەرەققىيات پارتىيىسى	Parti pour la justice et le développement (Turquie)
گۈللىنىش پارتىيىسى	Parti républicain du peuple (Turquie)
مىللى دارامەت بويىچە دۆلەت تەرتىپى	Liste des pays par PIB nominal
خېيلوڭجياڭ ئۆلكىسى	Heilongjiang
ما يىنجىئۇ	Ma Ying-jeou
بۇخارېست	Bucarest
پوئىرتورىكان مۇستەقىللىق پارتىيىسى	Parti indépendantiste portoricain
Tirana	Tirana
ئېشەك	Âne commun
سىچۈەن ئۆلكىسى	Sichuan
مۇھەممەر قەززافى	Mouammar Kadhafi
بارس	Tigre
چۆپ ئاش	Vermicelle
سامسۇڭ گۇرۇھى	Groupe Samsung
شىمالىي ياۋروپا	Scandinavie
كىشىنېۋ	Chișinău
بیلگیسايار مۈھەندیسلیغی	Informatique
Şalom	Şalom
ئارۇبا	Aruba
خېبېي ئۆلكىسى	Hebei
پرىنسېتون ئۇنىۋېرستېتى	Université de Princeton
نېفىت	Pétrole
پېنسىلۋانىيە نېمىس تىلى	Allemand de Pennsylvanie
پرژىۋالسكى ياۋا ئات	Cheval de Przewalski
قوي	Ovis
ئىرلاندىيە	Irlande (île)
Chéshir	Cheshire (comté)
Nortumbér Wilayiti	Northumberland (comté)
Staffordshir	Staffordshire
ﻟﯘﺷﯜﻥ	Lu Xun (écrivain)
Shimaliy Amptonshir	Northamptonshire
Bédfordshir	Bedfordshire
Kornwél	Cornouailles
Bristol	Bristol (Angleterre)
Déwonshir	Devon (comté)
خالتىلىق چاشقانلار ئائىلىسى	Macropodidae
Nashwil	Nashville
Xampishir	Hampshire (comté)
Bérkshir	Berkshire
Bukkinxamshir	Buckinghamshire
Ésséks	Essex (comté)
Ként	Kent
Ulanbatur	Oulan-Bator
ئېرنېست ھېمىڭۋاي	Ernest Hemingway
Idinburg	Édimbourg
ئاشخاباد	Achgabat
پىياز	Oignon
پەمىدۇر	Tomate
جورج بۇش	George H. W. Bush
بالقانلار	Balkans
پروتېستانت دىنى	Protestantisme
سەلەنا	Selena
Atlanta	Atlanta
بېرمۇدا	Bermudes
باش	Tête (anatomie)
ۋېللىنگتون	Wellington
روبوتلارنىڭ ئۈچ قانۇنى	Trois lois de la robotique
ئالفېرد نوبىل	Alfred Nobel
لیلا چڑھاو	Lila Downs
907-يىلى	907
Wankuwér	Vancouver
Liwérpol	Liverpool
Brémén	Brême
يېڭى نورۋېگىيە تىلى	Nynorsk
پوند ستېرلىڭ	Livre sterling
ئانگۋىللا	Anguilla
فائېروس تىل	Féroïen
مۈشۈك ئائىلىسى	Felidae
ISO 3166-1	ISO 3166-1
تاتار تىلى	Tatar
ئەنگلىيىگە قاراشلىق ۋىرگىن تاقىم ئاراللىرى	Îles Vierges britanniques
كىچىك سېسىق كۈزەنى	Belette
فرىزانچە	Frison (langue)
ئاق ئاغمىخان	Hermine
قارشىلىق	Résistance (électricité)
ناۋاسسا ئاراللىرى	Île de la Navasse
سېنت بارتھېلەمي ئاراللىرى	Saint-Barthélemy (Antilles françaises)
شىمالىي گېرمانىيە دىئالېكتى	Bas allemand
ئاغمىخان ئائىلىسى	Mustelidae
ساينت مارتىن	Saint-Martin (île)
بۆكەن	Antilope
قارا بۇلغۇن	Zibeline
سۈنئىي ھەمراھ	Satellite artificiel
قوتاز	Yak
ب م ۋ	Bayerische Motoren Werke
Kuk Taqim Aralliri	Îles Cook
رەشىدە داتى	Rachida Dati
شەرقىي ئاسىيا	Asie de l'Est
ئوتتۇرا ئاسىيا	Asie centrale
ئاق تۆش بۇلغۇن	Fouine
ياۋا ئات	Equus ferus
ئامخارا تىلى	Amharique
Képinek	Lepidoptera
چاچ	Poil
ھىجرىيە كالېندارى	Calendrier musulman
جيامۇسى شەھىرى	Jiamusi
كەبەك	Kebek
دىرىخلې	Johann Peter Gustav Lejeune Dirichlet
ئاستۇرىيە تىلى	Asturien
خىتاي	Monde chinois
قاما	Loutre d'Europe
چېڭدۇ شەھىر	Chengdu
يىلپىز	Once (félin)
جېڭجۇ شەھىرى	Zhengzhou
تېرېسا ئانا	Mère Teresa
DELL شىركىتى	Dell
فرانسىيىگە قاراشلىق پولىنېزىيە	Polynésie française
618-يىلى	618
روژدېستۋو ئاراللىرى	Île Christmas (Australie)
Krakow	Cracovie
بېيجىڭ پايتەخت ئايروپورتى	Aéroport international de Pékin
تىراختور	Tractor Sazi
ۋېنىسىيە تىلى	Vénitien
تەيۋەن ئۇنۋېرسىتې	Université nationale de Taïwan
جامى	Mosquée
دۇڭشياڭ تىلى	Dongxiang (langue)
تۇڭگان تىلى	Doungane (langue)
كورسىكا تىلى	Corse (langue)
فىلىپىنچە	Filipino
چۇۋاش تىلى	Tchouvache
قرىم تاتار تىلى	Tatar de Crimée
ھايتى كرېئول تىلى	Créole haïtien
قارا قالپاق تىلى	Karakalpak
ياۋا تىلى	Javanais
مۈشۈكئېيىق	Panda géant
قالماق تىلى	Kalmouk
مانجۇ تىلى	Mandchou
كانناداچە	Kannada
مۇڭغۇل تىللىرى	Langues mongoles
پوچېركا	Main
دۇفۇ	Du Fu
يېڭى كالېدونىيە	Nouvelle-Calédonie
ئورىياچە	Oriya
نېپال تىلى	Népalais
نېئاپول تىلى	Napolitain
نورمان تىلى	Normand
تېئودور روزېۋېلت	Theodore Roosevelt
تېلاۋىف	Tel Aviv-Jaffa
Nis	Nice
سالار تىلى	Salar (langue)
سىتسىلىيە تىلى	Sicilien
ساردىنىيە تىلى	Sarde
ژىيۇل ۋېرن	Jules Verne
سىندى تىلى	Sindhi
سۇندا تىلى	Soundanais
شونا تىلى	Shona (langue)
Niué Arili	Niue
تاگالوگ تىلى	Tagalog
تۈركى تىللار ئائىلىسى	Langues turques
تونگاچە	Tongien
ئۇرال تىللىرى	Langues ouraliennes
تىگرىنىيەچە	Tigrigna
Oksford	Oxford
غەربىي يۇغۇر تىلى	Yugur occidental
تۇنگۇس مانجۇ تىللىرى	Langues toungouses
زاڭزۇ تىلى	Tibétain
سارى ئۇغۇر	Yugur
ۋۇ تىلى	Wu (langue)
ۋىلسون	Woodrow Wilson
ياقۇت تىلى	Iakoute
يورۇباچە	Yoruba (langue)
سېسوتوچە	Sotho du Sud
Rottérdam	Rotterdam
Yéngi Orléan	La Nouvelle-Orléans
فۇشەن شەھىر	Foshan
ئوكسفورد ئۇنىۋېرسىتېتى	Université d'Oxford
ئەھمىدى نىجات	Mahmoud Ahmadinejad
Saynt Xéléna Arili	Sainte-Hélène (île)
بارماق	Doigt
ساينت پىئېر ئارىلى ۋە مىكېلون تاقىم ئاراللىرى	Saint-Pierre-et-Miquelon
ئون پەرھىز	Décalogue
Yohannésburg	Johannesburg
قاپلان	Léopard
Saltzburg	Salzbourg
X نۇرى	Rayon X
شىنجاڭ ئۇيغۇر ئاپتونوم رايونى	Xinjiang
Albukwér kwé	Albuquerque
Oklaxoma Shehiri	Oklahoma City
برىسبان	Brisbane
ئىسساك ئاسىموۋ	Isaac Asimov
جەنۇبىي گىئورگىيە ۋە ساندۋىچ ئاراللىرى	Géorgie du Sud-et-les Îles Sandwich du Sud
كۇۋائىت شەھىرى	Koweït (ville)
ئەرەبلەر	Arabes
سۇمېرلار	Sumer
كولومبو	Colombo
ئالمۇتا	Almaty
قانداغاي	Alces alces
ۋاللىس ۋە فۇتۇنا تاقىم ئاراللىرى	Wallis-et-Futuna
تاتار مىللىتى	Tatars
خوككايدو ئارىلى	Hokkaidō
ئۇرال تاغلىرى	Oural
ماددا	Matière
ئوساكا	Osaka
كامبرىج ئۇنىۋېرستېتى	Université de Cambridge
ئاكا-ئۇكا رايتلار	Orville et Wilbur Wright
گۇئارانچە	Guarani (langue)
شور دېڭىز	Mer d'Aral
ئىستانبۇل بوغازى	Bosphore
Izmir	Izmir
كەئەلىڭ كوكوس تاقىم ئاراللىرى	Îles Cocos
مېرسېدېس - بېنز	Mercedes-Benz
كۋېنسلاند	Queensland
Minnéapolis	Minneapolis
دەرەخ خالتىلىق ئېيىقى	Koala
2011-يىلدىكى ياپونىيە يەر تەۋرەش ۋە دېڭىز تاشقىنى	Séisme de 2011 de la côte Pacifique du Tōhoku
لىنگالاچە	Lingala
مالايالامچە	Malayalam
يىپەك يولى	Route de la soie
Kalgari	Calgary
ئوستىيىن	Jane Austen
قوڭۇر ئېيىق	Ours brun
كۇرد تىلى	Kurde
مولداۋىيە تىلى	Moldave
يېڭى تاش قۇرال دەۋرى	Néolithique
مورېسبى پورتى	Port Moresby
خىمىيىلىك رېئاكسىيە	Réaction chimique
لاھەي	La Haye
جۇاڭزۇ مىللىتى	Zhuang (ethnie)
ئوسمانلى تۈركچىسى	Turc ottoman
يۇھاننا بايان قىلغان خۇش خەۋەر	Évangile selon Jean
توكېلاۋ تاقىم ئاراللىرى	Tokelau
چاغاتاي ئۇيغۇر يېزىقى	Tchaghataï (langue)
تۋىچە	Twi
چېڭلۇڭ	Jackie Chan
توخار تىلى	Langues tokhariennes
ئېلان	Publicité
Zeytun	Olivier
ئاۋكلاند	Auckland
سەككىز دۆلەت گۇرۇھى (G8)	Groupe des sept (économie)
ئاۋكادۇر	Avocatier
قىزىل قان دانىچىلىرى	Érythrocyte
ئوقۇتقۇچى	Instituteur
تىز	Genou
ئۆرۈك	Abricotier
گلۇكوزا	Glucose
Sint-Truiden	Saint-Trond
ئالتاي تىللىرى سىستېمىسى	Langues altaïques
ناتالىيە پورتمەن	Natalie Portman
Ran'gon	Rangoun
ناگاساكى	Nagasaki
يوكوخاما	Yokohama
ئادانا	Adana
لازېر نۇرى	Laser
Lyuju shehiri	Liuzhou
خەلق پۇلى يۈەنى	Yuan
Ritis	Leeds
رەجەپ تاييىپ ئەردوغان	Recep Tayyip Erdoğan
قىزغۇچ سېرىق	Orange (couleur)
شىمال بۇغىسى	Rangifer tarandus
لۇقا بايان قىلغان خۇش خەۋەر	Évangile selon Luc
كونا تاش قۇرال دەۋرى	Paléolithique
ئانتاليا ۋىلايىتى	Antalya (province)
ھەزرىتى ئەيسا ئەلچىلىرىنىڭ پائالىيەتلىرى	Actes des Apôtres
پەرۋەز مۇشەررەڧ	Pervez Musharraf
ئادانا ۋىلايىتى	Adana (province)
تاشقا ئايلانغان جىسىم	Fossile
بۇرسا	Bursa
ئۇرۇق	Graine
ئەنخۇي ئۆلكىسى	Anhui
خەلقئارا ئولىمپىك كومىتىتى	Comité international olympique
ماڭلاي	Front (anatomie)
ئىچكى موڭغۇل ئاپتونوم رايونى	Mongolie-Intérieure
Nottingxam	Nottingham
راكېتا	Fusée (astronautique)
كۇردىستان	Kurdistan
ستانفورد ئۇنىۋېرستېتى	Université Stanford
فۇجيەن ئۆلكىسى	Fujian
Kanzas Shehiri, Missuri	Kansas City (Missouri)
كىچىك مۈشۈكئېيىق	Ailurus fulgens
موڭغۇل مىللىتى	Mongols
ۋەھىيلەر	Apocalypse
Sirtlan	Hyaenidae
كاسا	Fesse
خەينەن ئۆلكىسى	Haïnan
رىمان	Bernhard Riemann
گەنسۇ ئۆلكىسى	Gansu
ئاق قان ھۈجەيرىسى	Leucocyte
ئەنگلىيىلىكلەر	Anglais (peuple)
ئاناتول فرانس	Anatole France
ئوتلاق ياۋا مۈشۈكى	Felis silvestris lybica
جەينەك	Coude
سۇجۇ شەھىرى	Suzhou
جاڭگال مولۇنى	Chaus
بېنگال مولۇنى تاغ مۈشۈكى	Chat-léopard
Wénju shehiri	Wenzhou
ۋۇشى شەھىرى	Wuxi
Shawshin shehiri	Shaoxing
خەنزۇ مىللىتى	Han (ethnie)
نىڭبو شەھىرى	Ningbo
ئابدۇللاھ گۈل	Abdullah Gül
نېمىسلار	Allemands
خاربىن شەھىرى	Harbin
Orkéstr	Orchestre
تۈرك قەھۋەسى	Café turc
قىزىل ياقۇت	Rubis
كەشمىر	Cachemire
گالاتا ساراي	Galatasaray Spor Kulübü
كەۋىن رۇد	Kevin Rudd
يۈننەن ئۆلكىسى	Yunnan
مالكولم X	Malcolm X
مەۋلانا جالالىددىن رۇمى	Djalâl ad-Dîn Rûmî
Plimowt	Plymouth (Angleterre)
شەندۇڭ ئۆلكىسى	Shandong
قول	Bras (segment de membre)
Dérbi	Derby (Angleterre)
ياقۇت رەڭلىك	Émeraude
كىرىستال	Cristal
خېنەن ئۆلكىسى	Henan
بۇرسا ۋىلايىتى	Bursa (province)
ئارتۋىن ۋىلايىتى	Artvin (province)
كىندىك	Nombril
ئادىيامان ۋىلايىتى	Adıyaman (province)
لياۋنىڭ ئۆلكىسى	Liaoning
خىمىيىلىك باغ	Liaison chimique
GNU	GNU
توچىگى ناھىيىسى	Préfecture de Tochigi
سېمونت	Ciment
جىلىن ئۆلكىسى	Jilin
ئافيون قاراھىسار ۋىلايىتى	Afyonkarahisar (province)
بېربېرلار	Berbères
ئېچىتقۇ	Levure
خۇنەن ئۆلكىسى	Hunan
ھونلار	Huns
چىڭخەي ئۆلكىسى	Qinghai
ئۇيغۇر مىللىتى	Ouïghours
بىلەجىك ۋىلايىتى	Bilecik (province)
خۇبېي ئۆلكىسى	Hubei
شەنشى ئۆلكىسى	Shanxi
يۈز	Joue
قوڭۇر رەڭلىك	Brun (couleur)
گۇيلىن ئۆلكىسى	Guizhou
بالىكەسىر ۋىلايىتى	Balıkesir (province)
كيوتو كىلىشىمنامىسى	Protocole de Kyoto
ئانىلار بايرىمى	Fête des Mères
خەلقئارا ئىسلام كېڭىشى تەشكىلاتى	Organisation de la coopération islamique
چاناققالە ۋىلايىتى	Çanakkale (province)
مىياگى ناھىيىسى	Préfecture de Miyagi
Luknow	Lucknow
شېنشى ئۆلكىسى	Shaanxi
رىملىقلارغا يېزىلغان خەت	Épître aux Romains
مالىكىي مەزھىبى	Malikisme
ئوقۇغۇچى	Étudiant
Kobe	Kobe
ئىۋاتە ناھىيىسى	Préfecture d'Iwate
كولۇمبىيە ئۇنىۋېرستېتى	Université Columbia
بوستون ئۇنىۋېرستېتى	Université de Boston
يالې ئۇنىۋېرسىتېتى	Université Yale
پېنسىلۋانىيە ئۇنىۋېرستېتى	Université de Pennsylvanie
Portland, Méané	Portland (Maine)
نيۇيورك ئۇنىۋېرستېتى	Université de New York
ئىتاليانلار	Italiens
پارىژ مېتروسى	Métro de Paris
پىرىت	Pyrite
فىلىپىلىكلەرگە يېزىلغان خەت	Épître aux Philippiens
ئېگىزلىك گېرمان تىلى	Haut allemand
قېلىپ:Taxobox	Modèle:Taxobox
قارا ئېقىم	Kuroshio
خەلق گېزىتى	Le Quotidien du Peuple
جياڭشى ئۆلكىسى	Jiangxi
ئىلھام ئالىيېۋ	Ilham Aliyev
زاردارى	Asif Ali Zardari
نۇرسۇلتان نازاربايېۋ	Noursoultan Nazarbaïev
نىڭشيا خۇيزۇ ئاپتونۇم رايونى	Ningxia
ئىسلام كەرىموۋ	Islom Karimov
شۈجو شەھىرى	Xuzhou
Lyenyün'gang shehiri	Lianyungang
ساۋكات مىرزىيويەۋ	Shavkat Mirziyoyev
خۇەيئەن شەھىرى	Huai'an
Yangjo shehiri	Yangzhou
Teyju shehiri, Jyangsu	Taizhou (Jiangsu)
Nentung shehiri	Nantong
جاڭجياڭ شەھىرى	Zhenjiang
چاڭجو شەھىر	Changzhou
ئەھمەد داۋۇد ئوغلۇ	Ahmet Davutoğlu
تەيجۇ شەھىرى	Taizhou (Zhejiang)
جۇشەن شەھىرى	Zhoushan
شىجياجۇاڭ شەھىرى	Shijiazhuang
تاڭشەن شەھىرى	Tangshan
Chinxuangdaw shehiri	Qinhuangdao
خەندەن شەھىرى	Handan
Bawding shehiri	Baoding
پەنجاب تىلى	Pendjabi
پاشتوچە	Pachto
ساڭجو شەھىرى	Cangzhou
Langfang shehiri	Langfang
Juxey shehiri	Zhuhai
شەنتۇ شەھىرى	Shantou
Xuyjo shehiri	Huizhou
Dongwen shehiri	Dongguan
Jongshen shehiri	Zhongshan
Uyghurche Wikipédiye	Wikipédia en ouïghour
مىقدار سۆز	Adjectif numéral
ئۆت خالتىسى	Vésicule biliaire
Jaypur	Jaipur
فۇجو شەھىرى	Fuzhou
Nenping shehiri	Nanping
Putyen shehiri	Putian
Senming shehiri	Sanming
Chüenju shehiri	Quanzhou
شيامېن شەھىرى	Xiamen
Jyangju shehiri	Zhangzhou
Longyen shehiri	Longyan
Ningdé shehiri	Ningde
Shining shehiri	Xining
تاغىل سېسىق كۈزەن	Vormela peregusna
ئادەم ئەلەيھىسسالام	Adam
خۇئاڭشى شەھىرى	Huangshi
ئائومورى ناھىيىسى	Préfecture d'Aomori
فۇكۇشىما ناھىيىسى	Préfecture de Fukushima
تەييۈەن شەھىرى	Taiyuan
داتۇڭ شەھىر	Datong
داليەن شەھىرى	Dalian
ئەنشەن شەھىرى	Anshan (Liaoning)
يىڭكۇ شەھىرى	Yingkou
لياۋياڭ شەھەر	Liaoyang
يوزگات ۋىلايىتى	Yozgat (province)
چوڭ مېڭە پوستلاق ماددىسى	Cortex cérébral
ئوڭچى	Droite (politique)
كارل ۋون دونىتىز	Karl Dönitz
سۆسۈنە ياقۇت	Améthyste
بىنگۆل ۋىلايىتى	Bingöl (province)
تايغان بۇغا	Cerf élaphe
ئارداھان ۋىلايىتى	Ardahan (province)
ئايدىن ۋىلايىتى	Aydın (province)
ئاماسيا ۋىلايىتى	Amasya (province)
قازاق مىللىتى	Kazakhs
ئاغرى ۋىلايىتى	Ağrı (province)
بۇردۇر ۋىلايىتى	Burdur (province)
كورىنتلىقلارغا يېزىلغان بىرىنچى خەت	Première épître aux Corinthiens
باتمان ۋىلايىتى	Batman (province)
كۇرىل ئاراللىرى	Îles Kouriles
يېڭى يەر	Nouvelle-Zemble
Patna	Patna
سۇلتان ئاخمەت جامىي	Mosquée bleue
ۋان ۋىلايىتى	Van (province)
كونيا ۋىلايىتى	Konya (province)
ئاكىتا ناھىيىسى	Préfecture d'Akita
سېگولەن رويال	Ségolène Royal
بولۇ ۋىلايىتى	Bolu (province)
دېنىزلى ۋىلايىتى	Denizli (province)
شافىئىي مەزھىپى	Shafi'isme
گىپىس	Gypse
ئېڭەك	Menton (partie du visage)
ئامېرىكا ياۋا كالىسى	Bison d'Amérique du Nord
Léyséstér	Leicester
ساكاريا ۋىلايىتى	Sakarya (province)
ئاقساراي ۋىلايىتى	Aksaray (province)
قارس ۋىلايىتى	Kars (province)
دىيارباقىر ۋىلايىتى	Diyarbakır (province)
مور	Champignon
تەيبېي 101	Taipei 101
ئەدىرنە ۋىلايىتى	Edirne (province)
ظوسذث	Laitue cultivée
بىتلىس ۋىلايىتى	Bitlis (province)
ئىباراكى ناھىيىسى	Préfecture d'Ibaraki
ھاتاي ۋىلايىتى	Hatay
زىيا گۆكئالىپ	Ziya Gökalp
پان تۈركىزم	Panturquisme
يۇگوسلاۋىيە سوتسىيالىست فېدېرال جۇمھۇرىيىتى	République fédérative socialiste de Yougoslavie
تۈرك	Peuples turcs
بارتىن ۋىلايىتى	Bartın (province)
باش بارماق	Pouce (anatomie)
كوجائەلى ۋىلايىتى	Kocaeli (province)
تۈرك خاقانلىقى	Turcs (peuple)
سازاڭسىمان مەددە	Caenorhabditis elegans
چاڭچۈن شەھىرى	Changchun
جىلىن شەھىرى	Jilin (Jilin)
ئېمۇ قۇشى	Émeu d'Australie
خاككارى ۋىلايىتى	Hakkari (province)
راۋالپىندى	Rawalpindi
Emir Kusturica	Emir Kusturica
ماشىنىىسازلىق ئىنژىنىرلىقى	Génie mécanique
ئاينۇ مىللىتى	Aïnous (ethnie du Japon et de Russie)
ئورانگوتان	Hominoidea
يېشىل ياقۇت	Béryl
Markus bayan qilghan xush xewer	Évangile selon Marc
ئازۇرىت	Azurite (minéral)
بېلىز شەھىرى	Belize City
قۇشۇق ئارىلى	Kaşık Adası
مارشال	Maréchal (armée)
Chuju shehiri	Chuzhou
Rékazé shehiri	Shigatse
قىرىم	Tatars de Crimée
كىلون تېخنىكىسى	Clonage
پروڧېسسور	Professeur (titre)
كورىنتلىقلارغا يېزىلغان ئىككىنچى خەت	Deuxième épître aux Corinthiens
مۇغلا ۋىلايىتى	Muğla (province)
ئاسىيا قارا ئېيىق	Ours noir d'Asie
گۈلچىلىك	Jardinage
ئىغدىر ۋىلايىتى	Iğdır (province)
ياماگاتا ناھىيىسى	Préfecture de Yamagata
قاڭشارلىق بۆكەن	Saïga
كۈتاھيا ۋىلايىتى	Kütahya (province)
كۆك ياقۇت	Saphir
كۈرەشچى ئايروپىلان	Avion de chasse
ئېرتىش دەرياسى	Irtych
ئىبرانىيلارغا يېزىلغان خەت	Épître aux Hébreux
گالاتىيلىقلارغا يېزىلغان خەت	Épître aux Galates
شاڭ سۇلالىسى	Dynastie Shang
