આફ્રિકા	Afrique
નવલપરાસી જિલ્લો, નેપાળ	District de Nawalparasi
સુરખેત જિલ્લો, નેપાળ	District de Surkhet
મુગુ જિલ્લો, નેપાળ	District de Mugu
રોલ્પા જિલ્લો, નેપાળ	District de Rolpa
રસુવા જિલ્લો, નેપાળ	District de Rasuwa
રુકુમ જિલ્લો, નેપાળ	District de Rukum
જુમલા જિલ્લો, નેપાળ	District de Jumla
હુમલા જિલ્લો, નેપાળ	District de Humla
કોળિક્કોટ્	Kozhikode
પાયથોન(પ્રોગ્રામિંગ ભાષા)	Python (langage)
ઇસ્લામીક પંચાંગ	Calendrier musulman
ચકલી	Passeridae
કંચનપુર જિલ્લો, નેપાળ	District de Kanchanpur
ભવભૂતિ	Bhavabhuti
લામજુંગ જિલ્લો, નેપાળ	District de Lamjung
આસામીઝ ભાષા	Assamais
જાજરકોટ જિલ્લો, નેપાળ	District de Jajarkot
ટીમરુ	Kaki
અવધી ભાષા	Awadhi
મધર ટેરેસા	Mère Teresa
કડપ્પા	Kadapa
પૂર્વ તિમોરનો રાષ્ટ્રધ્વજ	Drapeau du Timor oriental
જાલના	Jalna (Maharashtra)
હેણોતરો	Caracal
બ્લૉગ	Blog
જલગાંવ	Jalgaon
ડેન્ગ્યુ	Dengue
ક્રિસમસ દ્વીપ	Île Christmas (Australie)
મોવેમ્બર	Movember
લોફ્ટસ રોડ સ્ટેડિયમ	Loftus Road
હાથોર્ન્સ	The Hawthorns
રાજાસોરસ	Rajasaurus
સ્ટેડિયમ ઓફ લાઈટ	Stadium of Light
મેષ રાશી	Bélier (astrologie)
વર્જિન એટલાંટિક	Virgin Atlantic
અમેરિકન એરલાઇન્સ	American Airlines
વૅલેન્શિયન	Valencien
ડોગરી ભાષા	Dogri
મલાલા યુસુફઝઈ	Malala Yousafzai
છત્તીસગઢી ભાષા	Chhattisgarhi
આર્મેનિયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Arménie
બોડો ભાષા	Bodo
ભોજપુરી ભાષા	Bhodjpouri
મુઘલ યુગ	Empire moghol
હરીયાણવી ભાષા	Haryanvi
ઇલાયચી	Cardamome
કાશ્મીરી ભાષા	Cachemiri
સિમા ગુઆંગ	Sima Guang
ધ્રુવીય રીંછ	Ours blanc
કન્નડ ભાષા	Kannada
મગહી ભાષા	Magahi
હાથ	Main
ઓડિઆ ભાષા	Oriya
નેપાળી ભાષા	Népalais
વસ્તી	Population
મણિપુરી ભાષા	Meitei
અસાઈ તાડ	Euterpe oleracea
સંથાલી ભાષા	Santali
નેપાલ ભાષા	Nepalbhasha
સિંધી ભાષા	Sindhi
કાજુ	Anacardier
ધોધ	Chute d'eau
માખણ	Beurre
પાબ્લો નેરુદા	Pablo Neruda
ભારતીય રાજ્યોના પ્રતિકો	Liste des emblèmes des États d'Inde
કોંકણી ભાષા	Konkani
એલેક્ઝાન્ડર ગ્રેહામ બેલ	Alexander Graham Bell
જ્યોતિષવિદ્યા	Astrologie
સંગીત વાદ્ય	Instrument de musique
હંસ	Cygne
બેનઝિર ભુટ્ટો	Benazir Bhutto
ઓક્સફોર્ડ યુનિવર્સિટી	Université d'Oxford
માર્ગ	Route
હેલિકોપ્ટર	Hélicoptère
હિપોપોટેમસ	Hippopotamus amphibius
આંગળી	Doigt
ગુલાબ	Rosier
દિપડો	Léopard
સાલ્ઝબર્ગ	Salzbourg
ગ્રીસની પૌરાણિક માન્યતાઓ	Mythologie grecque
હોકાયંત્ર	Boussole
ક્ષ-કિરણો	Rayon X
પપૈયાં	Papayer
વ્રજ ભાષા	Braj bhasha
વિશ્વ કુસ્તી મનોરંજન	World Wrestling Entertainment
ટીટીકાકા સરોવર	Lac Titicaca
કોલંબો	Colombo
મદીના	Médine
રેસલમેનિયા	WrestleMania
કેમ્બ્રિજ વિશ્વવિદ્યાલય	Université de Cambridge
જરથુષ્ટ્ર	Zoroastre
રાઈટ બંધુઓ	Orville et Wilbur Wright
હેક્ટર	Hectare
બાપ્તિસ્મા (બૅપ્ટિઝમ)	Baptême
ફુગાવો	Inflation
અરાલ સમુદ્ર	Mer d'Aral
લામ્બોરગીની	Lamborghini
લેન્ડ રોવર	Land Rover
વાંસ	Bambou
સૌંદર્ય શાસ્ત્ર	Esthétique
કોકોસ (કીલીંગ) દ્વીપ	Îles Cocos
પિસ્તા	Pistacia vera
ક્વીન્સલેન્ડ	Queensland
મિનેપોલિસ	Minneapolis
મૈથિલી ભાષા	Maïthili
અંજીર	Ficus carica
મિઝો ભાષા	Mizo
માર્ક ઝકરબર્ગ	Mark Zuckerberg
મલયાલમ ભાષા	Malayalam
જીવનચરિત્ર	Biographie
રેશમ માર્ગ	Route de la soie
તાઈકવૉન્દો	Taekwondo
ઉંદર	Rattus
દ્વિપદ નામકરણ	Nom binominal
પાલિ ભાષા	Pali
રોબર્ટ પેટિસન	Robert Pattinson
સ્વાઇન ફ્લ્યુ	Grippe porcine
નખ	Ongle
મધુબાલા	Madhubala
ઓઝોન	Ozone
શેરડી	Canne à sucre
જાહેરાત	Publicité
સ્વતંત્રતા	Indépendance (politique)
એલેક્ઝાન્ડર ફ્લેમિંગ	Alexander Fleming
સોલોમન	Salomon (Bible)
યાહૂ!	Yahoo!
ફેબ્રુઆરી ૩૦	30 février
ઓકલેન્ડ	Auckland
ગુલબર્ગ	Gulbarga
એ કે-૪૭	AK-47
મિથેન	Méthane
મરિઉપોલ	Marioupol
ગીઝાનો મહાન પિરામિડ	Pyramide de Khéops
સિંધ	Sind
વર્તુળનો વ્યાસ	Diamètre
શિક્ષક	Instituteur
ગો (પ્રોગ્રામિંગ ભાષા)	Go (langage)
સેન્ટ્રલ ઇન્ટેલિજન્સ એજન્સી	Central Intelligence Agency
રામાયણ	Ramayana
અક્રોતીરી અને ધેકેલીયા	Akrotiri et Dhekelia
મગફળી	Arachide
ધુમ્મસ	Brouillard
બહુકોણ	Polygone
વેલેન્ટાઇન્સ ડે	Saint-Valentin
ગલ્ફ વોર	Guerre du Golfe
રેશમ	Soie
મિશ્રધાતુ	Alliage
નિવસન તંત્ર	Écosystème
રેફ્રિજરેટર	Réfrigérateur
ટપાલ ટિકિટ	Timbre postal
શક્કરીયાં	Patate douce
કાર્ટેન (Kärnten)	Carinthie (Land)
સમુરાઇ	Samouraï
આશા ભોંસલે	Asha Bhosle
કોલંબિયા, દક્ષિણ કેરોલિના	Columbia (Caroline du Sud)
દેવનાગરી	Devanagari
તરબૂચ	Pastèque
પવનચક્કી	Moulin à vent
રિકટર મેગ્નીટયુડ સ્કેલ	Magnitude d'un séisme
લેસર	Laser
તાવ	Fièvre
આંતરરાષ્ટ્રીય મહિલા દિન	Journée internationale de la femme
વોરાર્લબર્ગ	Vorarlberg
પીઝાનો ઢળતો મિનારો	Tour de Pise
સૂક્ષ્મ અર્થશાસ્ત્ર	Microéconomie
લીડ્ઝ	Leeds
હડકવા	Rage (maladie)
કીટ વિજ્ઞાન	Entomologie
અતિવાસ્તવવાદ	Surréalisme
દીવાદાંડી	Phare
માર્કેટિંગ	Marketing
સ્ટીફન કિંગ	Stephen King
રેડિયો સ્ટુડિયો 54 નેટવર્કના	Radio Studio 54 Network
દાયકો	Décennie
બદામ	Amandier
વેદ	Véda
સિલ્વેસ્ટર સ્ટેલોન	Sylvester Stallone
મેરેથોન	Marathon (sport)
ગુડફ્રાઈડે	Vendredi saint
રાશી	Zodiaque
ટેક્લોબેન	Tacloban
યોહાન	Jean le Baptiste
ઝેર	Poison
અતિસાર	Diarrhée
અંદામાન અને નિકોબાર દ્વીપસમૂહ	Îles Andaman-et-Nicobar
પંડિત રામ નારાયણ	Ram Narayan
ઇટાનગર	Itanagar
રશિયાનાં ગણતંત્રો	Républiques de Russie
બારપેટા જિલ્લો	District de Barpeta
વેગમાન સંરક્ષણનો નિયમ	Quantité de mouvement
બરેલી પ્રાંત	Division de Bareli
અલીગઢ પ્રાંત	Division d'Aligarh
આગ્રા પ્રાંત	Division d'Agra
અલ્હાબાદ પ્રાંત	Division d'Allâhâbâd
નાઈટ્સ ટેમ્પ્લર	Ordre du Temple
તરંગલંબાઇ	Longueur d'onde
તંજાવુર	Thanjavur
સ્ટેનફોર્ડ યુનિવર્સિટી	Université Stanford
ફ્રેન્ક લેમ્પાર્ડ	Frank Lampard
કોથમીર	Coriandre
મનોવિષ્લેષણ	Psychanalyse
ભારતનો રાષ્ટ્રધ્વજ	Drapeau de l'Inde
વંશીય જૂથ	Ethnie
વાર	Noms des jours de la semaine
ચિત્તોડગઢ	Chittorgarh
ઈમાન	Chahada
એડનની ખાડી	Golfe d'Aden
મનમોહન સિંહ	Manmohan Singh
રાતો પાંડા	Ailurus fulgens
ભિલવાડા જિલ્લો	District de Bhilwara
સુરખાબ	Phoenicopterus
સાર્વભૌમત્વ	Souveraineté
બકિંગહામ પેલેસ	Palais de Buckingham
બોંગાઇગાંવ જિલ્લો	District de Bongaigaon
કછર જિલ્લો	District de Cachar
યુનિફોર્મ રિસોર્સ લોકેટર	Uniform Resource Locator
ગૂગલ અર્થ	Google Earth
ફાઇલ ટ્રાન્સ્ફર પ્રોટોકોલ	File Transfer Protocol
અંતરનું વિશ્લેષણ	Analyse de la variance
ઊન	Laine
પીડીએફ	Portable Document Format
નિહારિકા	Nébuleuse
યુનિવર્સલ સીરિયલ બસ	Universal Serial Bus
તાલિબાન	Taliban
દારાંગ જિલ્લો	District de Darrang
ધેમાજી જિલ્લો	District de Dhemaji
પર્લ	Perl (langage)
ઈંધણ (બળતણ)	Combustible
હૈલાકાંડી જિલ્લો	District de Hailakandi
ગોલાઘાટ જિલ્લો	District de Golaghat
ગોલપારા જિલ્લો	District de Goalpara
કરીમગંજ જિલ્લો	District de Karimganj
કાર્બી ઓન્ગલોન્ગ જિલ્લો	District de Karbi Anglong
હળદર	Curcuma
રણ બિલાડી	Felis silvestris lybica
એમપીથ્રી	MPEG-1/2 Audio Layer 3
કોકરાઝાર જિલ્લો	District de Kokrajhar
જંગલી બિલાડી	Chaus
ચક્તાવાળી બિલાડી	Chat-léopard
ભેંસ	Bubalus bubalis
મારિગાંવ જિલ્લો	District de Marigaon
લખિમપુર જિલ્લો	District de Lakhimpur
શોણિતપુર જિલ્લો	District de Sonitpur
શિવસાગર જિલ્લો	District de Sivasagar
ઉત્તર કછર જિલ્લો	District de Dima Hasao
દાઢી	Barbe
સૈગોન એરપોર્ટ	Aéroport international de Long Thành
મેજર ડિપ્રેસિવ ડિસઓર્ડર	Dépression (psychiatrie)
કૃષ્ણ	Krishna
અરરિયા જિલ્લો	District d'Araria
નિર્વાણ	Nirvana (monde indien)
આગ્રા	Agra
ચોમાસુ	Mousson
એલર્જી	Allergie
સંક્ષિપ્ત સંદેશ સેવા	Short Message Service
દુકાળ	Sécheresse
કાળા મરી	Poivrier noir
ઔરંગાબાદ જિલ્લો (બિહાર)	District d'Aurangabad (Bihar)
કાશ્મીર	Cachemire
વિકિપીડિયા:જાણીતા પ્રશ્નો	Aide:FAQ
સ્વર્ગીય ગુફા	Grotte de Thien Duong
હરિતદ્રવ્ય	Chlorophylle
વીમો	Assurance
ફ્રાન્સનો રાષ્ટ્રધ્વજ	Drapeau de la France
સંસ્થા	Organisation
ગેસ્ટાપો	Gestapo
પ્રિન્સ ચાર્લ્સ	Charles de Galles
ટાઇમ (સામયિક)	Time (magazine)
લોકગીત	Musique folk
કાગડો	Corvus
ડિસ્કવરી ચેનલ	Discovery Channel
ચંડીગઢ	Chandigarh
વરિયાળી	Fenouil commun
સ્ફટિક	Cristal
મમી	Momie
હાઇડ્રોકાર્બન	Hydrocarbure
એપોલો ૧૧	Apollo 11
બર્મુડા ત્રિકોણ	Triangle des Bermudes
રણદ્વીપ	Oasis
ટર્કી	Dinde
બ્રેમ્પ્ટન, ઓન્ટારીયો	Brampton (Ontario)
જબ તક હૈ જાન	Jusqu'à mon dernier souffle
નાગોર્નો-કરબાખ ગણરાજ્ય	Haut-Karabagh
ધ અંડરટેકર	The Undertaker
જિહાદ	Djihad
ઉષ્મા	Chaleur (sensation)
મંદિર	Temple
એલેક્સ ફર્ગ્યુસન	Alex Ferguson
કલકલિયો	Alcedinidae
ઝડપી ગોલંદાજી	Fast bowling
અળસી	Lin cultivé
કોલ્ડપ્લે	Coldplay
સ્વસ્તિક	Svastika
કંદહાર	Kandahar
નીલગિરી	Eucalyptus
એનફિલ્ડ	Anfield
ફણસ	Jacquier
માછલીઘર	Aquarium
રાજા આર્થર	Roi Arthur
લાલ કિલ્લો	Fort Rouge (Delhi)
આઇ.આઇ.એમ. અમદાવાદ	Institut indien de management d'Ahmedabad
દાદરા અને નગરહવેલી	Dadra et Nagar Haveli
વિદ્યુત ક્ષેત્ર	Champ électrique
કાળો કોશી	Drongo royal
ચાર્લ્સ બૅબેજ	Charles Babbage
ફીજી હિન્દી	Hindi des Fidji
હેરી પોટર એન્ડ ધ ડેથલી હેલોઝ	Harry Potter et les Reliques de la Mort
શ્રીમદ્ ભગવદ્ ગીતા	Bhagavad-Gita
ઑસ્ટ્રિયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Autriche
અખરોટ	Noyer commun
પાલી જિલ્લો	District de Pali
ઐશ્વર્યા રાય	Aishwarya Rai
કુ ક્લક્સ ક્લાન	Ku Klux Klan
બ્રાહ્મણ	Brahmane
વોરન બફેટ	Warren Buffett
કામસૂત્ર	Kâmasûtra
હસન	Hassan (Karnataka)
સ્વામી વિવેકાનંદ	Vivekananda
એકમ	Unité de mesure
ફિબોનાકિ	Suite de Fibonacci
રક્તના પ્રકાર	Groupe sanguin
કેથરિન ઝેટા-જોન્સ	Catherine Zeta-Jones
બ્લેક સબાથ	Black Sabbath
પ્રમબનન	Temple de Prambanan
મુસલમાન	Musulman
પ્રતિભા પાટીલ	Pratibha Patil
પત્તા	Carte à jouer
ફીનલેંડનો રાષ્ટ્રધ્વજ	Drapeau de la Finlande
લખનૌ	Lucknow
ઢાંચો:Commons category	Modèle:Commonscat
સિટી ઓફ માન્ચેસ્ટર સ્ટેડિયમ	City of Manchester Stadium
જર્મનીનો રાષ્ટ્રધ્વજ	Drapeau de l'Allemagne
યુરિયા	Urée
અમૃતસર	Amritsar
આલ્બેનિયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Albanie
ડેડમાઉસ	Deadmau5
ચંદ્રયાન-૧	Chandrayaan-1
ભોજપુર જિલ્લો	District de Bhojpur (Bihar)
ભાગલપુર જિલ્લો	District de Bhagalpur
ગયા જિલ્લો	District de Gaya
ઓર્લાન્ડો, ફ્લોરિડા	Orlando (Floride)
ગજહ મદ	Gajah Mada
પર્યટન	Tourisme
કવિ	Poète
દ્વિસંગી તારો	Étoile binaire
માન્ચેસ્ટર સિટી ફૂટબૉલ ક્લબ	Manchester City Football Club
ચલ	Variable (mathématiques)
અવયવ	Diviseur
કલ્પના-૧	Kalpana-1
ઢાંચો:Chembox	Modèle:Infobox Chimie
ઢાંચો:Taxobox	Modèle:Taxobox
ઈથેન	Éthane
જગદ્ગુરુ રામભદ્રાચાર્ય	Rambhadracharya
ઢાંચો:Infobox legislature	Modèle:Infobox Législature
હોલો	Tourterelle turque
સુનીતા વિલિયમ્સ	Sunita Williams
શ્રેણી:ચલચિત્ર	Catégorie:Film
રાજ કપૂર	Raj Kapoor
સ્વતંત્રતા દિવસ (ભારત)	Jour de l'Indépendance (Inde)
કચ્છી ભાષા	Kutchi
પ્રણવ મુખર્જી	Pranab Mukherjee
પંજાબી ભાષા	Pendjabi
અરબી સમુદ્ર	Mer d'Arabie
પ્રદૂષણ	Pollution
સરસ્વતી દેવી	Sarasvati (déesse)
કાકીનાડા	Kakinada
ખીર	Kheer
જલેબી	Zlabia
પરોઠા	Paratha
ઉંબરો (વૃક્ષ)	Ficus
હેઇદી ક્લુમ	Heidi Klum
રજનીકાંત	Rajinikanth
ડેનમાર્કનો રાષ્ટ્રધ્વજ	Drapeau du Danemark
સી. વી. રામન	Chandrashekhara Venkata Râman
લાતૂર	Latur
નવી મુંબઈ	Navi Mumbai
ટાવર ઓફ લંડન	Tour de Londres
આરમીન વન બ્યુરન	Armin van Buuren
શંખ	Conque
મૌર્ય વંશ	Empire Maurya
પિત્તાશય	Vésicule biliaire
વિદ્યુત વિચ્છેદન-વિશ્લેષણ (ઇલેક્ટ્રોલિસિસ)	Électrolyse
વિનિમય દર	Taux de change
જયપુર	Jaipur
કાનપુર	Kanpur
ઈંદોર	Indore
દમણ અને દીવ	Daman et Diu
પૉંડિચેરી	Territoire de Pondichéry
અસ્થિભંગ	Fracture
હેલ-બોપ ધૂમકેતુ	Comète Hale-Bopp
ટેટ્રીસ (રમત)	Tetris
નાનો જળ કાગડો	Cormoran de Vieillot
મખમલી થડચડ	Sittelle veloutée
ડેલ્ફી	Delphes
સેમ્યુઅલ મોર્સ	Samuel Morse
બોરિસ બેકર	Boris Becker
૨૦૦૮ મુંબઈ હુમલો	Attaques à Bombay du 26 au 29 novembre 2008
કટિહાર જિલ્લો	District de Katihar
નાલંદા જિલ્લો	District de Nalanda
મુજફ્ફરપુર જિલ્લો	District de Muzaffarpur
એમિથિસ્ટ	Améthyste
ચક્રવાત	Cyclone
૩જી	3G
૪જી મોબાઇલ સેવા	4G
બેરોમીટર	Baromètre
ગિનિ પિગ	Cavia porcellus
અફઘાનિસ્તાનનો રાષ્ટ્રધ્વજ	Drapeau de l'Afghanistan
મોર્સ કોડ	Morse (alphabet)
વિકિપીડિયા:ચકાસણીયોગ્યતા	Wikipédia:Vérifiabilité
ક્રાઇસ્ટ ધ રિડીમર	Christ Rédempteur
વારાણસી	Varanasi
ઇથરનેટ	Ethernet
ઓઝોન સ્તર	Couche d'ozone
કુંવારપાઠું	Aloe vera
કેનેડાનો રાષ્ટ્રધ્વજ	Drapeau du Canada
ખાટી આમલી	Tamarinier
કોર્ન	Korn
પટના	Patna
ભારતીય રૂપિયો	Roupie indienne
ભીંડા	Gombo
એપ્રિલ ફૂલ્સ ડે	Poisson d'avril
પશુપાલન	Élevage
ભોપાલ	Bhopal
વાકછટા	Rhétorique
જળ ચક્ર	Cycle de l'eau
હોમિયોપેથી	Homéopathie
મગર	Crocodile des marais
સ્વચાલિત ગણક યંત્ર (ATM)	Guichet automatique bancaire
હેરિસન ફોર્ડ	Harrison Ford
ચણા	Pois chiche
ઈન્ટરનેટ પ્રોટોકોલ સ્યુટ	Suite des protocoles Internet
પાલક (ભાજી)	Épinard
ઈસ્ટોનિયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Estonie
એન્ડોરાનો રાષ્ટ્રધ્વજ	Drapeau d'Andorre
ઑસ્ટ્રેલિયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Australie
ફાસ્ટ ફૂડ	Restauration rapide
કાતરા (ઈયળ)	Chenille (lépidoptère)
માંસાહારી	Carnivore (régime alimentaire)
હંગેરીનો રાષ્ટ્રધ્વજ	Drapeau de la Hongrie
કાંચનજંઘા	Kangchenjunga
અઝેરબીજાનનો રાષ્ટ્રધ્વજ	Drapeau de l'Azerbaïdjan
વિરામચિહ્નો	Ponctuation
પર્યાવરણ સંરક્ષણ સ્થિતિ	Statut de conservation
ઇમેજ સ્કેનર	Scanner (informatique)
નારાયણ કાર્તિકેયન	Narain Karthikeyan
ચીનનો ઇતિહાસ	Histoire de la Chine
પેટ્રોનાસ જોડિયા ટાવર	Tours Petronas
જન ગણ મન	Jana Gana Mana
શ્રીનિવાસ રામાનુજન	Srinivasa Ramanujan
જાયફળ	Noix de muscade
ઘર ઉંદર	Mus musculus
ટાઇફોઇડ	Fièvre typhoïde
ગુરુનાનક	Guru Nanak
લિક્વિડ ક્રિસ્ટલ ડિસ્પ્લે	Écran à cristaux liquides
અંગુષ્ઠ	Pouce (anatomie)
શાકાહારી	Végétarisme
અલ્જીરીયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Algérie
મનાલી	Manali
ઓલ્ડ ટ્રેફોર્ડ	Old Trafford
પર્યાયોક્તિ	Euphémisme
જુડાસ પ્રિસ્ટ	Judas Priest
સુસાન બોયલ	Susan Boyle
શાહજહાં	Shâh Jahân
શિમલા	Shimla
કાર્લ લેન્ડસ્ટેઇનર	Karl Landsteiner
પોલેંડબોલ	Polandball
ધ્વનિ પ્રદૂષણ	Pollution sonore
ઢાંચો:Cite book	Modèle:Ouvrage
એલિસેઝ એડવેન્ચર્સ ઇન વન્ડરલેન્ડ	Les Aventures d'Alice au pays des merveilles
એરિક શ્મિટ	Eric Schmidt
લેરી એલિસન	Larry Ellison
સેર્ગેઈ બ્રિન	Sergueï Brin
બોલીવુડ	Bollywood
ટ્યૂલિપ	Tulipe
ઇમુ	Émeu d'Australie
ઓએસઆઈ મોડેલ	Modèle OSI
આઈસલેંડનો રાષ્ટ્રધ્વજ	Drapeau de l'Islande
ધ હૂ	The Who
ગ્રાન્ડ થેફ્ટ ઓટો ૪	Grand Theft Auto IV
સારન જિલ્લો	District de Saran
બિલાસપુર જિલ્લો, છત્તીસગઢ	District de Bilaspur
દુર્ગ જિલ્લો	District de Durg
સ્વાઈન ફલૂ	Grippe A (H1N1) de 2009
ઈંડોનેશિયાનો રાષ્ટ્રધ્વજ	Drapeau de l'Indonésie
ગાબોનનો રાષ્ટ્રધ્વજ	Drapeau du Gabon
જિબુટીનો રાષ્ટ્રધ્વજ	Drapeau de Djibouti
બાઇનૉક્યુલર	Jumelles
સંક્ષિપ્ત શબ્દ	Abréviation
હોન્ડુરાસનો રાષ્ટ્રધ્વજ	Drapeau du Honduras
કેપ વર્દુનો રાષ્ટ્રધ્વજ	Drapeau du Cap-Vert
ગિની-બિસ્સાઉનો રાષ્ટ્રધ્વજ	Drapeau de la Guinée-Bissau
હૈતીનો રાષ્ટ્રધ્વજ	Drapeau d'Haïti
વી ફોર વેન્ડેટા	V pour Vendetta
ગ્રેનેડાનો રાષ્ટ્રધ્વજ	Drapeau de la Grenade
બહામાનો રાષ્ટ્રધ્વજ	Drapeau des Bahamas
રવિ શંકર	Ravi Shankar (musicien)
પલ્‍પ ફિક્શન (ફિલ્‍મ)	Pulp Fiction
બાર્બાડોસનો રાષ્ટ્રધ્વજ	Drapeau de la Barbade
અર્ધ વિરામ	Point-virgule
હુક્કો	Narguilé
શોર્ટ સેલ	Vente à découvert
છાશ	Babeurre
મિર્ઝા ગ઼ાલિબ	Mirza Ghalib
માર્કની લખેલી સુવાર્તા	Évangile selon Marc
રાજ્ય	État fédéré
કીટલી	Bouilloire
ડો. હરગોવિંદ ખુરાના	Har Gobind Khorana
સટ્ટાખોરી	Spéculation
ઉત્તર ગોઆ જિલ્લો	District de Goa Nord
દક્ષિણ ગોઆ જિલ્લો	District de Goa Sud
એ. આર. રહેમાન	Allah Rakha Rahman
હિંગ	Ase fétide
ગિરનારી કાગડો	Corbeau à gros bec
રાધા	Radha
કાબર	Martin triste
મોર બાજ	Aigle huppé
લેધરબેક કાચબો	Tortue luth
ભીમસેન જોશી	Bhimsen Joshi
અલિસિયા કીઝ	Alicia Keys
ગર્ભનિરોધ	Contraception
સીસમ	Palissandre
ગીધ	Vautour
ગોલ્ડફિશ	Poisson rouge
વેનેસા હજિન્સ	Vanessa Hudgens
વિલુપ્ત જાતિ	Extinction des espèces
અવાજની ઝડપ	Vitesse du son
ઝકાત	Zakât
નીલ્સ હેન્રીક અબૅલ	Niels Henrik Abel
સ્કોર્પિયન્સ (બેન્ડ)	Scorpions
અંગોલાનો રાષ્ટ્રધ્વજ	Drapeau de l'Angola
મીણ	Cire
સ્લમડોગ મિલિયોનેર	Slumdog Millionaire
અવાક	Bihoreau gris
ઈરાનનો રાષ્ટ્રધ્વજ	Drapeau de l'Iran
સગર્ભાવસ્થા દરમિયાન ડાયાબિટીસ	Diabète gestationnel
આંગણવાડી	École maternelle
ઍરોસ્મિથ	Aerosmith
મેંગલોર	Mangalore
ઝેક ગણરાજ્યનો રાષ્ટ્રધ્વજ	Drapeau de la République tchèque
બાંગ્લાદેશનો રાષ્ટ્રધ્વજ	Drapeau du Bangladesh
બહાદુર શાહ ઝફર	Muhammad Bahâdur Shâh
સંત રવિદાસ નગર જિલ્લો	District de Sant Ravidas Nagar
સમઘટકતા	Isomérie
ચરબી	Graisse
શિયાળ	Chacal doré
ઇન્દ્ર	Indra
ભારતના ભાગલા	Partition des Indes
ગ્રીસનો રાષ્ટ્રધ્વજ	Drapeau de la Grèce
મિથુન રાશી	Gémeaux (astrologie)
હ્યુજ જેકમેન	Hugh Jackman
યતી (હિમ માનવ)	Yéti
૧૮૫૭નો ભારતીય વિપ્લવ	Révolte des cipayes
પ્રસાદ	Prasād
જ્યોર્જ માઇકલ	George Michael
જાપાનનો ઇતિહાસ	Histoire du Japon
ઇજિપ્તનો રાષ્ટ્રધ્વજ	Drapeau de l'Égypte
બહેરીનનો રાષ્ટ્રધ્વજ	Drapeau de Bahreïn
આર્જેન્ટીનાનો રાષ્ટ્રધ્વજ	Drapeau de l'Argentine
અન્ના કુર્નિકોવા	Anna Kournikova
વાયુનું પ્રદૂષણ	Pollution de l'air
ચીનનો રાષ્ટ્રધ્વજ	Drapeau de la République populaire de Chine
શરીર વજન અનુક્રમ	Indice de masse corporelle
અક્ષય વિકાસ	Développement durable
સૌંદર્ય પ્રસાધનો	Cosmétique
મસુર	Lentille cultivée
લક્ષ્મી	Lakshmi
વિદ્યુતજનીન	Générateur électrique
એસોટેરિક (અમુક વ્યક્તિઓ જ સમજી શકે તેવું)	Ésotérisme
મંત્ર	Mantra
બૂમરેંગ	Boomerang
ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	États et territoires de l'Inde
ઉચિત વપરાશ	Fair use
વાડી	Ferme (agriculture)
જંતુનાશક	Pesticide
રબર	Caoutchouc (matériau)
કાલિ	Kali
સાનિયા મિર્ઝા	Sania Mirza
સત્સ્વરૂપદાસ ગોસ્વામી	Satsvarūpa dāsa Gosvāmī
ઉત્સવ	Festival
આયુર્વેદ	Ayurveda
અમર્ત્ય સેન	Amartya Sen
રિસાયક્લિંગ	Recyclage
જંગલી કૂતરો	Dhole
જીરું	Cumin
બેલારુસનો રાષ્ટ્રધ્વજ	Drapeau de la Biélorussie
યમુના	Yamuna
ડિસ્લેક્સીયા	Dyslexie
ક્રોએશિયાનો રાષ્ટ્રધ્વજ	Drapeau de la Croatie
ભારતનો ઇતિહાસ	Histoire de l'Inde
અંધવિશ્વાસ	Superstition
મેથી	Fenugrec
કસિનો	Casino (lieu)
કમળો	Ictère
મરકી	Peste
આધાસિસિ બિમારિ	Migraine
લોબાન	Arbre à encens
વાઇમેક્સ (WiMAX)	WiMAX
પ્રાથમિક સારવાર	Premiers secours (médecine)
લિંગ ઉત્થાન	Érection
હીમોફીલિયા	Hémophilie
કન્યા રાશી	Vierge (astrologie)
માઇક્રોસોફ્ટ વિઝ્યુઅલ સ્ટુડિયો	Microsoft Visual Studio
રચેલ વેઇઝ	Rachel Weisz
તુલા રાશી	Balance (astrologie)
વૃશ્ચિક રાશી	Scorpion (astrologie)
તાઓ તે ચીંગ	Tao Tö King
ગેમ્બિયાનો રાષ્ટ્રધ્વજ	Drapeau de la Gambie
એન્ટિગુઆ એન્ડ બાર્બુડાનો રાષ્ટ્રધ્વજ	Drapeau d'Antigua-et-Barbuda
સપ્તપર્ણી	Alstonia scholaris
ભારતની ભાષાઓની સૂચી	Langues en Inde
ગૂગલ અનુવાદ	Google Traduction
ઝીપ કોડ	Code ZIP
ચિત્રલિપિ	Idéogramme
અંકશાસ્ત્ર	Numérologie
દાંતનું ચોકઠું	Prothèse dentaire
ડૉ. ઝાકીર હુસૈન	Zakir Hussain (homme politique)
વિકિપીડિયા:સ્ટબ	Topologie de réseau
સાર્ક	Association sud-asiatique pour la coopération régionale
કઠોળ	Gousse
