अफ्रीका	Afrique
सन् २०२९	2029
सन् २०२८	2028
सन् २०२७	2027
बारूद	Poudre à canon
विस्फोटक	Explosif
पाउलो कोहेल्हो	Paulo Coelho
पेले	Pelé
वास्तविक सङ्ख्या	Nombre réel
स्वाति तारा	Arcturus
प्रस्वा तारा	Procyon
नाभिकीय संलयन	Fusion nucléaire
मिसेल ओबामा	Michelle Obama
वर्डप्रेस	WordPress
जूमला	Joomla!
कालो ऐँसेलु	Mûre (fruit de la ronce)
लिची	Litchi
किसमिस	Raisin sec
नरिवल	Cocos nucifera
दारिम	Grenade (fruit)
आरू	Pêcher
ठेकीफल	Kiwi
रोमानी	Romani
सिन्हाला भाषा	Cingalais
केक	Gâteau
दही	Yaourt
डेबिट कार्ड	Carte de paiement
ढाँचा:Location map Canada	Modèle:Géolocalisation/Canada
ढाँचा:Location map Mexico	Modèle:Géolocalisation/Mexique
ढाँचा:Location map Earth	Modèle:Géolocalisation/Terre
ल्वाङकसानी	Mirabilis jalapa
ब्रेसियर	Soutien-gorge
एन्जेलिना जोली	Angelina Jolie
मेरो सानु साथी	XO-1
अरबी भाषा	Arabe
कण्डम	Préservatif
खजुर	Arecaceae
विकिनी	Bikini (vêtement)
प्रधानमन्त्री	Premier ministre
इन्टरनेट शीर्षस्तर क्षेत्राधिकार	Domaine de premier niveau
उल्लू नीहारिका	M97 (nébuleuse planétaire)
सन माइक्रो सिस्टमस्	Sun Microsystems
सिसाकलम	Crayon
घर भँगेरा	Moineau domestique
मकाउ	Macao
बगलिस	Chausse-pied
हु जिन्ताओ	Hu Jintao
सि जिनपिङ	Xi Jinping
जिराफ	Girafe
ओठ	Lèvre
सोभियत संघ	Union des républiques socialistes soviétiques
द लर्ड अफ द रिङ्ग्स	Le Seigneur des anneaux
नगरपालिका	Commune
क्यामरा	Appareil photographique
लिल व्यान	Lil Wayne
सि	C (langage)
एचआइभी	Virus de l'immunodéficience humaine
पाइताला	Pied (anatomie humaine)
छेपारो	Lacertilia
एमी वाइनहाउस	Amy Winehouse
मेटालिका	Metallica
क्यानी वेस्ट	Kanye West
शार्ल लुई मोन्टेस्क्ये	Montesquieu
काँध	Épaule
ब्रुस ली	Bruce Lee
थाइरोइड	Glande thyroïde
हाइपरथाइरोडिजम	Hyperthyroïdie
हाइपोथाइरोडिजम	Hypothyroïdie
विश्व	Monde (univers)
विकिपीडिया:चौतारी	Wikipédia:Le Bistro
कमल	Nelumbo nucifera
भर्मांट	Vermont
सान होसे,क्यालिफोर्निया	San José (Californie)
ह्युस्टन	Houston
जियाङ जेमिन	Jiang Zemin
वेन जियाबाओ	Wen Jiabao
ग्वाम	Guam
अमेरिकी सामोआ	Samoa américaines
अस्पताल	Hôpital
गिर्जाघर	Église (édifice)
ग्वाडलप	Guadeloupe
ओकल्याण्ड	Oakland (Californie)
ब्याकस्ट्रीट ब्वाईज	Backstreet Boys
कार्लोस पुयोल	Carles Puyol
तिब्बत	Tibet
वृत	Cercle
चौधौं दलाई लामा	Tenzin Gyatso
वैश्विक डाक संघ	Union postale universelle
जावी हर्नान्डेज	Xavi
जेरार्ड पिके	Gerard Piqué
जोसे म्यानुअल पिन्टो	José Manuel Pinto
डिएगो म्याराडोना	Diego Maradona
मोबाइल फोन	Téléphone mobile
अनुशेह अन्सारी	Anousheh Ansari
अस्ट्रिच	Autruche d'Afrique
स्टिफन हकिङ	Stephen Hawking
अरागत्सोत्न प्रान्त	Aragatsotn
कोरिया	Corée
सन् १९२५	1925
सन् १९२७	1927
ली कच्याङ	Li Keqiang
म्यानचेस्टर	Manchester
भिटामिन ए	Vitamine A
जु रोङजी	Zhu Rongji
ई.पू. १०००	1000
ई.पू. ९९९	999
ब्वाँसो	Canis lupus
भकुण्डो	Ballon (sport)
सन् १९५५	1955
सन् १९५४	1954
सन् १९५३	1953
सन् १९५१	1951
सन् १९५०	1950
सन् १९४६	1946
सन् १९४३	1943
सन् १९४२	1942
सन् १९४०	1940
सन् १९३९	1939
सन् १९३८	1938
सन् १९३७	1937
सन् १९३६	1936
म्यानचेष्टर यूनाइटेड (फुटबल क्लब)	Manchester United Football Club
१९३५	1935
सन् १९३४	1934
न्युक्यासल युनाइटेड फुटबल क्लब	Newcastle United Football Club
सन् १९३३	1933
सन् १९३२	1932
टाडी निरबिरालो	Paradoxurus hermaphroditus
सन् १९३१	1931
सन् १९३०	1930
बकुल्लो	Ardeidae
सन् १९२९	1929
फ्रान्स मेरिङ	Franz Mehring
प्योङ्गयाङ्ग	Pyongyang
नयाँ करार	Nouveau Testament
जेस्सी जे	Jessie J
गंगाचीलठुँडे फ्यालफ्याले	Sterne hansel
फुस्रे सर्षपी	Pluvier argenté
सानो गट्टेबट्टाई	Turnix d'Andalousie
वन सुड्सुडिया	Chevalier sylvain
टिमटिमा	Chevalier aboyeur
मलगुझा	Barge à queue noire
बगाले सिमकुखुरा	Gallinule poule-d'eau
चञ्चले सुड्सुडिया	Chevalier guignette
लघु राजपुत्रिका	Pluvier petit-gravelot
आँसीठुँडे	Courlis cendré
अलकचन्द्र राजपुत्रिका	Pluvier à collier interrompu
फालीठुँडे सुड्सुडिया	Chevalier bargette
बडा राजपुत्रिका	Pluvier de Leschenault
सानो आँसीठुँडे	Courlis corlieu
लालखुट्टे टिमटिमा	Chevalier gambette
जलअप्सरा	Jacana à longue queue
प्रशान्त सर्षपी	Pluvier fauve
वायु फ्यालफ्याले	Sterne pierregarin
ओस्कार	Oscars du cinéma
प्रोक्यारियोटिक कोशिका	Prokaryota
ओसामा बिन लादेन को अन्त्य	Mort d'Oussama ben Laden
सह-सेनानी	Capitaine
शक्ति (देवी)	Shakti (hindouisme)
बिच्छी	Scorpiones
जर्ज बर्नाड शा	George Bernard Shaw
चेस्टर बेनिंगटन	Chester Bennington
ई.पू. १०१८	1018
ई.पू. १०२०	1020
ई.पू. १०२१	1021
ई.पू. १०२२	1022
ई.पू. १०२३	1023
ई.पू. १०२४	1024
ई.पू. १०२५	1025
फुटबल विश्वकप	Coupe du monde de football
ई.पू. १०३३	1033
ई.पू. १०७५	1075
पोडोल्स्क	Podolsk
अधातु	Non-métal
५	5
३	3
२	2
बुखारेस्ट	Bucarest
लुभ्र दरवार	Musée du Louvre
पुएर्टो रिको स्वातन्त्र पार्टी	Parti indépendantiste portoricain
टिराना	Tirana
सन् १९२८	1928
सन् ६	6
पुरानो करार	Ancien Testament
क्रिसमस	Noël
त्रिभुज	Triangle
स्टिभ जब्स	Steve Jobs
लेडी गागा	Lady Gaga
भारोपेली भाषा परिवार	Langues indo-européennes
कर्णेल मुअम्मर गद्दाफी	Mouammar Kadhafi
बाघ	Tigre
लण्डन अण्डरग्राउण्ड	Métro de Londres
भिल्हेल्म लिबक्नेख्त	Wilhelm Liebknecht
साई	Psy (chanteur)
सामसुङ	Groupe Samsung
कुकुरका प्रजातीहरू	Liste des races de chiens
कम्प्युटर विज्ञान	Informatique
प्राकृतिक सङ्ख्या	Entier naturel
समाजशास्त्र	Sociologie
अरुबा	Aruba
अन्तर्राष्ट्रीय ध्वन्यात्मक लिपि	Alphabet phonétique international
ओडिशा	Odisha
पञ्जाब (भारत)	Pendjab (Inde)
खनिज तेल	Pétrole
भौगोलिक निर्देशाङ्क प्रणाली	Coordonnées géographiques
यूरोकप २०१२	Championnat d'Europe de football 2012
बैंक	Banque
इन्टरनेट सेन्सरसीप	Censure de l'Internet
जनसंख्या घनत्व	Densité de population
सन् १	1
१०	10
एड्ली (गायिका)	Adele
गोफ विट्ल्याम	Gough Whitlam
सन् ९	9
एडमण्ड बार्टन	Edmund Barton
७	7
कृस वाट्सन	Chris Watson
सन् ८	8
जोर्ज रीड ( अष्ट्रेलियाली राजनितिज्ञ)	George Reid
स्टेन्ली ब्रुस	Stanley Bruce
जेम्स स्कलिन	James Scullin
अर्थर फेडेन	Arthur Fadden
जोन कर्टिन	John Curtin
१२	12
बेन चिफ्ली	Ben Chifley
जोन म्याकइवेन	John McEwen
हप्ता	Semaine
हरिण	Cervidae
बरफ	Glace
लसुन	Ail cultivé
रातो सागर	Mer Rouge
बोउभेट टापु	Île Bouvet
ई.पू. ९३०	930
१३	13
ई.पू. ९८५	985
ई.पू. ९८१	981
ई.पू. ९३९	939
काँक्रो	Concombre
उलानबटोर	Oulan-Bator
अर्नेस्ट हेमिङ्वे	Ernest Hemingway
सेतो	Blanc
कालो	Noir
ई.पू. ९५०	950
ई.पू. ९९६	996
ई.पू. ९८०	980
ई.पू. ९८६	988
प्याज	Oignon
पुरातत्त्वशास्त्र	Archéologie
गोलभेडा	Tomate
जर्ज एच डब्लु बुश	George H. W. Bush
सन् ११	11
भूमध्य रेखा(भूगोल)	Équateur terrestre
नासा	National Aeronautics and Space Administration
हाउस (टेलिभिजन श्रृङ्खला)	Dr House
ई.पू. ९६३	963
ई.पू. ९६२	962
ई.पू. ९९७	997
ई.पू. ९७२	972
ई.पू. ९५५	955
ई.पू. ९३६	936
ई.पू. ९५३	953
ई.पू. ९५८	958
सन् ९०३	903
बर्मुडा	Bermudes
ई.पू. ९८७	987
ई.पू. ९६५	965
ई.पू. ९२४	924
ई.पू. ९५१	951
ई.पू. ९३२	932
बेलायत	Grande-Bretagne
जिम्मी कार्टर	Jimmy Carter
राष्ट्रगान	Hymne national
ई.पू. ९६७	967
ई.पू. ९८९	989
ई.पू. ९६०	960
ई.पू. ९६९	969
ई.पू. ९५७	957
ई.पू. ९७१	971
ई.पू. ९३७	937
ई.पू. ९९२	992
ई.पू. ९९०	990
ई.पू. ९७५	975
ई.पू. ९४२	942
ई.पू. ९६६	966
ई.पू. ९७३	973
चुनढुङ्गा	Calcaire
रोवान एटकिनसन	Rowan Atkinson
ई.पू. ९८२	982
ई.पू. ९७४	974
ई.पू. ९७६	976
ई.पू. ९७९	979
ई.पू. ९९८	998
प्यालेस्टाइन	Palestine
ई.पू. ९९५	995
ई.पू. ९७७	977
ई.पू. ९३४	934
परमाणु क्रमांक	Numéro atomique
अल्फ्रेड नोबेल	Alfred Nobel
ई.पू. ९४०	940
काइँयो	Peigne
ई.पू. ९८४	984
ई.पू. ९५४	954
मानव शरीर	Corps humain
ई.पू. ९६१	961
एन्ड्र्यु गारफिल्ड	Andrew Garfield
ई.पू. ९४६	946
ई.पू. ९६८	968
ई.पू. ९८३	983
ई.पू. ९६४	964
ई.पू. ९७०	970
ई.पू. ९९१	991
ई.पू. ९९४	994
ई.पू. ९४४	944
ई.पू. ९४३	943
ई.पू. ९४१	941
ई.पू. ९४८	948
ई.पू. ९४७	947
ई.पू. ९४९	949
ऋतु	Saison
ई.पू. ९३८	938
लिभरपुल	Liverpool
वर्तिका भारद्वाज	Alouette calandrelle
अवतार (२००९ चलचित्र)	Avatar (film, 2009)
किराँत	Kiranti
लाटोकोसेरो	Strigiformes
नेदरल्याण्डस एन्टिलस	Antilles néerlandaises
एन्गुला	Anguilla
गुर्न्जी	Guernesey
केराउ	Pois
सउर	Bouleau
सन् २०१६	2016
फाप्रे चरा	Huppe fasciée
अन्तर्राष्ट्रिय अन्तरिक्ष स्टेशन	Station spatiale internationale
आईएसओ ३१६६-१	ISO 3166-1
उप्साला	Uppsala
सन् २०१७	2017
सन् २०१८	2018
छोकडाको बोट	Phoenix dactylifera
भाषा परिवार	Phylum (linguistique)
ई.पू. २	2 av. J.-C.
ई.पू. १	1 av. J.-C.
सुनगाभा	Orchidaceae
साङ्ला	Blattaria
झिँगा	Diptera
फूल फुल्ने वनस्पति	Magnoliophyta
गोठे लाटोकोसेरो	Chouette effraie
पाँचथोप्ले खपटे कीरा	Coccinellidae
मलाहा चील	Balbuzard pêcheur
सन् २०२०	2020
बहुरुपी मलसाँप्रो	Hermine
हरियो टाउके	Canard colvert
बलाकांक्ष वनबाज	Autour des palombes
ई.पू. १२३	123 av. J.-C.
ई.पू. २३४	234 av. J.-C.
मरुल	Foulque macroule
खैरो गौंथली	Martinet noir
वनबाज	Épervier d'Europe
चित्रकचरी	Pinson des arbres
लामकाने लाटोकोसेरो	Hibou moyen-duc
श्येनबाज	Buse variable
जुरे हुटिट्याउँ	Vanneau huppé
सालक	Pangolin
कालो गरुड	Cigogne noire
सेतो टिकटिके	Bergeronnette grise
रक्तमुहार पीतचरी	Chardonneret élégant
डुबुल्कीचरा	Grèbe huppé
ई.पू. ३४५	345 av. J.-C.
केशर	Safran (épice)
कङ्कम चील	Pygargue à queue blanche
सुइरोपुच्छ्रे	Canard pilet
ई.पू. ४५६	456 av. J.-C.
चल्लाचोर भुइँचील	Busard Saint-Martin
महाराज हंस	Cygne chanteur
कालोटाउके गंगाचील	Mouette rieuse
श्वेताँखीभौं	Sarcelle d'été
खरलाहाँचे	Torcol fourmilier
पानी चाहा	Bécassine des marais
विजुलागैरी	Sarcelle d'hiver
कैलो पहाडी उल्लू	Chouette hulotte
लालठुँडे चखेवा	Tadorne de Belon
लघुकर्ण लाटोकोसेरो	Hibou des marais
जुंगे चिरान्तक बाज	Faucon hobereau
कलहाँस	Oie cendrée
खडखडे हाँस	Canard chipeau
सिपी चरा	Huîtrier pie
बेल्चाठुँडे हाँस	Canard souchet
रूख भँगेरा	Moineau friquet
पहेंलो टिकटिके	Bergeronnette printanière
ठूलो वनपरेवा	Pigeon ramier
खैरोटाउके गंगाचील	Mouette du Tibet
लघु फ्यालफ्याले	Sterne naine
जेस्सिका जेमेस	Jessica Jaymes
हन्ना हार्पर	Hannah Harper
ठूलो चाहा	Bécasse des bois
हलीमुख	Avocette élégante
सुन बगेडी	Bruant jaune
निना मर्सिडिज	Nina Mercedez
कोइली	Cuculidae
राजसुड्सुडिया	Combattant varié
मिउ गंगाचील	Goéland cendré
सिम भुइँचील	Busard des roseaux
कालीजुरे हाँस	Fuligule morillon
सिन्दुरे हाँस	Canard siffleur
बौंडाई	Faucon crécerelle
बूढो मान्छे र समुद्र	Le Vieil Homme et la Mer
लुइस स्वारेज	Luis Alberto Suárez
उपग्रह	Satellite artificiel
याक	Yak
नेपालका विकास क्षेत्रहरू	Régions de développement du Népal
मोन्टागु भुइँचील	Busard cendré
लामपुच्छ्रे हाँस	Harelde kakawi
टुन्ड्रा राजहंस	Cygne siffleur
कालोटाउके हाँस	Fuligule milouinan
तितेपाती	Artemisia vulgaris
गोभण्डीर चाहा	Bécassine sourde
भाङ	Cannabis sativa
हम्पी	Hampi
ल्वाङको बोट	Giroflier
कैलोटाउके हाँस	Fuligule milouin
ओथेलो	Othello ou le Maure de Venise
टेलर स्विफ्ट	Taylor Swift
बगर ज्यामी	Tournepierre à collier
सेतोजुंगे बगेडी	Bruant des roseaux
जुरे भारद्वाज	Cochevis huppé
कुक टापु	Îles Cook
चम्सुर	Cresson alénois
रातो जलरङ्क	Bécasseau maubèche
केकरा फ्यालफ्याले	Sterne caspienne
धूलिका चुइयाँ	Pipit rousseline
हिमाली मलसाँप्रो	Fouine
एसी/डीसी	AC/DC
मिखाइल बाकुनिन	Mikhaïl Bakounine
दर्शनको इतिहास	Histoire de la philosophie
जंगली घोडा	Equus ferus
दाङ जिल्ला	District de Dang (Népal)
बाजुरा जिल्ला	District de Bajura
सर्लाही जिल्ला	District de Sarlahi
बैतडी जिल्ला	District de Baitadi
धनकुटा जिल्ला	District de Dhankuta
मोरङ जिल्ला	District de Morang
सिराहा जिल्ला	District de Siraha
प्युठान जिल्ला	District de Pyuthan
रौतहट जिल्ला	District de Rautahat
कालीकोट जिल्ला	District de Kalikot
थोप्ले टिमटिमा	Chevalier arlequin
कैलाली जिल्ला	District de Kailali
पाँचथर जिल्ला	District de Panchthar
सुनसरी जिल्ला	District de Sunsari
झापा जिल्ला	District de Jhapa
बागलुङ जिल्ला	District de Baglung
दालचिनी	Cannelle (écorce)
मकवानपुर जिल्ला	District de Makwanpur
सुदूर-पश्चिमाञ्चल विकास क्षेत्र	Région de développement Extrême-Ouest
मसिनोठुँडे टिमटिमा	Chevalier stagnatile
बट्टाई	Caille des blés
सोलुखुम्बु जिल्ला	District de Solukhumbu
कुरिलो	Asperge
पर्वत जिल्ला	District de Parbat
चमेरो	Chiroptera
अछाम जिल्ला	District d'Achham
नुवाकोट जिल्ला	District de Nuwakot
अर्घाखाँची जिल्ला	District d'Arghakhanchi
मनाङ जिल्ला	District de Manang
कास्की जिल्ला	District de Kaski
रुपन्देही जिल्ला	District de Rupandehi
पाल्पा जिल्ला	District de Palpa (Népal)
दैलेख जिल्ला	District de Dailekh
सिन्धुपाल्चोक जिल्ला	District de Sindhulpalchok
तनहुँ जिल्ला	District de Tanahu
बाँके जिल्ला	District de Banke
स्याङ्जा जिल्ला	District de Syangja
रूख सुड्सुडिया	Chevalier cul-blanc
भक्तपुर जिल्ला	District de Bhaktapur
धादिङ जिल्ला	District de Dhading
बर्दिया जिल्ला	District de Bardiya
पश्चिमाञ्चल विकास क्षेत्र	Région de développement Ouest (Népal)
मध्य-पश्चिमाञ्चल विकास क्षेत्र	Région de développement Moyen-Ouest
कपाल	Poil
गोरखा जिल्ला	District de Gorkha
कुरारी फ्यालफ्याले	Sterne de rivière
एंगोला जनमुक्ति आंदोलन - श्रम दल	Mouvement populaire de libération de l'Angola
काभ्रेपलाञ्चोक जिल्ला	District de Kavrepalanchok
सल्यान जिल्ला	District de Salyan
गुल्मी जिल्ला	District de Gulmi
कपिलवस्तु जिल्ला	District de Kapilvastu
पूर्वाञ्चल विकास क्षेत्र	Région de développement Est
मध्यमाञ्चल विकास क्षेत्र	Région de développement Centre (Népal)
उदयपुर जिल्ला	District d'Udayapur
चितवन जिल्ला	District de Chitwan
तेह्रथुम जिल्ला	District de Terhathum
सिन्धुली जिल्ला	District de Sindhuli
नवलपरासी जिल्ला	District de Nawalparasi
सुर्खेत जिल्ला	District de Surkhet
ताप्लेजुङ जिल्ला	District de Taplejung
बझाङ जिल्ला	District de Bajhang
मुगु जिल्ला	District de Mugu
डडेल्धुरा जिल्ला	District de Dadeldhura
सङ्खुवासभा जिल्ला	District de Sankhuwasabha
रोल्पा जिल्ला	District de Rolpa
खोटाङ जिल्ला	District de Khotang
डोटी जिल्ला	District de Doti
दार्चुला जिल्ला	District de Darchula
रसुवा जिल्ला	District de Rasuwa
बारा जिल्ला	District de Bara
डोल्पा जिल्ला	District de Dolpa
रामेछाप जिल्ला	District de Ramechhap
रुकुम जिल्ला	District de Rukum
सप्तरी जिल्ला	District de Saptari
महोत्तरी जिल्ला	District de Mahottari
जुम्ला जिल्ला	District de Jumla
दोलखा जिल्ला	District de Dolkha
हुम्ला जिल्ला	District de Humla
म्याग्दी जिल्ला	District de Myagdi
पर्सा जिल्ला	District de Parsa
युनिता	Union nationale pour l'indépendance totale de l'Angola
प्याराडाइज लस्ट	Le Paradis perdu (John Milton)
फिल्ड पुरस्कार	Médaille Fields
पाइथन प्रोग्रामिङ्ग भाषा	Python (langage)
इस्लामी क्यालेण्डर	Calendrier musulman
भँगेरा	Passeridae
कञ्चनपुर जिल्ला	District de Kanchanpur
इलाम जिल्ला	District d'Ilam
ओखलढुङ्गा जिल्ला	District d'Okhaldhunga
धनुषा जिल्ला	District de Dhanusha
अ पकेट फुल अफ राइ	Une poignée de seigle
१९५१ एसियाली खेल	Jeux asiatiques de 1951
लमजुङ जिल्ला	District de Lamjung
असमिया	Assamais
जाजरकोट जिल्ला	District de Jajarkot
गुणकेशरी	Narcissus
हलुवावेद	Kaki
माइकल क्यारिक	Michael Carrick
अवधी भाषा	Awadhi
वाइ-फाई	Wi-Fi
स्वर्णनयन हाँस	Garrot à œil d'or
सोली	Entonnoir
कालो ओत	Loutre d'Europe
ई.पू. ९५६	956
ई.पू. ९५२	952
जेली फिस	Méduse (animal)
महापौर	Maire
हिउँ चितुवा	Once (félin)
ई.पू. ९७८	978
एभ्रिल लेभिन्ज	Avril Lavigne
राष्ट्रपति	Président
मदर टेरेसा	Mère Teresa
टेरा प्याट्रिक	Tera Patrick
एना इभानोभिक	Ana Ivanović
जालना	Jalna (Maharashtra)
ब्लग	Blog
डेल	Dell
यश चोपडा	Yash Chopra
डेङ्गु	Dengue
धतुरो	Datura stramonium
नरफक टापू	Île Norfolk
क्रिसमस टापु	Île Christmas (Australie)
क्यालकुलेटर	Calculatrice
एली गोल्डिङ	Ellie Goulding
भाइ	Fratrie
सुगा	Psittaciformes
चित्राङ्गड	Rhynchée peinte
फिरफिरे घरगौंथली	Martinet malais
सेतोकण्ठे गौंथली	Martinet épineux
थाकल गौंथली	Martinet batassia
काष्ठकुट	Pic de Macé
पुच्छरकापे गौंथली	Martinet de Sibérie
नीलपुच्छ्रे मुरलीचरा	Guêpier à queue d'azur
ड्यानी एशी	Danni Ashe
पौडी (खेल)	Natation sportive
गुलाब जामुन	Jamrosat
लामपुच्छ्रे चैतेचरा	Engoulevent de Horsfield
वसन्त चरा	Barbu à calotte bleue
नीलटाउके माटीकोरे	Martin-pêcheur méninting
अन्तरराष्ट्रिय प्रकृति संरक्षण संघको रातो सूची	Liste rouge de l'UICN
मेष राशि	Bélier (astrologie)
मुक्केबाजी	Boxe anglaise
सोनाली बेन्द्रे	Sonali Bendre
डोगरी	Dogri
मलाला युसफजई	Malala Yousafzai
मेनफ्रेम कम्प्युटर	Micro-informatique
जेब्रा	Zèbre
मस्जिद	Mosquée
एकन	Akon
जोङ्खा भाषा	Dzongkha
ड्रेक (गायक)	Drake (chanteur)
भोजपुरी भाषा	Bhodjpouri
मुगल साम्राज्य	Empire moghol
जलंधर	Jalandhar
सेतो गिद्ध	Percnoptère
संग्रहालय	Musée
पाण्डा	Panda géant
केशा (गायिका)	Kesha
हेमा मालिनी	Hema Malini
कन्नड भाषा	Kannada
चट्याङ्	Foudre
बर्टेण्ड रसेल	Bertrand Russell
अरब क्रान्ति	Printemps arabe
हात	Main
डु फु	Du Fu
एडमण्ड हिलारी	Edmund Hillary
नेपाली भाषा	Népalais
जनसंख्या	Population
थियोडोर रूजवेल्ट	Theodore Roosevelt
मणिपुरी भाषा	Meitei
उलरू	Uluru
कागते घाँस	Citronnelle
चेकोस्लोभाकिया	Tchécoslovaquie
नेपाल भाषा	Nepalbhasha
अभिनेता	Acteur
हलिउड	Hollywood
काजु	Anacardier
अक्षांश	Latitude
जस्टिन बीबर	Justin Bieber
चरेस	Bronze
होस्नी मुबारक	Hosni Moubarak
नौनी	Beurre
जिउस	Zeus
नायगरा फल्स	Chutes du Niagara
सांकेतिक भाषा	Langue des signes
तिब्बती भाषा	Tibétain
अलेक्ज्याण्डर ग्राहम बेल	Alexander Graham Bell
ज्योतिष	Astrologie
ट्याज्मानिया	Tasmanie
राजहंस	Cygne
विटनी हृयूस्टन	Whitney Houston
साबुन	Savon
बेनजिर भुट्टो	Benazir Bhutto
सकिरा	Shakira
अक्सफोर्ड विश्वविद्यालय	Université d'Oxford
सडक	Route
गेनिथ पाल्ट्रो	Gwyneth Paltrow
सघन चक्र	Disque compact
हिरोहितो	Hirohito
हेलिकोप्टर	Hélicoptère
अल कायदा	Al-Qaïda
मोटरसाइकल	Motocyclette
औंला (हात)	Doigt
जे.के. रोलिङ	J. K. Rowling
गुलाफ	Rosier
कम्पास	Boussole
फ्रेडरिक एंगेल्स	Friedrich Engels
नयाँ वर्ष	Jour de l'an
क्याथरिन बिगलो	Kathryn Bigelow
एलिजाबेथ टेलर	Elizabeth Taylor
मेवा	Papayer
ब्रिसबेन	Brisbane
भिटामिन	Vitamine
बन्दागोभी	Chou cabus
अमेरिकाका राष्ट्रपतिह‍रूको सूची	Liste des présidents des États-Unis
वेबसाईट	Site web
दर्पण	Miroir
ब्रजभाषा	Braj bhasha
व्युत्पत्तिशास्त्र	Étymologie
ई.पू. ४४	44 av. J.-C.
तत्त्वज्ञान	Métaphysique
ब्राड पिट	Brad Pitt
टिटीकाका ताल	Lac Titicaca
कोलम्बो	Colombo
एटी एन्ड टी	AT&T
एस्ली लङ्ग	Ashley Long
मदिना	Médine
एलिसिया रोडेस	Alicia Rhodes
एन्जेलिना भ्यालेन्टाइन	Angelina Valentine
ई.पू. २४२	242 av. J.-C.
ई.पू. २४८	248 av. J.-C.
ई.पू. २५८	258 av. J.-C.
ई.पू. २५७	257 av. J.-C.
ई.पू. २५३	253 av. J.-C.
ह्वाइट हाउस	Maison-Blanche
ई.पू. २४६	246 av. J.-C.
ई.पू. २४५	245 av. J.-C.
ई.पू. २४९	249 av. J.-C.
ई.पू. २५२	252 av. J.-C.
ई.पू. २४०	240 av. J.-C.
ई.पू. २५४	254 av. J.-C.
ई.पू. २५६	256 av. J.-C.
यूरोपीय फुटबल संघहरुको संघ	Union des associations européennes de football
ई.पू. २५१	251 av. J.-C.
ई.पू. २५०	250 av. J.-C.
ई.पू. २४४	244 av. J.-C.
ई.पू. २४३	243 av. J.-C.
ई.पू. २५५	255 av. J.-C.
शान्तिमा नोबेल पुरस्कार	Prix Nobel de la paix
हिमनदी	Glacier
एभी स्कट	Avy Scott
एन्नेट्टे स्क्वार्ज	Annette Schwarz
एभा डिभाइन	Ava Devine
एलेक्ट्रा ब्लु	Alektra Blue
निबन्ध	Essai
ई.पू. २४७	247 av. J.-C.
क्याम्ब्रिज विश्वविद्यालय	Université de Cambridge
खोकी	Toux
दाउरा	Bois énergie
ई.पू. २५९	259 av. J.-C.
बप्तिस्मा	Baptême
डुङ्गा	Bateau
इपिल	Leucaena leucocephala
कंगो	Congo
एश्लिन ब्रुक	Ashlynn Brooke
एलेक्सिस टेक्सास	Alexis Texas
एलेट्टा ओसन	Aletta Ocean
सौन्दर्यशास्त्र	Esthétique
एरिया जिओभानी	Aria Giovanni
कोकोस टापु	Îles Cocos
पिस्ता	Pistacia vera
क्विन्सल्याण्ड	Queensland
मैथिली भाषा	Maïthili
हसना फूल	Cestrum nocturnum
ध्वाँसे चितुवा	Panthère nébuleuse
मिजो भाषा	Mizo
बेयोन्से नोल्स	Beyoncé
ब्राम स्टोकर	Bram Stoker
लोककथा	Folklore
कोटेरो मुनियाँ	Capucin damier
मार्क जुकरबर्ग	Mark Zuckerberg
मलयालम	Malayalam
एन्नी क्रुज	Annie Cruz
एस्टन मूरे	Ashton Moore
जीवनी	Biographie
रेसम मार्ग	Route de la soie
इग्वासु झरना	Chutes d'Iguazú
सपना	Rêve
मुसा	Rattus
राजनीति विज्ञान	Science politique
देशान्तर	Longitude
द लायन किंग	Le Roi lion
सहश्राब्दि	Millénaire
फ्रान्सिस ड्रेक	Francis Drake
रासायनिक प्रतिक्रिया	Réaction chimique
चुल्हो	Four
शेर्पा भाषा	Sherpa (langue)
वेश्यावृत्ति	Prostitution
भिक्टोरिया (अस्ट्रेलिया)	Victoria (État)
पाली भाषा	Pali
आङ सान सुकी	Aung San Suu Kyi
चतुर्भुज	Quadrilatère
रिहाना	Rihanna
मातृभाषा	Langue maternelle
पर्वतारोही	Alpinisme
ओजोन	Ozone
उखु	Canne à sucre
कुष्ठरोग	Lèpre
शिकार	Chasse
ज्याकी च्यान	Jackie Chan
फिल्मफेयर पुरस्कार	Filmfare Awards
बिष्णुप्रिया मणिपुरी	Bishnupriya manipuri
होजे सारामागो	José Saramago
अलेक्जेन्डर फ्लेमिङ	Alexander Fleming
टम क्रूज	Tom Cruise
बाल दिवस	Journée de l'enfance
जैतुन	Olivier
याहू	Yahoo!
फ्लोरेन्स नाइटिङ्गेल	Florence Nightingale
गुलबर्गा	Gulbarga
जोनी डेप	Johnny Depp
रोबर्ट कोच	Robert Koch
गिजाको विशाल पिरामिड	Pyramide de Khéops
सिन्ध	Sind
व्यास(ज्यामिती)	Diamètre
शिक्षक	Instituteur
भानुभक्तीय रामायण	Ramayana
इन्टरनेट चलचित्र डेटाबेस	Internet Movie Database
एपोलो	Apollon
दलाइ लामा	Dalaï-lama
क्लाउस एब्नर	Klaus Ebner
बदाम	Arachide
