Aprika	Afrique
Galbarros (Burgos)	Galbarros
Tony Ramos	Tony Ramos
Riego de la Vega	Riego de la Vega
Benuza	Benuza
Villamanín	Villamanín
Mendi	Mendi
Vanimo	Vanimo
Kavieng	Kavieng
Maun Hagen	Mount Hagen
Kokopo	Kokopo
Popondetta	Popondetta
Lorengau	Lorengau
Wewak	Wewak
Tabubil	Tabubil
Rello	Rello
Casey Kasem	Casey Kasem
Iglesias (Burgos)	Iglesias (Burgos)
Plak bilong Ista Ailan	Drapeau de l'île de Pâques
Bembibre	Bembibre
Takuu	Takuu
Ples balus	Aéroport
Pat Carroll	Pat Carroll
Kerema (taun)	Kerema
Tim Conway	Tim Conway
Nesenel Kapitol Distrik	District de la Capitale nationale
My Thuy	Mỹ Thủy
Cármenes	Cármenes
Palacios del Sil	Palacios del Sil
Cabrillanes	Cabrillanes
Grup:Siamani	Catégorie:Allemagne
Grup:Itali	Catégorie:Italie
Grup:Ol Yunaitet Stet	Catégorie:États-Unis
Grup:Kanada	Catégorie:Canada
Grup:Yunaitet Kingdom	Catégorie:Royaume-Uni
Grup:Spen	Catégorie:Espagne
Grup:Siapan	Catégorie:Japon
Grup:Ostrelia	Catégorie:Australie
Grup:India	Catégorie:Inde
Grup:Isrel	Catégorie:Israël
Grup:Ijip	Catégorie:Égypte
Grup:Niu Silan	Catégorie:Nouvelle-Zélande
La Bañeza	La Bañeza
Carracedelo	Carracedelo
Carucedo	Carucedo
Corullón	Corullón
Castrocontrigo	Castrocontrigo
Fabero	Fabero
Grup:Indonisia	Catégorie:Indonésie
Grup:Irak	Catégorie:Irak
Grup:Polan	Catégorie:Pologne
Grup:Saut Koria	Catégorie:Corée du Sud
Grup:Tailan	Catégorie:Thaïlande
Grup:Yukren	Catégorie:Ukraine
Grup:Vietnam	Catégorie:Viêt Nam
Grup:Ol pisin	Catégorie:Oiseau
Grup:Ol Sayor	Catégorie:Plante
Grup:Save long Laip	Catégorie:Biologie
Grup:Kemistri	Catégorie:Chimie
Grup:Histori	Catégorie:Histoire
Grup:Save long giraun	Catégorie:Géographie
Grup:Sosaiti	Catégorie:Société
Grup:Lotu	Catégorie:Religion
Grup:Saiens	Catégorie:Sciences
Grup:Giraun	Catégorie:Terre
Mun	MUN (homonymie)
Vegas del Condado	Vegas del Condado
Borrenes	Borrenes
Santovenia de la Valdoncina	Santovenia de la Valdoncina
La Pola de Gordón	La Pola de Gordón
Villablino	Villablino
Torre del Bierzo	Torre del Bierzo
Vega de Espinareda	Vega de Espinareda
Barjas	Barjas
Cistierna	Cistierna
Jurisdicción de Lara (Burgos)	Jurisdicción de Lara
Arganza (León)	Arganza
Valdevimbre	Valdevimbre
Villaturiel	Villaturiel
Valdepolo	Valdepolo
Gumiel de Mercado (Burgos)	Gumiel de Mercado
Oquillas (Burgos)	Oquillas
Villamañán	Villamañan
Puente de Domingo Flórez	Puente de Domingo Flórez
Olmillos de Muñó (Burgos)	Olmillos de Muñó
Encío (Burgos)	Encío
Ibeas de Juarros (Burgos)	Ibeas de Juarros
Urdiales del Páramo	Urdiales del Páramo
Sena de Luna	Sena de Luna
Oña (Burgos)	Oña
Grisaleña (Burgos)	Grisaleña
Zazuar (Burgos)	Zazuar
Zarzosa de Río Pisuerga (Burgos)	Zarzosa de Río Pisuerga
Zael (Burgos)	Zael
Lerma (Burgos)	Lerma (Castille-et-León)
Villaquejida	Villaquejida
Sariegos	Sariegos
Corbillos de los Oteros	Corbillos de los Oteros
Vega de Infanzones	Vega de Infanzones
Peranzanes	Peranzanes
Sabero	Sabero
Candín (León)	Candín
Valderrueda	Valderrueda
Puebla de Lillo	Puebla de Lillo
Soto y Amío	Soto y Amío
Laguna de Negrillos	Laguna de Negrillos
Villarejo de Órbigo	Villarejo de Órbigo
La Vecilla	La Vecilla
San Andrés del Rabanedo	San Andrés del Rabanedo
Villazala	Villazala
Villamontán de la Valduerna	Villamontán de la Valduerna
Nava de Roa (Burgos)	Nava de Roa
Villasabariego	Villasabariego
Oencia	Oencia
Encinedo	Encinedo
Zuñeda (Burgos)	Zuñeda
Escobar de Campos	Escobar de Campos
Destriana	Destriana
Villagatón	Villagatón
Laguna Dalga	Laguna Dalga
Iglesiarrubia (Burgos)	Iglesiarrubia
Gumiel de Izán (Burgos)	Gumiel de Izán
Posada de Valdeón	Posada de Valdeón
Valderrey	Valderrey
Joarilla de las Matas	Joarilla de las Matas
Neila (Burgos)	Neila
Santiago Millas	Santiago Millas
Turcia	Turcia
Prioro	Prioro
Valdelugueros	Valdelugueros
Santas Martas	Santas Martas
Vegaquemada	Vegaquemada
Pobladura de Pelayo García	Pobladura de Pelayo García
Navas de Bureba (Burgos)	Navas de Bureba
Vegacervera	Vegacervera
San Adrián del Valle	San Adrián del Valle
Valdefuentes del Páramo	Valdefuentes del Páramo
Jaramillo Quemado (Burgos)	Jaramillo Quemado
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
La Gallega (Burgos)	La Gallega
Villabraz	Villabraz
Villamejil	Villamejil
Villaornate y Castro	Villaornate y Castro
Valverde-Enrique	Valverde-Enrique
Villaobispo de Otero	Villaobispo de Otero
Oseja de Sajambre	Oseja de Sajambre
Villazanzo de Valderaduey	Villazanzo de Valderaduey
Villanueva de las Manzanas	Villanueva de las Manzanas
Villamandos	Villamandos
Villamol	Villamol
Villaselán	Villaselán
Villamoratiel de las Matas	Villamoratiel de las Matas
Toral de los Guzmanes	Toral de los Guzmanes (León)
Benavides	Benavides (León)
Junta de Villalba de Losa (Burgos)	Junta de Villalba de Losa
Estépar (Burgos)	Estépar
Carrizo	Carrizo de la Ribera
Vallecillo	Vallecillo
Espinosa de Cervera (Burgos)	Espinosa de Cervera
Úrbel del Castillo (Burgos)	Úrbel del Castillo
Grijalba (Burgos)	Grijalba
Balboa (León)	Balboa (León)
Ranko Matasović	Ranko Matasović
Riaño	Riaño
Truchas	Truchas
Regina Duarte	Regina Duarte
Grup:Pilosopi	Catégorie:Philosophie
Grup:Saikolosi	Catégorie:Psychologie
Grup:Budisim	Catégorie:Bouddhisme
Grup:Kristen	Catégorie:Christianisme
Grup:Islam	Catégorie:Islam
Pangu Pati	Pangu Pati
Histori long Papua Niugini	Histoire de la Papouasie-Nouvelle-Guinée
Benedicta Boccoli	Benedicta Boccoli
Carolina Ferraz	Carolina Ferraz
Buka	Buka
Wabag	Wabag
Thiago Lacerda	Thiago Lacerda
Walt Dohrn	Walt Dohrn
Conrad Bain	Conrad Bain
Grup:Ol pes i liklik tumas	Catégorie:Wikipédia:ébauche
Grup:Ol planet	Catégorie:Planète
Grup:Kontinen	Catégorie:Continent
Renata Sorrah	Renata Sorrah
Lenny Henry	Lenny Henry
Jim Meskimen	Jim Meskimen
Templet:Footer SolarSystem	Modèle:Palette Système solaire
Buna	Buna (Papouasie-Nouvelle-Guinée)
Templet:T	Modèle:M
Templet:Babel bokis	Modèle:BUtilisateur
Susan Egan	Susan Egan
Templet:Wikipediatokples	Modèle:Wikipedialang
Grup:Ol kantri	Catégorie:Pays
Grup:Ekonomikis	Catégorie:Économie
Wikipedia:Administrators	Wikipédia:Administrateur
Grup:Manmeri	Catégorie:Personnalité
Wikipedia:AutoWikiBrowser	Wikipédia:AutoWikiBrowser
Grup:Politikis	Catégorie:Politique
Grup:Saiens bilong ai	Catégorie:Optique
Ijip	Égypte
Templet:Bot	Modèle:Bot
Kanada	Canada
Grup:Hangari	Catégorie:Hongrie
Grup:Estonia	Catégorie:Estonie
Grup:Gris	Catégorie:Grèce
Grup:Latvia	Catégorie:Lettonie
Grup:Aislan	Catégorie:Islande
Grup:Lituwenia	Catégorie:Lituanie
Grup:Slovakia	Catégorie:Slovaquie
Wikipedia:Copyrights	Wikipédia:Droit d'auteur
Templet:Flagicon	Modèle:Drapeau
Grup:Ol kantri long Yurop	Catégorie:Pays d'Europe
Grup:Yurop	Catégorie:Europe
Templet:Template doc	Modèle:Documentation
Grup:Yusa tokples	Catégorie:Wikipédiens par langue
Wikipedia:Faipela lo	Wikipédia:Principes fondateurs
Sung Jae-gi	Sung Jae-ki
Templet:Softredirect	Modèle:Redirection douce
Templet:Delete	Modèle:Suppression Immédiate
Grup:Ol tokples	Catégorie:Langue
Grup:Grama	Catégorie:Grammaire
Solija	Militaire
Grup:Ol siti na taun bilong kantri	Catégorie:Localité par pays
Templet:Navbox	Modèle:Méta palette de navigation
Bikpela magani	Kangourou
Templet:Shortcut	Modèle:Raccourci
Templet:!	Modèle:!
Nina Andrycz	Nina Andrycz
Templet:!-	Modèle:!-
Templet:!!	Modèle:!!
Templet:Tnavbar	Modèle:Tnavbar
Templet:Loop	Modèle:Loop
Templet:Unicode	Modèle:UCode
Templet:Okina	Modèle:Okina
Templet:Small	Modèle:Petit
Templet:Clear	Modèle:Clr
Templet:Color	Modèle:Coloré
Templet:Nowrap	Modèle:Nobr
Templet:Anchor	Modèle:Ancre
Wikipedia:Ol pes i mas stap long Wikipedia	Wikipédia:Articles vitaux
Grup:Elektroniks	Catégorie:Électronique
Templet:Babel	Modèle:Boîte Babel
Templet:Commons	Modèle:Commons
Templet:Reflist	Modèle:Références
Templet:Stub	Modèle:Ébauche
Templet:User ar-1	Modèle:Utilisateur ar-1
Templet:User ast-1	Modèle:Utilisateur ast-1
Templet:User az	Modèle:Utilisateur az
Templet:Yusa eo-1	Modèle:Utilisateur eo-1
Templet:See also	Modèle:Article connexe
Templet:User da	Modèle:Utilisateur da
Templet:User ca-1	Modèle:Utilisateur ca-1
Templet:User cs-1	Modèle:Utilisateur cs-1
Templet:User eo-3	Modèle:Utilisateur eo-3
Templet:User de	Modèle:Utilisateur de
Templet:User de-1	Modèle:Utilisateur de-1
Templet:User el	Modèle:Utilisateur el
Templet:User es	Modèle:Utilisateur es
Templet:User de-3	Modèle:Utilisateur de-3
Templet:User en-3	Modèle:Utilisateur en-3
Templet:User en-1	Modèle:Utilisateur en-1
Templet:User en-2	Modèle:Utilisateur en-2
Templet:User eo-2	Modèle:Utilisateur eo-2
Templet:User en-4	Modèle:Utilisateur en-4
Templet:User en-0	Modèle:Utilisateur en-0
Templet:User en	Modèle:Utilisateur en
Templet:User de-2	Modèle:Utilisateur de-2
Templet:User es-1	Modèle:Utilisateur es-1
Templet:User fa	Modèle:Utilisateur fa
Templet:User fr-1	Modèle:Utilisateur fr-1
Grup:Laip	Catégorie:Vivant
Templet:User gl-1	Modèle:Utilisateur gl-1
Templet:User hu-N	Modèle:Utilisateur hu
Templet:User sk	Modèle:Utilisateur sk
Templet:User tr-2	Modèle:Utilisateur tr-2
Templet:User fr-2	Modèle:Utilisateur fr-2
Templet:User ja	Modèle:Utilisateur ja
Templet:User ja-1	Modèle:Utilisateur ja-1
Templet:User it-1	Modèle:Utilisateur it-1
Templet:User fr	Modèle:Utilisateur fr
Templet:Unsigned	Modèle:Non signé
Templet:Country data Tajikistan	Modèle:Country data Tadjikistan
Grup:Azerbaijan	Catégorie:Azerbaïdjan
Grup:Esia	Catégorie:Asie
Grup:Soria provins	Catégorie:Province de Soria
Grup:Castile na León	Catégorie:Castille-et-León
Templet:Country data Kuwait	Modèle:Country data Koweït
Templet:Mod	Modèle:Mod
Templet:ISO639-3 documentation	Modèle:Lien ISO 639-3
Templet:User es-2	Modèle:Utilisateur es-2
Templet:NewUser	Modèle:Bienvenue nouveau
Templet:Ref-ru	Modèle:Ru
Templet:WikipediaSista	Modèle:Projets Wikimedia
Templet:Country data Belgium	Modèle:Country data Belgique
Templet:Country data Slovakia	Modèle:Country data Slovaquie
Templet:Country data El Salvador	Modèle:Country data Salvador
Templet:Country data Panama	Modèle:Country data Panama
Templet:Navy/core	Modèle:Marine de guerre/callback
Templet:Country data Tunisia	Modèle:Country data Tunisie
Templet:Country data Czech Republic	Modèle:Country data République tchèque
Templet:Country data Cuba	Modèle:Country data Cuba
Templet:Country data Indonesia	Modèle:Country data Indonésie
Templet:Country data Senegal	Modèle:Country data Sénégal
Templet:Country data Madagascar	Modèle:Country data Madagascar
Templet:Country data Albania	Modèle:Country data Albanie
Templet:Country data Macau	Modèle:Country data Macao
Templet:Country data Kenya	Modèle:Country data Kenya
Templet:Country data Nicaragua	Modèle:Country data Nicaragua
Templet:Country data Honduras	Modèle:Country data Honduras
Templet:Country data Uzbekistan	Modèle:Country data Ouzbékistan
Templet:Country data Dominican Republic	Modèle:Country data République dominicaine
Templet:Country data Togo	Modèle:Country data Togo
Templet:Country data Guatemala	Modèle:Country data Guatemala
Grup:Lingwistikis	Catégorie:Linguistique
Templet:Country data Haiti	Modèle:Country data Haïti
Templet:Ol mun na de bilong yia	Modèle:Palette Éphéméride
Templet:Country data Mali	Modèle:Country data Mali
Templet:Country data Iceland	Modèle:Country data Islande
Templet:Country data Poland	Modèle:Country data Pologne
Templet:ITA	Modèle:Italie
Templet:Country data Bulgaria	Modèle:Country data Bulgarie
Templet:Country data Bosnia and Herzegovina	Modèle:Country data Bosnie-Herzégovine
Grup:Yusa fr-1	Catégorie:Utilisateur fr-1
Templet:Country data Norway	Modèle:Country data Norvège
Templet:Country data South Africa	Modèle:Country data Afrique du Sud
Templet:Country showdata	Modèle:Country showdata
Templet:Country data Trinidad and Tobago	Modèle:Country data Trinité-et-Tobago
Templet:Country data Sri Lanka	Modèle:Country data Sri Lanka
Templet:Country data Mexico	Modèle:Country data Mexique
Templet:Country data Greece	Modèle:Country data Grèce
Templet:Country data Luxembourg	Modèle:Country data Luxembourg
Templet:Country data Saudi Arabia	Modèle:Country data Arabie saoudite
Templet:Country data Croatia	Modèle:Country data Croatie
Templet:Country data United Arab Emirates	Modèle:Country data Émirats arabes unis
Templet:Country data U.S. Virgin Islands	Modèle:Country data Îles Vierges des États-Unis
Templet:Country data Morocco	Modèle:Country data Maroc
Templet:Collapsible list	Modèle:Collapsible list
Templet:Country data Ostrelia	Modèle:Country data Australie
Templet:Country data France	Modèle:Country data France
Templet:Ambox	Modèle:Méta bandeau d'avertissement
Templet:Navigation templates	Modèle:Palette Modèles navigationnels
Templet:Steady	Modèle:Stagnation
Templet:Infobokis Kantri	Modèle:Infobox Pays
Templet:Country data Laos	Modèle:Country data Laos
Templet:Fi icon	Modèle:Fi
Templet:Str left	Modèle:Str left
Templet:Country data Nepal	Modèle:Country data Népal
Templet:Country data Finland	Modèle:Country data Finlande
Templet:Country data Japan	Modèle:Country data Japon
Templet:Country data Netherlands	Modèle:Country data Pays-Bas
Templet:Cite journal	Modèle:Article
Templet:Country data Azerbaijan	Modèle:Country data Azerbaïdjan
Templet:User es-0	Modèle:Utilisateur es-0
Templet:Country data Libya	Modèle:Country data Libye
Grup:Yusa en-4	Catégorie:Utilisateur en-4
Grup:Yusa en	Catégorie:Utilisateur en
Grup:Yusa en-2	Catégorie:Utilisateur en-2
Templet:Navy	Modèle:Marine de guerre
Templet:Yusa eo	Modèle:Utilisateur eo
Templet:User zh	Modèle:Utilisateur zh
Templet:Template other	Modèle:Template other
Templet:Legend	Modèle:Légende
Templet:Country data Italy	Modèle:Country data Italie
Templet:Kantri data	Modèle:Country data
Templet:Pp-template	Modèle:Protection
Templet:·	Modèle:·
Templet:Ol daireksion	Modèle:Palette Points cardinaux
Templet:Wiktionary	Modèle:Wiktionnaire
Templet:Country data Sweden	Modèle:Country data Suède
Templet:Ref-lang	Modèle:Indication de langue
Grup:Egrikalsa	Catégorie:Agriculture
Templet:User ru	Modèle:Utilisateur ru
Templet:IPA	Modèle:Prononciation API
Grup:Ol planet bilong Sola Sistem	Catégorie:Planète du système solaire
Templet:Country data Costa Rica	Modèle:Country data Costa Rica
Templet:Country data India	Modèle:Country data Inde
Grup:Language user templates	Catégorie:Langue pour les boîtes utilisateurs
Templet:Toktok bilong nem	Modèle:Langue avec nom
Templet:Babel bokis-N	Modèle:Babel field M
Templet:Rellink	Modèle:Rellink
Templet:Babel bokis-1	Modèle:Babel field 1
Templet:MONTHNAME	Modèle:MONTHNAME
Wikipedia:Buk Bilong GFDL	Wikipédia:Licence de documentation libre GNU
Templet:Country data European Union	Modèle:Country data Union européenne
Templet:Country data Portugal	Modèle:Country data Portugal
Templet:MONTHNUMBER	Modèle:MONTHNUMBER
Grup:Kantri data bilong ol plak templet	Catégorie:Modèle Country data
Templet:Country data China	Modèle:Country data Chine
Templet:Country data Inglan	Modèle:Country data Angleterre
Templet:Country data Turkey	Modèle:Country data Turquie
Templet:Country data Switzerland	Modèle:Country data Suisse
Templet:Tok-cs	Modèle:Lang-cs
Templet:Country data Philippines	Modèle:Country data Philippines
Templet:Country data Malaysia	Modèle:Country data Malaisie
Templet:Country data Zimbabwe	Modèle:Country data Zimbabwe
Templet:Infobokis Plak	Modèle:Infobox Drapeau
Templet:Infobokis Planet	Modèle:Infobox Planète
Grup:Politikis long kontinen	Catégorie:Politique par continent
Templet:Ethnologue	Modèle:Ethnologue
Templet:Infobokis Websait	Modèle:Infobox Site web
Templet:SCO	Modèle:Écosse
Templet:Documentation subpage	Modèle:Sous-page de documentation
Templet:CcTLD	Modèle:Palette Domaines de premier niveau nationaux d'Internet
Templet:POL	Modèle:Pologne
Templet:Div col	Modèle:Début de colonnes
Templet:Tok-de	Modèle:Lang-de
Templet:Tok-la	Modèle:Lang-la
Templet:Country flag2	Modèle:Drapeau/callback
Templet:Harim stori	Modèle:Article audio
Templet:Unreferenced	Modèle:À sourcer
Templet:Babel bokis-4	Modèle:Babel field 4
Templet:Year nav	Modèle:Années
Grup:Ples balus long Vietnam	Catégorie:Aéroport au Viêt Nam
Templet:Emergency-bot-shutoff	Modèle:Arrêt d'urgence pour bot
Templet:User pl-1	Modèle:Utilisateur pl-1
Templet:Prettytable	Modèle:Prettyinfobox
Templet:Country flagcountry2	Modèle:Pays/callback
Templet:Transl	Modèle:Transl
Templet:Infobokis kantri bilong bipo	Modèle:Infobox Ancienne entité territoriale
Templet:Redirect	Modèle:Redirect
Templet:Age in days	Modèle:Age en jours
Templet:JULIANDAY	Modèle:JULIANDAY
Templet:FIAV	Modèle:FIAV
Templet:Politbokis	Modèle:BoîtePolitique
Templet:UNO	Modèle:Nations unies
Templet:Infobokis Kontinen	Modèle:Infobox Continent
Templet:User de-0	Modèle:Utilisateur de-0
Templet:Ol de bilong dispela wik	Modèle:Palette Jours de la semaine
Templet:Gregorian serial date	Modèle:Gregorian serial date
Grup:Yusa ja-N	Catégorie:Utilisateur ja-M
Templet:Tok-ru	Modèle:Lang-ru
Templet:Disambig	Modèle:Homonymie
Templet:Country data Hong Kong	Modèle:Country data Hong Kong
Grup:Niuspepa	Catégorie:Presse écrite
Templet:Para	Modèle:Para
Templet:User no	Modèle:Utilisateur no
Templet:Tok-en	Modèle:Lang-en
Templet:Babel bokis-3	Modèle:Babel field 3
Templet:Mp	Modèle:PM2
Templet:Country data Qatar	Modèle:Country data Qatar
Templet:User it-2	Modèle:Utilisateur it-2
Templet:Ref-de	Modèle:De
Templet:Geological range	Modèle:Présence fossile
Templet:Country data Israel	Modèle:Country data Israël
Templet:Nts	Modèle:Smn
Templet:Country data Pakistan	Modèle:Country data Pakistan
Templet:Country data Ghana	Modèle:Country data Ghana
Templet:Country data Romania	Modèle:Country data Roumanie
Templet:Country data South Korea	Modèle:Country data Corée du Sud
Templet:Ileksen-tebol	Modèle:TableauÉlection
Templet:Convert	Modèle:Conversion
Templet:InterWiki	Modèle:Interwiki
Templet:Coord	Modèle:Coord
Templet:Europe topic	Modèle:Palette Pays d'Europe
Grup:Yusa sk	Catégorie:Utilisateur sk
Grup:Yusa eo	Catégorie:Utilisateur eo
Grup:Yusa fr	Catégorie:Utilisateur fr
Grup:Yusa hu-N	Catégorie:Utilisateur hu-M
Grup:Yusa ja	Catégorie:Utilisateur ja
Grup:Yusa th	Catégorie:Utilisateur th
Grup:Yusa fr-3	Catégorie:Utilisateur fr-3
Grup:Yusa ja-3	Catégorie:Utilisateur ja-3
Grup:Yusa pl-1	Catégorie:Utilisateur pl-1
Grup:Yusa hu-4	Catégorie:Utilisateur hu-4
Grup:Yusa fr-2	Catégorie:Utilisateur fr-2
Grup:Yusa hu-2	Catégorie:Utilisateur hu-2
Grup:Yusa it-2	Catégorie:Utilisateur it-2
Grup:Yusa ja-2	Catégorie:Utilisateur ja-2
Grup:Yusa fr-N	Catégorie:Utilisateur fr-M
Grup:Yusa ru-N	Catégorie:Utilisateur ru-M
Grup:Ol kapitol bilong Osenia	Catégorie:Capitale d'Océanie
Grup:Yusa bi	Catégorie:Utilisateur bi
Grup:Yusa bi-1	Catégorie:Utilisateur bi-1
Grup:Yusa bi-2	Catégorie:Utilisateur bi-2
Grup:Yusa bi-3	Catégorie:Utilisateur bi-3
Grup:Yusa bi-N	Catégorie:Utilisateur bi-M
Grup:Yusa ca	Catégorie:Utilisateur ca
Grup:Yusa ca-1	Catégorie:Utilisateur ca-1
Grup:Ailan	Catégorie:Île
Grup:Quang Binh provins	Catégorie:Province de Quảng Bình
Grup:Yusa sk-N	Catégorie:Utilisateur sk-M
Grup:Yusa de	Catégorie:Utilisateur de
Grup:Yusa de-2	Catégorie:Utilisateur de-2
Grup:Yusa de-3	Catégorie:Utilisateur de-3
Grup:Yusa de-N	Catégorie:Utilisateur de-M
Grup:Yusa dsb	Catégorie:Utilisateur dsb
Grup:Yusa dsb-1	Catégorie:Utilisateur dsb-1
Grup:Yusa el	Catégorie:Utilisateur el
Grup:Yusa el-N	Catégorie:Utilisateur el-M
Grup:Yusa en-0	Catégorie:Utilisateur en-0
Grup:Yusa en-3	Catégorie:Utilisateur en-3
Grup:Yusa en-N	Catégorie:Utilisateur en-M
Grup:Yusa eo-1	Catégorie:Utilisateur eo-1
Grup:Yusa eo-2	Catégorie:Utilisateur eo-2
Grup:Yusa eo-3	Catégorie:Utilisateur eo-3
Grup:Yusa eo-4	Catégorie:Utilisateur eo-4
Grup:Yusa es	Catégorie:Utilisateur es
Grup:Yusa es-1	Catégorie:Utilisateur es-1
Grup:Yusa eu	Catégorie:Utilisateur eu
Grup:Yusa eu-1	Catégorie:Utilisateur eu-1
Grup:Yusa hsb	Catégorie:Utilisateur hsb
Grup:Yusa hsb-1	Catégorie:Utilisateur hsb-1
Grup:Yusa hu	Catégorie:Utilisateur hu
Grup:Yusa hu-1	Catégorie:Utilisateur hu-1
Grup:Yusa hu-3	Catégorie:Utilisateur hu-3
Grup:Politikis long kantri	Catégorie:Politique par pays
Templet:Country data Germany	Modèle:Country data Allemagne
Templet:Country data United Kingdom	Modèle:Country data Royaume-Uni
Templet:Cl	Modèle:C
Templet:Country data Skotlan	Modèle:Country data Écosse
Grup:Yusa it	Catégorie:Utilisateur it
Grup:Yusa it-1	Catégorie:Utilisateur it-1
Grup:Yusa ja-1	Catégorie:Utilisateur ja-1
Grup:Ol stet bilong Ol Yunaitet Stet	Catégorie:État des États-Unis
Grup:Ol provins bilong Vietnam	Catégorie:Province du Viêt Nam
Templet:Ol provins bilong Papua Niugini	Modèle:Palette Subdivisions de la Papouasie-Nouvelle-Guinée
Grup:Ol provins bilong Papua Niugini	Catégorie:Province de la Papouasie-Nouvelle-Guinée
Grup:Lukluk bilong manmeri	Catégorie:Vision
Grup:Yusa ru-1	Catégorie:Utilisateur ru-1
Wikipedia:Babel	Wikipédia:Babel
Templet:Tdeprecated	Modèle:Modèle obsolète
Templet:·wrap	Modèle:·wrap
Templet:User sv-1	Modèle:Utilisateur sv-1
Templet:Babel bokis-2	Modèle:Babel field 2
Grup:Ol siti na taun bilong Polan	Catégorie:Ville de Pologne
Templet:Country data Brazil	Modèle:Country data Brésil
Grup:7	Catégorie:7
Grup:Paradisaeidae	Catégorie:Paradisaeidae
Templet:Country data Hungary	Modèle:Country data Hongrie
Grup:Ol tokples bilong Esia	Catégorie:Langue d'Asie
Grup:Ol kantri long Aprika	Catégorie:Pays d'Afrique
Grup:Yusa ru	Catégorie:Utilisateur ru
Grup:Yusa ru-2	Catégorie:Utilisateur ru-2
Grup:Yusa ru-3	Catégorie:Utilisateur ru-3
Grup:Yusa ru-4	Catégorie:Utilisateur ru-4
Grup:Yusa th-1	Catégorie:Utilisateur th-1
Grup:Yusa tpi	Catégorie:Utilisateur tpi
Grup:Yusa tpi-1	Catégorie:Utilisateur tpi-1
Grup:Yusa tpi-2	Catégorie:Utilisateur tpi-2
Grup:Yusa tpi-3	Catégorie:Utilisateur tpi-3
Grup:Yusa tpi-4	Catégorie:Utilisateur tpi-4
Grup:Yusa tpi-N	Catégorie:Utilisateur tpi-M
Grup:Yusa vi	Catégorie:Utilisateur vi
Templet:Ref-en	Modèle:En
Templet:Spaces	Modèle:Spaces
Templet:Lang	Modèle:Langue
Templet:Template example row	Modèle:Ligne d'exemple de modèle
Templet:Nowrap end	Modèle:Nowrap end
Templet:Begin flag gallery	Modèle:Début galerie drapeau
Templet:User hsb-1	Modèle:Utilisateur hsb-1
Templet:Coord/dec2dms/dm	Modèle:Coord/dec2dms/dm
Grup:Vemont	Catégorie:Vermont
Grup:Kolorado	Catégorie:Colorado
Templet:ENG	Modèle:Angleterre
Templet:Merge	Modèle:À fusionner
Grup:Politikis long PNG	Catégorie:Politique en Papouasie-Nouvelle-Guinée
Templet:Infobokis Tokples/family-color	Projet:Charte graphique/Tableau des langues
Templet:User hu-1	Modèle:Utilisateur hu-1
Templet:User no-1	Modèle:Utilisateur no-1
Templet:User ru-1	Modèle:Utilisateur ru-1
Grup:Ubuntu	Catégorie:Ubuntu
Grup:Manmeri bilong Papua Niugini	Catégorie:Personnalité papou-néo-guinéenne
Templet:Country data Kosovo	Modèle:Country data Kosovo
Grup:Intanet kod	Catégorie:Code internet de pays
Templet:Country data Aruba	Modèle:Country data Aruba
Grup:User no-2	Catégorie:Utilisateur no-2
Grup:User no	Catégorie:Utilisateur no
Grup:Armenia	Catégorie:Arménie
Grup:Bhutan	Catégorie:Bhoutan
Templet:Country data Antigua and Barbuda	Modèle:Country data Antigua-et-Barbuda
Grup:Ples balus	Catégorie:Aéroport
Grup:Ol nesenel plak	Catégorie:Drapeau national
Grup:Ol pisin long kain	Catégorie:Classification taxinomique des oiseaux
Grup:Not Koria	Catégorie:Corée du Nord
Grup:Manmeri bilong Nauru	Catégorie:Personnalité nauruane
Grup:Manmeri bilong Ostrelia	Catégorie:Personnalité australienne
Grup:Vanuatu	Catégorie:Vanuatu
Grup:Korea	Catégorie:Corée
Templet:ISO 639 name	Modèle:Langname
Templet:Country data Wels	Modèle:Country data Pays de Galles
Templet:Country data Papua Niugini	Modèle:Country data Papouasie-Nouvelle-Guinée
Grup:Papua Niugini	Catégorie:Papouasie-Nouvelle-Guinée
Grup:Ol kantri long Pasifik	Catégorie:Pays d'Océanie
Grup:Ol kantri long Not Amerika	Catégorie:Pays d'Amérique du Nord
Grup:Ol tokples bilong Yurop	Catégorie:Langue d'Europe
Grup:Ol maunten bilong Papua Niugini	Catégorie:Montagne de Papouasie-Nouvelle-Guinée
Templet:Incubator	Modèle:Incubator
Grup:Ol Abus	Catégorie:Animal
Grup:Ol kantri long Saut Amerika	Catégorie:Pays d'Amérique du Sud
Grup:Ol bokis bilong musik	Catégorie:Instrument de musique
Grup:Piano	Catégorie:Piano
Grup:Ol kapitol bilong kantri	Catégorie:Capitale de pays
Grup:Akiolosi	Catégorie:Archéologie
Grup:Ilektrisiti	Catégorie:Électricité
Grup:Yusa pl	Catégorie:Utilisateur pl
Grup:Famili	Catégorie:Famille
Templet:Infobokis Tokples	Modèle:Infobox Langue
Grup:Osenia	Catégorie:Océanie
Grup:Ol tokples bilong Osenia	Catégorie:Langue d'Océanie
Grup:Ol kapitol bilong Not Amerika	Catégorie:Capitale d'Amérique du Nord
Grup:Ol ailan bilong Papua Niugini	Catégorie:Île de Papouasie-Nouvelle-Guinée
Grup:Ol kapitol bilong Yurop	Catégorie:Capitale européenne
