Afraga	Afrique
Summit County, Colorado	Comté de Summit (Colorado)
Conejos County, Colorado	Comté de Conejos
Logan County, Colorado	Comté de Logan (Colorado)
Mineral County, Colorado	Comté de Mineral (Colorado)
Pitkin County, Colorado	Comté de Pitkin
Washington County, Colorado	Comté de Washington (Colorado)
Montezuma County, Colorado	Comté de Montezuma
Otero County, Colorado	Comté d'Otero (Colorado)
Bill Wyman	Bill Wyman
Daniel McFadden	Daniel McFadden
James Heckman	James Heckman
Seumas Mac a' Phearsain	James Macpherson
Saguache County, Colorado	Comté de Saguache
Douglas Haig	Douglas Haig
William Lamb, 2na Biocas Melbourne	William Lamb
Robert Jenkinson, 2na Iarla de Pholl a' Ghrùthain	Robert Jenkinson
Johan Gadolin	Johan Gadolin
William Petty, 2nd Earl of Shelburne	William Petty FitzMaurice
Clive W. J. Granger	Clive W. J. Granger
Henry Addington, 1d Biocas Sidmouth	Henry Addington
Iain Banks	Iain Banks
Prionnsa Teàrlach Stiùbhart	Charles Édouard Stuart
Augustus FitzRoy, 3rd Duke of Grafton	Augustus FitzRoy (3e duc de Grafton)
Edward C. Prescott	Edward C. Prescott
Lincoln County, Colorado	Comté de Lincoln (Colorado)
Claude Louis Berthollet	Claude Louis Berthollet
Dòmhnall I na h-Alba	Donald Ier d'Écosse
Frederick John Robinson, 1d Biocas Goderich	Frederick John Robinson
Raibeart II, Rìgh na h-Alba	Robert II d'Écosse
Frederick North, Lord North	Frederick North
Uilleam I na h-Alba	Guillaume Ier d'Écosse
Ian Wright	Ian Wright
William Grenville, 1d Baran Grenville	William Grenville
Pueblo County, Colorado	Comté de Pueblo
Routt County, Colorado	Comté de Routt
Rio Grande County, Colorado	Comté de Rio Grande
Montrose County, Colorado	Comté de Montrose
Park County, Colorado	Comté de Park (Colorado)
Teller County, Colorado	Comté de Teller (Colorado)
Morgan County, Colorado	Comté de Morgan (Colorado)
San Miguel County, Colorado	Comté de San Miguel (Colorado)
Daniel Rutherford	Daniel Rutherford
Diùcachd Shagsainn-Lauenburg	Duché de Saxe-Lauenbourg
Johan August Arfwedson	Johan August Arfwedson
Quintus Caecilius Metellus Pius	Quintus Caecilius Metellus Pius
Paul Tergat	Paul Tergat
Balthazar Johannes Vorster	John Vorster
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Bodach na Nollaige	Père Noël
Michiel de Ruyter	Michiel de Ruyter
Owain Glyndŵr	Owain Glyndŵr
Ally McCoist	Ally McCoist
Donovan	Donovan (musicien)
Còiseam I na h-Alba	Constantin Ier d'Écosse
Toirt am bruid	Enlèvement
Johan de Witt	Johan de Witt
C.B. Naomh Mearain	Saint Mirren Football Club
Baralachas	Conjecture
Prìomh Mhinistear Astràilianach	Premier ministre d'Australie
Aberdâr	Aberdare (pays de Galles)
Obar Pheallaidh	Aberfeldy (village)
Aberffraw	Aberffraw
Alasdair MacCoinnich	Alexander Mackenzie (explorateur)
Kawagoe	Kawagoe
Pasto	San Juan de Pasto
Colombey-les-Deux-Églises	Colombey-les-Deux-Églises
Tulach Mhór	Tullamore
Gòbhlan-monaidh	Martinet à ventre blanc
Blianadh	Bronzage
Fo-sgrìobhadh	Abonnement
Fairfield, Calafòrnia	Fairfield (Californie)
Wąbrzeźno	Wąbrzeźno
Bàta-iasgaich	Chalutier
Naoimh	Liste de saints catholiques
Fàsach Mhòr na Gainmhich	Grand désert de sable
Binid	Présure
Cruinneadaireachd	Géométrie sphérique
Bangor, Maine	Bangor (Maine)
Cleburne County, Alabama	Comté de Cleburne (Alabama)
Laramie, Wyoming	Laramie (Wyoming)
Damanhùr	Damanhur
Armenia (baile)	Armenia (Quindío)
Connochaetes taurinus	Gnou bleu
Clarksville, Tennessee	Clarksville (Tennessee)
Raidió Teilifís Éireann	Raidió Teilifís Éireann
Feòladair	Boucher (métier)
Abraham Darby	Abraham Darby
Adhlaic	Enterrement
Oak Park, Illinois	Oak Park (Illinois)
Naomh Daibhidh	David de Ménevie
Maol Chaluim II na h-Alba	Malcolm II d'Écosse
The Two Towers (leabhar)	Les Deux Tours
Deportivo Independiente Medellín	Corporación Deportiva Independiente Medellín
Atlético Nacional	Corporación Deportiva Club Atlético Nacional
Envigado F.C.	Corporación Deportiva Envigado Fútbol Club
Dòmhnall Mac an Deòir	Donald Dewar
John Bruton	John Bruton
Alistair MacLean	Alistair MacLean
Lee Child	Lee Child
Wallace Carothers	Wallace Hume Carothers
Maol Chaluim I na h-Alba	Malcolm Ier d'Écosse
Charles Haughey	Charles James Haughey
Josef Škvorecký	Josef Škvorecký
Còiseam II na h-Alba	Constantin II d'Écosse
Tom Bosley	Tom Bosley
Thomas Graham	Thomas Graham (chimiste)
Eanraig MacGillÌosa	Henry McLeish
Newport News, Virginia	Newport News (Virginie)
Gloucester County, Virginia	Comté de Gloucester (Virginie)
Aspergillus	Aspergillus
Popayán	Popayán
Kappa (Creutair Miotas-eolasach)	Kappa (mythologie)
Wizz Air	Wizz Air
Pointe-à-Pitre	Pointe-à-Pitre
C.B. Dhùn Dèagh	Dundee Football Club
Toirdhealbhach Ó Cearbhalláin	Turlough O'Carolan
An Observer	The Observer
Am Morair Loudoun	John Campbell (4e comte de Loudoun)
Raymond Burr	Raymond Burr
Mathews County, Virginia	Comté de Mathews
New Kent County, Virginia	Comté de New Kent
Charles City County, Virginia	Comté de Charles City
Prince George County, Virginia	Comté de Prince George (Virginie)
Southampton County, Virginia	Comté de Southampton
Isle of Wight County, Virginia	Comté d'Isle of Wight
Goshen County, Wyoming	Comté de Goshen
Miner County, Dakota a Deas	Comté de Miner
Fàsach Shirianach	Désert de Syrie
Grant County, Nebraska	Comté de Grant (Nebraska)
Achadh na Càiridh	Achnacarry
Sussex County, Virginia	Comté de Sussex (Virginie)
Dinwiddie County, Virginia	Comté de Dinwiddie
Chesterfield County, Virginia	Comté de Chesterfield (Virginie)
Henrico County, Virginia	Comté de Henrico
Hanover County, Virginia	Comté de Hanover
Caroline County, Virginia	Comté de Caroline (Virginie)
Stafford County, Virginia	Comté de Stafford (Virginie)
Middlesex County, Virginia	Comté de Middlesex (Virginie)
Fairfax County, Virginia	Comté de Fairfax
Hampton, Virginia	Hampton (Virginie)
Burgess Meredith	Burgess Meredith
İstiklâl Marşı	İstiklâl Marşı
Gerard ter Borch	Gerard ter Borch
Adair County, Oklahoma	Comté d'Adair (Oklahoma)
Am Morair Seòras Moireach	George Murray (général jacobite)
Nick Cannon	Nick Cannon
Anton Corbijn	Anton Corbijn
Adams County, Indiana	Comté d'Adams (Indiana)
Adams County, Pennsylvania	Comté d'Adams (Pennsylvanie)
Adams County, Wisconsin	Comté d'Adams (Wisconsin)
Picseal	Pixel
Richard Schiff	Richard Schiff
Johannes Gerhardus Strijdom	Johannes Strijdom
Ganzhou	Ganzhou
Leòdhas agus na Hearadh	Lewis et Harris
Uan	Lamb
Scott County, Indiana	Comté de Scott (Indiana)
Jackson County, Alabama	Comté de Jackson (Alabama)
Newton County, Indiana	Comté de Newton (Indiana)
McPherson County, Dakota a Deas	Comté de McPherson (Dakota du Sud)
Oilthigh Coimbra	Université de Coimbra
Cauchy-à-la-Tour	Cauchy-à-la-Tour
Morrill County, Nebraska	Comté de Morrill
Eilean Ruisteil	Île Ristol
Baile Átha Luain	Athlone
Buille-cinn	Coup de tête
Hardy County, Virginia an Iar	Comté de Hardy
Mineral County, Montana	Comté de Mineral (Montana)
Waukesha County, Wisconsin	Comté de Waukesha
San Juan County, Colorado	Comté de San Juan (Colorado)
Alison Krauss	Alison Krauss
Stàitire	Personnage d'État
Escondido, Calafòrnia	Escondido (Californie)
Dodge County, Wisconsin	Comté de Dodge (Wisconsin)
Cliabhair	Vannerie
Russell County, Kentucky	Comté de Russell (Kentucky)
Connochaetes gnou	Gnou noir
Washington County, Kansas	Comté de Washington (Kansas)
Shelby County, Illinois	Comté de Shelby (Illinois)
Lebor Gabála Érenn	Lebor Gabála Érenn
Wichita County, Kansas	Comté de Wichita (Kansas)
Wilson County, Kansas	Comté de Wilson (Kansas)
Osborne County, Kansas	Comté d'Osborne
Morris County, Kansas	Comté de Morris (Kansas)
Miami County, Kansas	Comté de Miami (Kansas)
Jeddah	Djeddah
Sheridan County, Kansas	Comté de Sheridan (Kansas)
Phillips County, Kansas	Comté de Phillips (Kansas)
Shawnee County, Kansas	Comté de Shawnee
Ford County, Kansas	Comté de Ford (Kansas)
Lyon County, Kansas	Comté de Lyon (Kansas)
Thomas County, Kansas	Comté de Thomas (Kansas)
Ness County, Kansas	Comté de Ness
Wallace County, Kansas	Comté de Wallace
Kingman County, Kansas	Comté de Kingman
Graham County, Kansas	Comté de Graham (Kansas)
Jewell County, Kansas	Comté de Jewell
Montgomery County, Kansas	Comté de Montgomery (Kansas)
Pawnee County, Kansas	Comté de Pawnee (Kansas)
Pratt County, Kansas	Comté de Pratt
Trego County, Kansas	Comté de Trego
Rawlins County, Kansas	Comté de Rawlins
Haskell County, Kansas	Comté de Haskell (Kansas)
Marion County, Kansas	Comté de Marion (Kansas)
Riley County, Kansas	Comté de Riley
Stafford County, Kansas	Comté de Stafford (Kansas)
Ottawa County, Kansas	Comté d'Ottawa (Kansas)
Graham County, Carolina a Tuath	Comté de Graham (Caroline du Nord)
Hodgeman County, Kansas	Comté de Hodgeman
Johnson County, Kansas	Comté de Johnson (Kansas)
Osage County, Kansas	Comté d'Osage (Kansas)
Greenwood County, Kansas	Comté de Greenwood (Kansas)
Harvey County, Kansas	Comté de Harvey
Sedgwick County, Kansas	Comté de Sedgwick (Kansas)
Sumner County, Kansas	Comté de Sumner (Kansas)
Russell County, Kansas	Comté de Russell (Kansas)
Hanford, Calafòrnia	Hanford (Californie)
Finney County, Kansas	Comté de Finney
Wyandotte County, Kansas	Comté de Wyandotte
Grant County, Kansas	Comté de Grant (Kansas)
Saline County, Kansas	Comté de Saline (Kansas)
Neosho County, Kansas	Comté de Neosho
Gove County, Kansas	Comté de Gove
Smith County, Kansas	Comté de Smith (Kansas)
Kearny County, Kansas	Comté de Kearny
Scott County, Kansas	Comté de Scott (Kansas)
Linn County, Kansas	Comté de Linn (Kansas)
Ellsworth County, Kansas	Comté d'Ellsworth
Yell, Sealltainn	Yell (Écosse)
Ellis County, Kansas	Comté d'Ellis (Kansas)
Atchison County, Kansas	Comté d'Atchison (Kansas)
Barton County, Kansas	Comté de Barton (Kansas)
Polk County, Wisconsin	Comté de Polk (Wisconsin)
Rice County, Kansas	Comté de Rice (Kansas)
Barber County, Kansas	Comté de Barber
Clay County, Kansas	Comté de Clay (Kansas)
Chase County, Kansas	Comté de Chase (Kansas)
Decatur County, Kansas	Comté de Decatur (Kansas)
Coffey County, Kansas	Comté de Coffey
Cloud County, Kansas	Comté de Cloud
Chautauqua County, Kansas	Comté de Chautauqua (Kansas)
Cowley County, Kansas	Comté de Cowley (Kansas)
Cheyenne County, Kansas	Comté de Cheyenne (Kansas)
Republic County, Kansas	Comté de Republic
Elk County, Kansas	Comté d'Elk (Kansas)
Allen County, Kansas	Comté d'Allen (Kansas)
Dickinson County, Kansas	Comté de Dickinson (Kansas)
Bourbon County, Kansas	Comté de Bourbon (Kansas)
Crawford County, Kansas	Comté de Crawford (Kansas)
Cherokee County, Kansas	Comté de Cherokee (Kansas)
Comanche County, Kansas	Comté de Comanche (Kansas)
Doniphan County, Kansas	Comté de Doniphan
Chittagong	Chittagong
Clark County, Kansas	Comté de Clark (Kansas)
Edwards County, Kansas	Comté d'Edwards (Kansas)
Rush County, Kansas	Comté de Rush (Kansas)
McPherson County, Kansas	Comté de McPherson (Kansas)
Mitchell County, Kansas	Comté de Mitchell (Kansas)
Lane County, Kansas	Comté de Lane (Kansas)
Lincoln County, Kansas	Comté de Lincoln (Kansas)
Wabaunsee County, Kansas	Comté de Wabaunsee
Valledupar	Valledupar
A' Mhaoirne	Kincardineshire
Pottawatomie County, Kansas	Comté de Pottawatomie (Kansas)
Marshall County, Kansas	Comté de Marshall (Kansas)
Greene County, Illinois	Comté de Greene (Illinois)
Stanton County, Kansas	Comté de Stanton (Kansas)
Jackson County, Kansas	Comté de Jackson (Kansas)
Seward County, Kansas	Comté de Seward (Kansas)
Greeley County, Kansas	Comté de Greeley (Kansas)
Geary County, Kansas	Comté de Geary
Hamilton County, Kansas	Comté de Hamilton (Kansas)
Norton County, Kansas	Comté de Norton
Harper County, Kansas	Comté de Harper (Kansas)
Morton County, Kansas	Comté de Morton (Kansas)
Anderson County, Kansas	Comté d'Anderson (Kansas)
Perry Mason	Perry Mason (personnage de fiction)
Pleasants County, Virginia an Iar	Comté de Pleasants
Charles Watson-Wentworth, 2nd Marquess of Rockingham	Charles Watson-Wentworth
Rob Ruadh MacGriogair	Robert Roy MacGregor
Rodney MacDonald	Rodney MacDonald
Charles Hatchett	Charles Hatchett
Rock Springs, Wyoming	Rock Springs (Wyoming)
Jason Bonham	Jason Bonham
Domhnall II na h-Alba	Donald II d'Écosse
Uilleam Augustus, Diùc Cumberland	William Augustus de Cumberland
William F. Buckley Jr.	William F. Buckley, Jr.
Seumas Ceanadach	James Kennedy (évêque)
Marion County, Illinois	Comté de Marion (Illinois)
Montgomery County, Pennsylvania	Comté de Montgomery (Pennsylvanie)
Sgioba nàiseanta rugbaidh Shasainn	Équipe d'Angleterre de rugby à XV
Smyth County, Virginia	Comté de Smyth
Fulangas Naomh Mata	Passion selon saint Matthieu
Nathair-mhara (ùirsgeul)	Serpent de mer
Woodson County, Kansas	Comté de Woodson
John Muir	John Muir
Nemaha County, Kansas	Comté de Nemaha (Kansas)
Gray County, Kansas	Comté de Gray (Kansas)
Reno County, Kansas	Comté de Reno
Leavenworth County, Kansas	Comté de Leavenworth
Kiowa County, Kansas	Comté de Kiowa (Kansas)
Rooks County, Kansas	Comté de Rooks
Pònair	Haricot (homonymie)
Albert Reynolds	Albert Reynolds
Rory McIlroy	Rory McIlroy
Thomas Telford	Thomas Telford
Aer Arann	Aer Arann
Ted Danson	Ted Danson
Liam MacCosgair	Liam Cosgrave
Jack Lynch	Jack Lynch
John A. Costello	John A. Costello
Flugelhorn	Bugle
Salm 23	Psaume 23 (22)
Monaidhean Tìbhiot	Monts Cheviot
Hattiesburg, Mississippi	Hattiesburg
Jefferson County, Washington	Comté de Jefferson (Washington)
York County, Carolina a Deas	Comté de York (Caroline du Sud)
Flotta	Flotta
Cecil County, Maryland	Comté de Cecil
Deisciobal	Disciple
Washington County, Iowa	Comté de Washington (Iowa)
Flagler County, Florida	Comté de Flagler
Gazella dorcas	Gazelle dorcas
Abhainn Dheathain	Don (Écosse)
Siorrachd Yarmouth	Comté de Yarmouth
Afro-Coloimbianaich	Afro-Colombiens
Passy	Passy (Haute-Savoie)
Johnson County, Illinois	Comté de Johnson (Illinois)
York County, Maine	Comté de York (Maine)
Pedro Alcántara Herrán	Pedro Alcántara Herrán
Port a' Mhuilinn	Millport (Écosse)
Ermenonville	Ermenonville
Amar-ionnlaid	Bains
MGMT	MGMT
Soisgeul Mhata	Évangile selon Matthieu
Batan	Gourdin
Żelazowa Wola	Żelazowa Wola
Waw	Vav
Howard County, Maryland	Comté de Howard (Maryland)
Palm Desert, Calafòrnia	Palm Desert
Crittenden County, Kentucky	Comté de Crittenden (Kentucky)
Elliott County, Kentucky	Comté d'Elliott
Daviess County, Kentucky	Comté de Daviess (Kentucky)
Searcóg	Shercock
Stevens County, Kansas	Comté de Stevens (Kansas)
Aimearaga	America
Creag Ealasaid	Ailsa Craig
Uig	UIG
Hamhaig	Hawick
Palastain	Territoires palestiniens occupés
An Àrd Ruigh	Airdrie (North Lanarkshire)
Tobar Mhoire	Tobermory
Monadh Rois	Montrose (Écosse)
Hywel Dda	Hywel le Bon
Sodhaigh (soilleireachadh)	Soay
Na Dùintean	Duns
Mars	Mars
Tripp County, Dakota a Deas	Comté de Tripp
Ouray County, Colorado	Comté d'Ouray
Sullivan County, Indiana	Comté de Sullivan (Indiana)
Coral Gables, Florida	Coral Gables
Charlotte County, Virginia	Comté de Charlotte (Virginie)
Penarth	Penarth
Robert Plant	Robert Plant
Durham County, Carolina a Tuath	Comté de Durham (Caroline du Nord)
Caernarfon	Caernarfon
Deuel County, Nebraska	Comté de Deuel (Nebraska)
Bàn-dhearg	Rose (couleur)
Abhainn Chéticamp	Rivière de la Prairie
TransMilenio	TransMilenio
Livingston County, Illinois	Comté de Livingston (Illinois)
Wilkes County, Carolina a Tuath	Comté de Wilkes (Caroline du Nord)
Loch Sìn	Loch Shin
Gazella bennettii	Gazella bennettii
Dunklin County, Missouri	Comté de Dunklin
Lafayette County, Wisconsin	Comté de Lafayette (Wisconsin)
Fladaigh	Eilean Fladday
Shelby County, Indiana	Comté de Shelby (Indiana)
Maurice	Maurice (film)
Alt	Alt
Santa Cruz de La Palma	Santa Cruz de La Palma
Asgair	Apostrophe (typographie)
Torgny Lindgren	Torgny Lindgren
Salvador Puig i Antich	Salvador Puig i Antich
Sergio Garcia	Sergio García Fernández
Allt na h-Eirbhe	Altnaharra
Cesar Romero	Cesar Romero
Alturas, Calafòrnia	Alturas
Yfke Sturm	Yfke Sturm
John Horne	John Horne (géologue)
Fàsach Alvord	Désert d'Alvord
Jackson County, Oregon	Comté de Jackson (Oregon)
Multnomah County, Oregon	Comté de Multnomah
Pàpa Frangan	François (pape)
Leabhar Mhormoin	Livre de Mormon
Nathair-mhara (snàigean)	Hydrophiinae
Bibb County, Alabama	Comté de Bibb (Alabama)
Comhairlean na h-Alba	Subdivisions de l'Écosse
Amelia County, Virginia	Comté d'Amelia
Kenosha, Wisconsin	Kenosha
Lakewood, Colorado	Lakewood (Colorado)
Coireall còsagail	Consonne roulée alvéolaire voisée
Nathair-ghleadhrach	Crotalus
Fàsach Nubianach	Désert de Nubie
Fionnghal NicDhòmhnaill	Flora MacDonald
Julie Fowlis	Julie Fowlis
Nicola Sturgeon	Nicola Sturgeon
Seán Lemass	Seán Lemass
Llywelyn Mòr	Llywelyn le Grand
Ned Maddrell	Ned Maddrell
Lachlann MacGuaire	Lachlan Macquarie
Laureano Gómez Castro	Laureano Gómez
Vladimir Vasilevich Markovnikov	Vladimir Markovnikov
Nevenoe	Nominoë
José Luis Sert	Josep Lluís Sert
Bryan Gunn	Bryan Gunn
Diùcachd Nassau-Usingen	Nassau-Usingen
Miami-Dade County, Florida	Comté de Miami-Dade
Mochi	Mochi
Amherst, Alba Nuadh	Amherst (Nouvelle-Écosse)
Amherst County, Virginia	Comté d'Amherst
Eduardo Santos	Eduardo Santos
Lemuria	Lémurie
Villeblevin	Villeblevin
Balthasar van der Ast	Balthasar van der Ast
Paramore	Paramore
Taylor County, Kentucky	Comté de Taylor (Kentucky)
Bridgewater, Alba Nuadh	Bridgewater (Nouvelle-Écosse)
Snàthad an duine mhairbh	Tipulidae
Wolfville, Alba Nuadh	Wolfville
Pastra	Pâtisserie
Texas County, Missouri	Comté de Texas (Missouri)
Aberfal	Falmouth (Cornouailles)
Y Wladfa	Colonisation galloise du Chubut
Port Adhair Tan Son Nhat	Aéroport international de Tân Sơn Nhất
Deuchainn-lann	Laboratoire de recherche
Meatailt Bàis	Death metal
Bòrd-iarnaigidh	Fer à repasser
Cotton County, Oklahoma	Comté de Cotton
Motley County, Texas	Comté de Motley
Nueces County, Texas	Comté de Nueces
Jones County, Texas	Comté de Jones (Texas)
Bonner County, Idaho	Comté de Bonner
Midland County, Texas	Comté de Midland (Texas)
Will County, Illinois	Comté de Will
Cassia County, Idaho	Comté de Cassia
Stevens County, Washington	Comté de Stevens (Washington)
Okanogan County, Washington	Comté d'Okanogan
Uinta County, Wyoming	Comté de Uinta
Caingeiseachd	Pentecôtisme
Laramie County, Wyoming	Comté de Laramie
Bodach-sneachda	Bonhomme de neige
Pacific County, Washington	Comté de Pacific
Wahkiakum County, Washington	Comté de Wahkiakum
Tì uaine	Thé vert
Edgar County, Illinois	Comté d'Edgar
Eau Claire County, Wisconsin	Comté d'Eau Claire
Fremont County, Wyoming	Comté de Fremont (Wyoming)
San Juan County, Washington	Comté de San Juan (Washington)
Lincoln County, Washington	Comté de Lincoln (Washington)
Whitman County, Washington	Comté de Whitman
Converse County, Wyoming	Comté de Converse
Kitsap County, Washington	Comté de Kitsap
Sweetwater County, Wyoming	Comté de Sweetwater
Sevier County, Utah	Comté de Sevier (Utah)
Saline County, Illinois	Comté de Saline (Illinois)
Bennett County, Dakota a Deas	Comté de Bennett
Bon Homme County, Dakota a Deas	Comté de Bon Homme
Lake County, Illinois	Comté de Lake (Illinois)
Andrew Carnegie	Andrew Carnegie
Johnson County, Wyoming	Comté de Johnson (Wyoming)
Vermilion County, Illinois	Comté de Vermilion (Illinois)
Cedar County, Missouri	Comté de Cedar (Missouri)
Palm Beach County, Florida	Comté de Palm Beach
Bates County, Missouri	Comté de Bates
Atchison County, Missouri	Comté d'Atchison (Missouri)
Benton County, Oregon	Comté de Benton (Oregon)
Yamhill County, Oregon	Comté de Yamhill
Crook County, Oregon	Comté de Crook (Oregon)
Hood River County, Oregon	Comté de Hood River
Harney County, Oregon	Comté de Harney
Clatsop County, Oregon	Comté de Clatsop
Grant County, Oregon	Comté de Grant (Oregon)
Columbia County, Oregon	Comté de Columbia (Oregon)
Klamath County, Oregon	Comté de Klamath
Josephine County, Oregon	Comté de Josephine
Douglas County, Oregon	Comté de Douglas (Oregon)
Clackamas County, Oregon	Comté de Clackamas
Marion County, Oregon	Comté de Marion (Oregon)
Curry County, Oregon	Comté de Curry (Oregon)
Deschutes County, Oregon	Comté de Deschutes
Coos County, Oregon	Comté de Coos (Oregon)
Buffalo County, Dakota a Deas	Comté de Buffalo (Dakota du Sud)
Cooper County, Missouri	Comté de Cooper
Butler County, Missouri	Comté de Butler (Missouri)
Clay County, Missouri	Comté de Clay (Missouri)
Clinton County, Missouri	Comté de Clinton (Missouri)
Cole County, Missouri	Comté de Cole (Missouri)
Barton County, Missouri	Comté de Barton (Missouri)
Caldwell County, Missouri	Comté de Caldwell (Missouri)
Silver Bow County, Montana	Comté de Silver Bow
Parmer County, Texas	Comté de Parmer
Lincoln County, Wyoming	Comté de Lincoln (Wyoming)
Washington County, Oregon	Comté de Washington (Oregon)
Tooele County, Utah	Comté de Tooele
Martin County, Texas	Comté de Martin (Texas)
Salt Lake County, Utah	Comté de Salt Lake
Uintah County, Utah	Comté de Uintah
Summit County, Utah	Comté de Summit (Utah)
Palo Pinto County, Texas	Comté de Palo Pinto
Montague County, Texas	Comté de Montague
Sanpete County, Utah	Comté de Sanpete
Lincoln County, Missouri	Comté de Lincoln (Missouri)
Comanche County, Oklahoma	Comté de Comanche (Oklahoma)
Creek County, Oklahoma	Comté de Creek
Grady County, Oklahoma	Comté de Grady (Oklahoma)
Cleveland County, Oklahoma	Comté de Cleveland (Oklahoma)
Howell County, Missouri	Comté de Howell (Missouri)
Oregon County, Missouri	Comté d'Oregon
Garvin County, Oklahoma	Comté de Garvin
Boone County, Missouri	Comté de Boone (Missouri)
Bollinger County, Missouri	Comté de Bollinger
Buchanan County, Missouri	Comté de Buchanan (Missouri)
Aurora County, Dakota a Deas	Comté d'Aurora
Beaufort County, Carolina a Tuath	Comté de Beaufort (Caroline du Nord)
Cherokee County, Carolina a Tuath	Comté de Cherokee (Caroline du Nord)
Morgan County, Missouri	Comté de Morgan (Missouri)
Berkeley, Calafòrnia	Berkeley (Californie)
Gilliam County, Oregon	Comté de Gilliam
Garfield County, Oklahoma	Comté de Garfield (Oklahoma)
Dallas County, Missouri	Comté de Dallas (Missouri)
Cape Girardeau County, Missouri	Comté de Cap-Girardeau
Andrew County, Missouri	Comté d'Andrew
Delaware County, Oklahoma	Comté de Delaware (Oklahoma)
DeKalb County, Missouri	Comté de DeKalb (Missouri)
Dade County, Missouri	Comté de Dade (Missouri)
Camden County, Missouri	Comté de Camden (Missouri)
Audrain County, Missouri	Comté d'Audrain
Beadle County, Dakota a Deas	Comté de Beadle
Carter County, Missouri	Comté de Carter (Missouri)
Douglas County, Missouri	Comté de Douglas (Missouri)
Eisleben	Eisleben
Kiowa County, Oklahoma	Comté de Kiowa (Oklahoma)
Ellis County, Oklahoma	Comté d'Ellis (Oklahoma)
Texas County, Oklahoma	Comté de Texas (Oklahoma)
Jefferson County, Oklahoma	Comté de Jefferson (Oklahoma)
Armachd	Armure (équipement)
Jackson County, Oklahoma	Comté de Jackson (Oklahoma)
Oklahoma County, Oklahoma	Comté d'Oklahoma
Atoka County, Oklahoma	Comté d'Atoka
Cimarron County, Oklahoma	Comté de Cimarron
Beaver County, Oklahoma	Comté de Beaver (Oklahoma)
Chariton County, Missouri	Comté de Chariton
Cass County, Missouri	Comté de Cass (Missouri)
Daviess County, Missouri	Comté de Daviess (Missouri)
Callaway County, Missouri	Comté de Callaway
Christian County, Missouri	Comté de Christian (Missouri)
Dent County, Missouri	Comté de Dent
Barry County, Missouri	Comté de Barry (Missouri)
Spokane County, Washington	Comté de Spokane
Wayne County, Nebraska	Comté de Wayne (Nebraska)
Pend Oreille County, Washington	Comté de Pend Oreille
Walla Walla County, Washington	Comté de Walla Walla
Ferrol	Ferrol
Winneshiek County, Iowa	Comté de Winneshiek
Story County, Iowa	Comté de Story
Hancock County, Iowa	Comté de Hancock (Iowa)
Marion County, Iowa	Comté de Marion (Iowa)
Humboldt County, Iowa	Comté de Humboldt (Iowa)
Wayne County, Iowa	Comté de Wayne (Iowa)
Worth County, Iowa	Comté de Worth (Iowa)
Wapello County, Iowa	Comté de Wapello
Poweshiek County, Iowa	Comté de Poweshiek
Scott County, Iowa	Comté de Scott (Iowa)
Monona County, Iowa	Comté de Monona
Hardin County, Iowa	Comté de Hardin (Iowa)
Shelby County, Iowa	Comté de Shelby (Iowa)
McPherson County, Nebraska	Comté de McPherson (Nebraska)
Phelps County, Missouri	Comté de Phelps (Missouri)
Niobrara County, Wyoming	Comté de Niobrara
Coffee County, Alabama	Comté de Coffee (Alabama)
Duluth, Minnesota	Duluth (Minnesota)
Plymouth County, Iowa	Comté de Plymouth (Iowa)
Mitchell County, Iowa	Comté de Mitchell (Iowa)
Glendale, Calafòrnia	Glendale (Californie)
Mills County, Iowa	Comté de Mills (Iowa)
Webster County, Iowa	Comté de Webster (Iowa)
Harrison County, Iowa	Comté de Harrison (Iowa)
Jasper County, Iowa	Comté de Jasper (Iowa)
Linn County, Iowa	Comté de Linn (Iowa)
Johnson County, Iowa	Comté de Johnson (Iowa)
Ringgold County, Iowa	Comté de Ringgold
Jackson County, Iowa	Comté de Jackson (Iowa)
Lee County, Iowa	Comté de Lee (Iowa)
Lyon County, Iowa	Comté de Lyon (Iowa)
Osceola County, Iowa	Comté d'Osceola (Iowa)
Palo Alto County, Iowa	Comté de Palo Alto
Lucas County, Iowa	Comté de Lucas (Iowa)
Polk County, Iowa	Comté de Polk (Iowa)
Hood County, Texas	Comté de Hood
Ochiltree County, Texas	Comté d'Ochiltree
Mahaska County, Iowa	Comté de Mahaska
Keokuk County, Iowa	Comté de Keokuk
Union County, Iowa	Comté d'Union (Iowa)
Pocahontas County, Iowa	Comté de Pocahontas (Iowa)
Montgomery County, Iowa	Comté de Montgomery (Iowa)
Jones County, Iowa	Comté de Jones (Iowa)
Marshall County, Iowa	Comté de Marshall (Iowa)
Monroe County, Iowa	Comté de Monroe (Iowa)
Iowa County, Iowa	Comté d'Iowa (Iowa)
Woodbury County, Iowa	Comté de Woodbury
Louisa County, Iowa	Comté de Louisa (Iowa)
Washington County, Idaho	Comté de Washington (Idaho)
Clark County, Kentucky	Comté de Clark (Kentucky)
Camas County, Idaho	Comté de Camas
Bath County, Kentucky	Comté de Bath (Kentucky)
Allen County, Kentucky	Comté d'Allen (Kentucky)
Estill County, Kentucky	Comté d'Estill
Butler County, Kentucky	Comté de Butler (Kentucky)
