Āfrika	Afrique
Terenss Maliks	Terrence Malick
Bug	Bug
Emīlija de Ravina	Émilie de Ravin
Īrijas karaliste	Royaume d'Irlande
Tirgotājs	Marchand (commerce)
Kerija Andervuda	Carrie Underwood
Salīdzinošā priekšrocība	Avantage comparatif
Frederiks Duglass	Frederick Douglass
Pikaps	Pick-up
Lomža	Łomża
Nadežda Krupska	Nadejda Kroupskaïa
Aerobika	Aérobic
Spratlija salas	Îles Spratleys
Hugo Volfs	Hugo Wolf
Enerģijas dzēriens	Boisson énergisante
Delfīnu dzimta	Delphinidae
Henks Ārons	Hank Aaron
Marī Fransuā Sadī Karno	Sadi Carnot (homme politique)
Edvards Smits	Edward Smith
Fairytale	Fairytale (chanson d'Alexander Rybak)
Andrēass Tūrkildsens	Andreas Thorkildsen
Kapelmeistars	Maître de chapelle
Elektroluminiscence	Électroluminescence
Heimskringla	Heimskringla
Šejs Givens	Shay Given
Peters Sūlbergs	Petter Solberg
Ziemeļu divcīņa 2010. gada Ziemas Olimpiskajās spēlēs	Combiné nordique aux Jeux olympiques de 2010
Tornetresks	Torneträsk
Microsoft SQL Server	Microsoft SQL Server
Malajas tīģeris	Tigre de Malaisie
Motokross	Moto-cross
Karstuma vilnis	Canicule
Dunga	Dunga
Kandids	Candide
Apvelings	Remontée d'eau
Oranžais aģents	Agent orange
Jans Žižka	Jan Žižka
Virstaktēšana	Overclocking
Rapla	Rapla
Patrīcija Ārkete	Patricia Arquette
Dusmu augļi	Les Raisins de la colère
Makss fon Šeibners-Rihters	Max Erwin von Scheubner-Richter
Kārlis Kristians Jozefs	Charles-Christian de Saxe
Johans Augusts fon Štarks	Johann August von Starck
Johans Gotfrīds Mītels	Johann Gottfried Müthel
Centrālamerikas tapirs	Tapir de Baird
Akūts	Accent aigu
Komandu sports	Sport collectif
S/2003 J 19	S/2003 J 19
Duntinhu	Lac Dongting
S/2003 J 16	S/2003 J 16
Kivieli	Kiviõli
Aptons Sinklērs	Upton Sinclair
Stenlijs Metjūss	Stanley Matthews
Džeremijs Klārksons	Jeremy Clarkson
Hypo-Arena	Hypo Group Arena
IE	IE
Cygwin	Cygwin
Stīvs Karels	Steve Carell
23 (nozīmju atdalīšana)	Vingt-trois
Mārita Bjergena	Marit Bjørgen
Sesijas slānis	Couche session
Hidrodinamika	Dynamique des fluides
Ārlingtonas nacionālā kapsēta	Cimetière national d'Arlington
Ribņica	Rîbnița
Epic Records	Epic Records
Lietojamība	Utilisabilité
Edvards Bērns-Džonss	Edward Burne-Jones
Perlamutra mākoņi	Nuage nacré
Musiqq	Musiqq
Sana (upe)	San (rivière)
Sems Hjūstons	Samuel Houston
Ļaunuma puķes	Les Fleurs du mal
Mazais Kaukāzs	Petit Caucase
Bobs Geldofs	Bob Geldof
Zaisans	Lac Zaïssan
Tarimas ieplaka	Bassin du Tarim
Valdemārs IV	Valdemar IV de Danemark
Atvārsnītes	Stomate
Tamaņas pussala	Péninsule de Taman
Monarhisms	Monarchisme
Ortopēdija	Orthopédie
Valdorfpedagoģija	Pédagogie Steiner-Waldorf
Lielā spēle	Grand Jeu (géostratégie)
Ronalds Fišers	Ronald Aylmer Fisher
Volkswagen Passat	Volkswagen Passat
Hečbeks	Hayon
S/2003 J 15	S/2003 J 15
Refraktors	Lunette astronomique
Manometrs	Manomètre
Dāvids I	David Ier d'Écosse
Staraja Ladoga	Staraïa Ladoga
Dunams	Dounam
Pols Koens	Paul Cohen
Rišards Kapusciņskis	Ryszard Kapuściński
Ipolits Fizo	Hippolyte Fizeau
Adaptīvā radiācija	Radiation évolutive
Jangstauna	Youngstown (Ohio)
Gaisa masa	Masse d'air
Kohēzija	Cohésion (physique)
Taivānas aborigēni	Autochtones de Taïwan
Anholta	Anholt (Danemark)
N.W.A.	Niggaz Wit Attitudes
Nīderlandes kauss futbolā	Coupe des Pays-Bas de football
Luksemburgas distrikti	Liste des districts du Luxembourg
Poltergeists	Poltergeist
Aleksis Kivi	Aleksis Kivi
Fabiu Aureliu	Fábio Aurélio
Deriks Viblijs	Deryck Whibley
Jāps Stams	Jaap Stam
Kriss Elens	Kris Allen
Harijs Poters (filmu sērija)	Harry Potter (série de films)
Ingvars Kamprads	Ingvar Kamprad
Diddy	Sean Combs
Žozefs Fušē	Joseph Fouché
Eirodeju mūzika	Eurodance
Hēra Bjerka	Hera Björk
Kenans Evrens	Kenan Evren
Turcijas prezidenti	Liste des présidents de la République de Turquie
Tonijs Levins	Tony Levin
Džonijs Bravo	Johnny Bravo
S/2003 J 23	S/2003 J 23
Deutsche Tourenwagen Masters	Deutsche Tourenwagen Masters
Sociālistu revolucionāru partija	Parti socialiste révolutionnaire (Russie)
Aptumsums (filma)	Twilight, chapitre III : Hésitation
Radiogalaktika	Radiogalaxie
Čehijas futbola 1. līga	Championnat de République tchèque de football
Other Voices	Other Voices
Nimrod	Nimrod (album)
Tors (filma)	Thor (film)
Live aus Berlin	Live aus Berlin
Bullet in a Bible	Bullet in a Bible
Manic Street Preachers	Manic Street Preachers
Procentuālā barjera	Seuil électoral
Turcijas ģeogrāfija	Géographie de la Turquie
Māris Verpakovskis	Māris Verpakovskis
Tamale	Tamale
SU	SU
Citplanētu uzskaitījums	Liste des planètes connues
Naruhito	Naruhito
Kalevipoegs	Kalevipoeg
Skice	Croquis
Ceļojumu aģentūra	Agence de voyages
Airsofts	Airsoft
Teļecas ezers	Lac Teletskoïe
Orsons Skots Kārds	Orson Scott Card
Moonrise Kingdom	Moonrise Kingdom
Bokasa del Toro (province)	Bocas del Toro (province)
Līča arābu valstu sadarbības padome	Conseil de coopération du Golfe
Septītais zīmogs	Le Septième Sceau
Tumšie viduslaiki	Âge sombre
Eirozonas krīze	Crise de la dette dans la zone euro
The Soft Parade	The Soft Parade
Jūlija gads (astronomija)	Année julienne
Patons (filma)	Patton (film)
Melnie graudi	Ergot du seigle
Džimijs Džonsons	Jimmie Johnson
2012. gada Eiropas čempionāts vieglatlētikā	Championnats d'Europe d'athlétisme 2012
Sēklas pūslītis	Vésicule séminale
Tomijs Mekinens	Tommi Mäkinen
2009. gada Tour de France	Tour de France 2009
Kapadokija	Cappadoce
Desert Eagle	Desert Eagle
2010. gada Tour de France	Tour de France 2010
Afganistānas lapsa	Renard de Blanford
Mesa	Messe (musique)
Deivids Letermans	David Letterman
Džons Edvardss	John Edwards
Elektra	Électre (homonymie)
Gerhards Armauers Hansens	Gerhard Armauer Hansen
Itaka	Ithaca (New York)
Merlīna Otija	Merlene Ottey
SD	SD
Florence and the Machine	Florence and the Machine
ER	ER
Frīdrihs II	Frédéric II
Tīrinta	Tirynthe
ECHELON	Echelon
LA	La
PR	PR
AG	AG
Lotus	Lotus
GM	GM
Bejolu rajons	Beyoğlu
HF	HF
HR	HR
Quake	Quake
CH	CH
Soueto	Soweto
AF	AF
Siljans	Lac Siljan
Adams	Adams
CV	CV
Demonīms	Gentilé
A1	A1
Alberts II	Albert II
Ledenes	Sucette
EP	EP
PM	PM
BD	BD (homonymie)
Džonsons	Johnson
Smits	Smith
Ārtroks	Art rock
TB	TB
Aleksandrs Radiščevs	Alexandre Radichtchev
Džons Votsons (psihologs)	John Broadus Watson
Tirāniņu dzimta	Tyrannidae
Ka	Ka (homonymie)
NTP	Network Time Protocol
CF	CF
Airisa Mērdoka	Iris Murdoch
Pečoras jūra	Mer de Petchora
MP	MP
Bjērns Dēli	Bjørn Dæhlie
TT	TT
Pauropodi	Pauropoda
Gregors Šlīrencauers	Gregor Schlierenzauer
Čedars	Cheddar (fromage)
Sprādzieni Oklahomasitijā	Attentat d'Oklahoma City
Džokers (tēls)	Joker (comics)
STS-125	STS-125
STS-124	STS-124
Serekunda	Serrekunda
Berkshire Hathaway	Berkshire Hathaway
Staņislavs Moņuško	Stanisław Moniuszko
Absolvents (filma)	Le Lauréat
Eurostat	Eurostat
Tamsalu	Tamsalu
Somijas administratīvais iedalījums	Provinces de Finlande
Araukāriju dzimta	Araucariaceae
Leons Buržuā	Léon Bourgeois
ESPN	ESPN
Podagras gārsa	Égopode podagraire
Rīgikogu	Parlement d'Estonie
Šerdāle	Stjørdal
OK	OK (expression)
PH (nozīmju atdalīšana)	PH (homonymie)
PL	PL
PE	PE
Leopolds I	Léopold Ier
Ziedmušu dzimta	Syrphidae
Hārdkors	Hardcore
TNT	TNT
Cna (Mokšas pieteka)	Tsna (Mokcha)
LZ 129 Hindenburg	LZ 129 Hindenburg
Vilsons	Wilson
Māršals	Marshall
Exodus	Exodus
Summa	Somme (arithmétique)
SR	SR
Eiro monētas	Pièces en euro destinées à la circulation
Latvijas Valsts prezidents	Présidents de Lettonie
NP	NP
Alēns Renē	Alain Resnais
BH	BH
Rasels	Russell
CR	CR
Evita	Evita
Džošs Grobans	Josh Groban
GT	GT
EE	EE
IS	IS
AZ	AZ
MO	MO
Lī	Lee
Zodiaks (nozīmju atdalīšana)	Zodiaque (homonymie)
Stefans III Lielais	Étienne III de Moldavie
COM	COM
AA	AA
SB	SB
Zodiaks (slepkava)	Tueur du Zodiaque
Akmens ozols	Quercus ilex
Ali	Ali
Zodiaks (filma)	Zodiac (film)
CE	CE
Vītauts Dižais	Vytautas le Grand
Admiralitātes līcis (Karaļa Džordža sala)	Baie de l'Amirauté
Kirī (nozīmju atdalīšana)	Curie
Hull	Hull
Teilors	Taylor
Austrumu fronte	Front de l'Est
Manteifeļi	Zoege von Manteuffel
SA	SA
Hokejs 2010. gada Ziemas Olimpiskajās spēlēs	Hockey sur glace aux Jeux olympiques de 2010
ESP	ESP
Focus	Focus
San Lorenzo de Almagro	Club Atlético San Lorenzo de Almagro
Krievijas prezidents	Président de la Fédération de Russie
RU	RU
Figueirense Futebol Clube	Figueirense Futebol Clube
Kontrolsumma	Somme de contrôle
EC	EC
Balvi	Balvi
Vidēja Zemes orbīta	Orbite terrestre moyenne
Šaušana 2012. gada Vasaras Olimpiskajās spēlēs	Tir aux Jeux olympiques d'été de 2012
Poliporu dzimta	Bondarzewiaceae
Četema salas mušķērājs	Miro des Chatham
Polijas zemnieku partija	Parti paysan polonais
Vills Ferels	Will Ferrell
Megija Greisa	Maggie Grace
Kara zirgs	Cheval de guerre (film)
Colla	Pouce (unité)
Volūta	Volute
Alanīns	Alanine
Eifelis	Eiffel
Kolete	Colette
BR	BR
Džeroms K. Džeroms	Jerome K. Jerome
SL	SL
Eritropoetīns	Érythropoïétine
Mol	Mol
BG	BG
SV	SV
If	If
EDGE (nozīmju atdalīšana)	Edge
SK	SK
PG	PG
Dreiks	Drake
CN	CN
The Supremes	The Supremes
MR	MR
Mena	Maine
ARM (nozīmju atdalīšana)	ARM
Trīspusējā komisija	Commission Trilatérale
BT	BT
SC	SC
Terespole	Terespol
Delfi (nozīmju atdalīšana)	Delphi
Anastasija	Anastasia
Maksimiliāns I	Maximilien Ier
Clinton	Clinton
MF	MF
GL	GL
TM	TM
Semjatiče	Siemiatycze
Andreu Fontass	Andreu Fontàs
Nelly	Nelly (rappeur)
OM	OM
Zoltāns Ribli	Zoltán Ribli
Hoseba Lorente	Joseba Llorente
Palestīnas Valsts	Palestine (État)
Brandenburg	Brandenbourg (homonymie)
Jaunais vilnis	New Wave
KI	KI
Pižice	Pyrzyce
Beagle	Beagle (homonymie)
Sport Club do Recife	Sport Club do Recife
FF	FF
LV	LV
Stočeka Lukovska	Stoczek Łukowski
BS	BS
Kamenna Gura	Kamienna Góra (ville)
ML	ML
Skodas rajona pašvaldība	Municipalité du district de Skuodas
CI	CI
Kampinasas @@@u0026Ponte Preta"	Associação Atlética Ponte Preta
NC	NC
Zinātniskais pieraksts	Notation scientifique
Bērzlapju rinda	Russulales
Blok D	Bloc D
DV	DV
LB	LB
Čopa	Tchop
Japets	Japet
UA	UA
CAM	Cam (homonymie)
TI	TI
FA	FA
AND	AND
SE	Se
AK	AK
SG	SG
MA	MA
DJ	DJ (homonymie)
Leu	Leu
Ns	NS
PK	PK
VA	VA
EST	Est (homonymie)
Brauns	Brown
Nikolajs Andrianovs	Nikolai Andrianov
UK	UK
Allen	Allen
Paģiras (filma)	Very Bad Trip
MU	MU
Ha	HA
DE	De
Džonss	Jones
Guild Wars	Guild Wars
Tompsons	Thompson
Dispersija	Dispersion (homonymie)
TTL	TTL
KM	KM
Deklinācija	Déclinaison
Elizabete Benksa	Elizabeth Banks
Lvuveka Slonska	Lwówek Śląski
Riska kapitāls	Capital risque
2011. gada Tour de France	Tour de France 2011
2012. gada Tour de France	Tour de France 2012
Ilgtspējība	Durabilité
Narvaļu dzimta	Monodontidae
Californication	Californication (album)
Teokrīts	Théocrite
Saab (auto)	Saab
Džese Eizenbergs	Jesse Eisenberg
Chiaroscuro	Clair-obscur
Kaitbords	Kitesurf
Kulta filma	Film culte
Braisa kanjona nacionālais parks	Parc national de Bryce Canyon
Vašingtonas universitāte	Université de Washington
Tuksneša zebra	Zèbre de Grévy
Viktorijas krusts	Croix de Victoria
Vatutine	Vatoutine
Smila	Smila
Šumska	Choumsk
Ņujorkas @@@u0026Jets"	Jets de New York
Shaman King	Shaman King
Efedrīns	Éphédrine
Ādams Levins	Adam Levine
Mae	Mahé (Seychelles)
Mizantropija	Misanthropie
Kerija Maligana	Carey Mulligan
Franks de Būrs	Frank de Boer
Fātiha	Al-Fatiha
Nokia 3310	Nokia 3310
Kortesi	Cortes Generales
Salemas raganu prāva	Sorcières de Salem
Slāpētājs	Silencieux (armement)
Kriss Takers	Chris Tucker
NNTP	Network News Transfer Protocol
Džordžs Kannings	George Canning
Sheer Heart Attack	Sheer Heart Attack
FAMAS	FAMAS
Zolotonoša	Zolotonocha
P. Dž. Hārvija	PJ Harvey
Lorenss Darels	Lawrence Durrell
Need for Speed: Carbon	Need for Speed: Carbon
Vāsa (karakuģis)	Vasa
Filipīnu futbola izlase	Équipe des Philippines de football
Pols Volfovics	Paul Wolfowitz
Fausto Kopi	Fausto Coppi
Bonija un Klaids	Bonnie et Clyde
Zonguldakas ils	Zonguldak (province)
Tomass Musters	Thomas Muster
Mihails Južnijs	Mikhail Youzhny
Oleksandrs Šovkovskis	Oleksandr Shovkovskiy
Puckas apriņķis	Powiat de Puck
Galeaco Čano	Galeazzo Ciano
Treviss Bārkers	Travis Barker
Jurijs Babenko	Iouri Babenko
Open Shortest Path First	Open Shortest Path First
2013. gada FIFA Konfederāciju kauss	Coupe des confédérations 2013
Milštates ezers	Lac Millstätter
Dzeltenkakla cauna	Martes flavigula
Līdzenumu tapirs	Tapir du Brésil
Sets Rogens	Seth Rogen
Agnozija	Agnosie
2010. gada Ziemas Olimpisko spēļu medaļu tabula	Tableau des médailles des Jeux olympiques d'hiver de 2010
Pelēkais papagailis	Perroquet jaco
Zooropa	Zooropa
System of a Down (albums)	System of a Down (album)
Need for Speed: Most Wanted	Need for Speed: Most Wanted (jeu vidéo, 2005)
Fever (Cascada dziesma)	Fever (chanson de Cascada)
Irākas pilsētu uzskaitījums	Villes d'Irak
Sprogkāji	Cirripedia
Straumēšana	Streaming
Rinda (datu struktūra)	File (structure de données)
Jans Kollārs	Ján Kollár
ANO sekretariāts	Secrétariat des Nations unies
Hanna Montana (filma)	Hannah Montana, le film
Lukass Leiva	Lucas Pezzini Leiva
Nabateja	Nabatéens
Basa da Indija	Bassas da India
Apledojums	Glace noire
Servisu orientētā arhitektūra	Architecture orientée services
Toše Proeskis	Toše Proeski
Cīņas sports 2008. gada Vasaras Olimpiskajās spēlēs	Lutte aux Jeux olympiques d'été de 2008
Austrumu reģions (Islande)	Austurland
Benztriazols	Benzotriazole
Kopējā lauksaimniecības politika	Politique agricole commune
Omars Sivori	Omar Sívori
Dumbrcāļi	Rallus
Amerikāņu pīrāgs (filma)	American Pie (film)
Kid A	Kid A
Flatiron Building	Flatiron Building
The Killers	The Killers
A Day at the Races	A Day at the Races (album)
C4	Composition C-4
Satrakotais vērsis	Raging Bull
Floids Lendiss	Floyd Landis
Šorttreks 2010. gada Ziemas Olimpiskajās spēlēs	Patinage de vitesse sur piste courte aux Jeux olympiques de 2010
Varlams Šalamovs	Varlam Chalamov
Žesī Matadors	Jessy Matador
Mars Exploration Rover	Mars Exploration Rover
Rejs Romāno	Ray Romano
Filipa līkne	Courbe de Phillips
Mērkaķu apakšdzimta	Cercopithecinae
Elektroniskais paraksts	Signature numérique
Timotijs Makvejs	Timothy McVeigh
2011. gada Ķīnas Grand Prix	Grand Prix automobile de Chine 2011
Teniss 2008. gada Vasaras Olimpiskajās spēlēs — Sieviešu dubultspēles	Double dames de tennis aux Jeux olympiques d'été de 2008
Lora Derna	Laura Dern
2011. gada Korejas Grand Prix	Grand Prix automobile de Corée du Sud 2011
Bokss 2008. gada Vasaras Olimpiskajās spēlēs	Boxe aux Jeux olympiques d'été de 2008
Demo ieraksts	Démo (musique)
Ūdenspolo 2008. gada Vasaras Olimpiskajās spēlēs	Water-polo aux Jeux olympiques d'été de 2008
Reičela Bilsone	Rachel Bilson
1959. gada Pasaules čempionāts basketbolā	Championnat du monde de basket-ball masculin 1959
Diablo	Diablo (jeu vidéo)
Gelnicas apriņķis	District de Gelnica
Kartūzieši	Ordre des Chartreux
Tristana da Kuņas salas	Tristan da Cunha (archipel)
Nistagms	Nystagmus
Toms Bonens	Tom Boonen
Žaks Anketils	Jacques Anquetil
Džekijs Robinsons	Jackie Robinson
Bads Spensers	Bud Spencer
Marija Gimbutiene	Marija Gimbutas
Lesoto futbola izlase	Équipe du Lesotho de football
Helovīns (filma)	La Nuit des masques
2011. gada Eiropas Grand Prix	Grand Prix automobile d'Europe 2011
Ataturka Olimpiskais stadions	Stade olympique Atatürk
Lauka hokejs 2008. gada Vasaras Olimpiskajās spēlēs	Hockey sur gazon aux Jeux olympiques d'été de 2008
Marija II Bragansa	Marie II (reine de Portugal)
Šistosomatoze	Bilharziose
Kateršina Emonsa	Kateřina Emmons
Viens pats mājās 2	Maman, j'ai encore raté l'avion
Pablo Honey	Pablo Honey
The Bends	The Bends
North American X-15	North American X-15
Anguna	Anggun
Džeisons Kids	Jason Kidd
Betmens uz mūžu	Batman Forever
Maksims Mirnijs	Max Mirnyi
Degslāneklis	Schiste bitumineux
Kiangs	Kiang
Augusta pučs	Putsch de Moscou
Vezinas balva	Trophée Vézina
Mezenteriālā išēmija	Ischémie mésentérique
Amerikas atklāšana	Découverte et exploration de l'Amérique
Žilbertu Žils	Gilberto Gil
Džims Torps	Jim Thorpe
Jans Nepomuks	Jean Népomucène
FC Metz	Football Club de Metz
2008. gada Tour de France	Tour de France 2008
Staņislavs Sosabovskis	Stanisław Sosabowski
Edijs Veders	Eddie Vedder
Diplūras	Diplura (Hexapodes)
Olga Korbuta	Olga Korbut
Treka riteņbraukšana	Cyclisme sur piste
Džonatans Edvardss	Jonathan Edwards
Stenlija kalns	Mont Stanley
R-7 (raķete)	R-7 Semiorka
Vostok-2	Vostok 2
Portualegri @@@u0026Grêmio"	Grêmio Foot-Ball Porto Alegrense
Mutagēns	Mutagène
Hilarijs Patnems	Hilary Putnam
Protuberance	Protubérance solaire
Steyr AUG	Steyr AUG
Viena bērna politika	Politique de l'enfant unique
F91 Dudelange	F91 Dudelange
Rietumu reģions (Islande)	Vesturland
Naudas spēle	Le Stratège
2011. gada Itālijas Grand Prix	Grand Prix automobile d'Italie 2011
Zibspuldze	Flash photographique
Crédit Agricole (riteņbraukšanas komanda)	Équipe cycliste Crédit agricole
Brusilova pārrāvums	Offensive Broussilov
Džebs Bušs	Jeb Bush
In Utero	In Utero (album)
NBA sezonas vērtīgākais spēlētājs	NBA Most Valuable Player
Centrs (basketbols)	Pivot (basket-ball)
Kortnija Lava	Courtney Love
2M1207	2M1207
Mia Hemma	Mia Hamm
Austrijas Futbola asociācija	Fédération autrichienne de football
Džons Boids Danlops	John Boyd Dunlop
Teodors Kačinskis	Theodore Kaczynski
Civiltiesības	Droit civil
Bukavu	Bukavu
Debout Congolais	Debout Congolais
Kinooperators	Directeur de la photographie
Apdraudētie Pasaules mantojuma objekti	Liste du patrimoine mondial en péril
Aukstais ierocis	Arme blanche
Frederiks Stenlijs	Frederick Stanley
65. Kinoakadēmijas balva	65e cérémonie des Oscars
Asamoa Gjans	Asamoah Gyan
FC Flora	FC Flora Tallinn
Šikri Saradžoglu stadions	Stade Şükrü Saracoğlu
Acetonciānhidrīns	Cyanhydrine d'acétone
Patriks Modiano	Patrick Modiano
Vistas	Gallus (genre)
Alberts I	Albert Ier
Mēleņi	Pentastomida
3+2	3+2 (groupe biélorusse)
Ass (lidotājs)	Liste d'as de l'aviation
Metilēndioksiamfetamīns	3,4-Méthylènedioxyamphétamine
Starptautiskā tenisa federācija	Fédération internationale de tennis
Bruņrupuči	Tortue
Bezvalstnieki	Apatride
Acetoīns	3-Hydroxybutanone
Futbola karš	Guerre de Cent Heures
Etīde purpura toņos	Une étude en rouge
Uz ziemeļiem caur ziemeļrietumiem	La Mort aux trousses
Box Office Mojo	Box Office Mojo
Jozefs Masopusts	Josef Masopust
Aphex Twin	Aphex Twin
Kontrtenors	Contreténor
Bobs Sinklers	Bob Sinclar
Argentīnas futbola pirmā divīzija	Championnat d'Argentine de football
Queen II	Queen II
Eiroskeptisms	Euroscepticisme
Vorkutlags	Vorkoutlag
Vasalis	Vassalité
Frederiks Ogists Bartoldi	Auguste Bartholdi
Tiesneša asistents	Loi 6 du football
In Rainbows	In Rainbows
Niklass Hagmans	Niklas Hagman
Mena Suvari	Mena Suvari
Sātans Pradas brunčos	Le Diable s'habille en Prada (film)
League of Legends	League of Legends
Rio (filma)	Rio (film, 2011)
Bell X-1	Bell X-1
FIFA Klubu Pasaules kauss	Coupe du monde des clubs de la FIFA
Atmiņu klade	N'oublie jamais
Klenbuterols	Clenbutérol
Milans Stankovičs	Milan Stanković
Loka šaušana 2008. gada Vasaras Olimpiskajās spēlēs	Tir à l'arc aux Jeux olympiques d'été de 2008
Jirgens Melcers	Jürgen Melzer
Šaukats Azīzs	Shaukat Aziz
Fizikāls ķermenis	Corps (entité)
Kosmiskais skafandrs	Combinaison spatiale
Virungas nacionālais parks	Parc national des Virunga
Kreatīns	Créatine
Zālamana templis	Temple de Salomon
Amnesiac	Amnesiac
Koks (datu struktūra)	Arbre enraciné
SI pamatvienības	Unités de base du système international
Karolīna Klifta	Carolina Klüft
Vess Andersons	Wes Anderson
Eklezioloģija	Ecclésiologie
Felisjano Lopess	Feliciano López
Škoda Octavia	Škoda Octavia
Vecticībnieki	Orthodoxes vieux-croyants
Krustu kalns (Lietuva)	Colline des Croix
Eiropas Kino balva	Prix du cinéma européen
Braiens Molko	Brian Molko
Īvju dzimta	Taxaceae
Bobodjulaso	Bobo-Dioulasso
SECAM	SÉCAM
McFly	McFly
B klases filma	Série B
Airēšana 2012. gada Vasaras Olimpiskajās spēlēs	Aviron aux Jeux olympiques d'été de 2012
Gravitācijas manevrs	Assistance gravitationnelle
Džudo 2008. gada Vasaras Olimpiskajās spēlēs	Judo aux Jeux olympiques d'été de 2008
Burāšana 2012. gada Vasaras Olimpiskajās spēlēs	Voile aux Jeux olympiques d'été de 2012
HU	HU
GP	GP
TK	TK
MX	MX
TO	To
MN	MN
Skonto FC	Skonto Riga
CZ	CZ
AW	AW
NL	NL
Blūmingtona	Bloomington
Falcon	Falcon
Sintēze	Synthèse
Obama	Obama (homonymie)
CG	CG
Harāms	Haram
Berkeley	Berkeley
Aleksandrs III	Alexandre III
Ikona	Icône
Rosa	Rosa
ASP	ASP
Abaks	Abacus (homonymie)
Cilindrs (nozīmju atdalīšana)	Cylindre (homonymie)
Kārters	Carter
Boma	Boma
Skots	Scott
Hermes	Hermès (homonymie)
Hel	Hel
Green	Green
PF	PF
Kūpers	Cooper
SOS (nozīmju atdalīšana)	SOS (homonymie)
Black	Black
Harisons	Harrison
Walker	Walker
Becker	Becker
Toms	Tom
Anna	Anna
Kalnu tapirs	Tapirus pinchaque
Antuāns Lorāns de Žisjē	Antoine-Laurent de Jussieu
Frīdrihs III	Frédéric III
Cleveland	Cleveland (homonymie)
Hercs (nozīmju atdalīšana)	Hertz (homonymie)
Mad Men	Mad Men
Oskars	Oscar
MV	MV
MW	MW
KP	KP
Ko	KO
RH	RH
BF	BF
Fišers	Fischer
CS	CS
Džeimss	James
CY	CY
BM	BM
Šillers	Schiller
EM	EM
RS	RS
TAU	Tau (homonymie)
Fox	Fox
Leonardo	Leonardo
JP	JP
Lima (nozīmju atdalīšana)	Lima (homonymie)
Hess	Hess
HK	HK
Harmonija	Harmony
Ābels	Abel (homonymie)
Bush	Bush
Bērlingtona	Burlington
CAD	CAD
Homoloģija	Homologie (évolution)
SO	SO
ASM	ASM
Sedna (nozīmju atdalīšana)	Sedna
REM	REM
Vista (nozīmju atdalīšana)	Vista
Robertsa	Roberts
Gordons	Gordon
Toress	Torres
CK	CK
GD	GD
GI	GI
GH	GH
DZ	DZ
BZ	BZ
DK	DK
SJ	SJ
KN	KN
BJ	BJ
Blue	Blue
MDA	MDA
BY	BY
WS	WS
LR	LR
GS	GS
Arkādija	Arcadia
Disnomija	Dysnomie (homonymie)
US	US
IL	IL
Pauels	Powell
Kondors	Condor
Trinitijas koledža	Trinity College
Leģions	Légion
Radio (nozīmju atdalīšana)	Radio
Tomsons	Thomson
Demo	Démo
IM	IM
CX	CX
LS	LS
Red	Red
Delfīns	Dolphin
NA	NA
FR	FR
TL	TL
LU	LU
TH	TH
GA	GA
NE	Ne
IR	IR
SM	SM
Makreļhaizivjveidīgās	Lamniformes
CC	CC
EU	EU
CL	CL
NIC	NIC
VI	VI
Osmaņu impērijas kultūra	Culture de l'Empire ottoman
Drakula (nozīmju atdalīšana)	Dracula (homonymie)
Min	Min
Lira	Lira
The Works	The Works (album de Queen)
Wolf	Wolf
SH	SH
Hārdijs	Hardy
Lavs	Love
Murray	Murray
1988. gada Vasaras Olimpisko spēļu medaļu tabula	Tableau des médailles des Jeux olympiques d'été de 1988
Williams	Williams
Nelsons	Nelson
1992. gada Tour de France	Tour de France 1992
Ārlingtona	Arlington
Fords	Ford (homonymie)
CAR	Car
Page	Page
RN	RN
TW	TW
ST	ST
FO	FO
HM	HM
Čehovs	Tchekhov (homonymie)
GR	GR
FL	FL
EG	EG
BN	BN
BL	BL
Faziloģika	Logique floue
KZ	KZ
GN	GN
Salo	Salo
Rihters	Richter
MH	MH
NF	NF
KR	KR
Mērfijs	Murphy
Pārkers	Parker
Evanss	Evans
Salome (nozīmju atdalīšana)	Salomé
Boa Vista	Boa Vista (homonymie)
Ģermānija (nozīmju atdalīšana)	Germania
LT	LT
Pele (nozīmju atdalīšana)	Pelé (homonymie)
Tetrahlorogleklis	Tétrachlorométhane
Vaits	White
Bazilisks (nozīmju atdalīšana)	Basilic
F1	F1
Kemerons	Cameron
BW	BW
BV	BV
Comet	Comet
UZ	UZ
Aljende	Allende
GEO	GEO
Annija Leibovica	Annie Leibovitz
Freibergs	Freiberg
RCA	RCA
Karloss	Carlos
MUS	MUS
Pīrss	Pierce
Kuks	Cook
Cygnus	Cygnus
Bulgārijas karogs	Drapeau de la Bulgarie
Kepler	Kepler (homonymie)
Hanss Holbeins	Hans Holbein
TF	TF
Sula (nozīmju atdalīšana)	Sula
Tolerance	Tolérance (homonymie)
Explorer	Explorer
Yellow Submarine	Yellow Submarine
Karvakrols	Carvacrol
Henriks Pontopidans	Henrik Pontoppidan
TP	TP
GG	GG
VE	VE
TG	TG
GU	GU
NG	NG
SY	SY
JO	Jo
Oktets	Octet (homonymie)
Mombasa	Mombasa
FI	FI
Nora	Nora (homonymie)
Konglomerāts	Conglomérat
Sojuz	Soyouz
Somme	Somme
GY	GY
MZ	MZ
COS	Cos
Gamma (nozīmju atdalīšana)	Gamma (homonymie)
Tyr	Tyr (homonymie)
Džons Votsons	John Watson
Para	Para
West	West
Miniatūra	Miniature
