Aphrika	Afrique
Iskay ruk'anayuq	Artiodactyla
Trenton (New Jersey)	Trenton (New Jersey)
4 ñiqin pachakwata kñ	IVe siècle av. J.-C.
2020	2020
Quyllur llaqtayuq wawamanta	Le Petit Prince
5 ñiqin pachakwata kñ	Ve siècle av. J.-C.
7 ñiqin pachakwata kñ	VIIe siècle av. J.-C.
Arpay	Puissance (physique)
8 ñiqin pachakwata kñ	VIIIe siècle av. J.-C.
Rumi millma	Bryophyta
Asulun	Canard colvert
Yaku quyllur	Étoile de mer
Awitu	Sapin
Kalalit simi	Groenlandais
Alamu	Peuplier
Pinchikilla hark'ay	Résistance (électricité)
123 kñ	123 av. J.-C.
234 kñ	234 av. J.-C.
Lagartu	Crocodilia
Qaraqruyuwa	Crustacé
Lakachu	Bivalvia
Kobe Bryant	Kobe Bryant
Hap'iq pisqu	Falconiformes
K'apa challwa	Chondrichthyes
Ch'ulla ruk'anayuq	Perissodactyla
Chukcha k'utu	Odonata
Leeuwarden	Leeuwarden
Ruysiñur	Rossignol philomèle
Ch'antasqa tuktuyuq rikch'aq ayllu	Asteraceae
Rinrisapa khankiq	Lagomorpha
Haya	Fagus
Ninakuru	Lampyridae
9 ñiqin pachakwata kñ	IXe siècle av. J.-C.
10 ñiqin pachakwata kñ	Xe siècle av. J.-C.
Pinchikilla mast'ay	Tension électrique
Yaku waka	Sirenia (mammifère)
Ura sahun simi	Bas allemand
Yaka-yaka	Picidae
K'arachiq	Cnidaria
Berber rimaykuna	Langues berbères
Mölnlycke (Suysya)	Mölnlycke
Sillwi kuru	Annelida
600	600
400	400
300	300
Muruyuq	Spermatophyta
Waranqachaki	Myriapoda
Palama uquq ñuñuq	Insectivora
Antilupi	Antilope
Chupasapa ukucha	Muridae
Eskimo aleut rimaykuna	Langues eskimo-aléoutes
Hermann Hesse	Hermann Hesse
Klawil yura rikch'aq ayllu	Caryophyllaceae
Wayra tanqana	Voile (navire)
Madeira	Madère
Purus mayu	Rio Purus
T'ika pilli	Tussilage
Niccolò Cusano Yachay Suntur	Université Nicolas-de-Cues
Killa mit'a	Phase lunaire
Montpelier (Vermont)	Montpelier
Tilburg	Tilbourg
1040 watakuna	Années 1040
Sullu	Fœtus
Luis Suárez	Luis Alberto Suárez
Tsalaki siq'i llumpa	Syllabaire cherokee
Salvador Jovellanos	Salvador Jovellanos
Qipuncha yura rikch'aq ayllu	Boraginaceae
Fukuoka	Fukuoka
Yuraqkunka suksu	Merle à plastron
San Andrés wan Providencia suyu	Archipel de San Andrés, Providencia et Santa Catalina
Bolívar llaqta (Winisuyla)	Ciudad Bolívar
Arctium lappa	Grande bardane
Na diné rimaykuna	Langues na-dené
Ch'ullasimi	Sorubim lima
Willk'uyuyu	Cresson alénois
Kallpaq suntu	Carabidae
Nihun hatun qucha	Mer du Japon
Ch'uchu yura rikch'aq ayllu	Sapindaceae
Tullu challwa	Osteichthyes
Pachakwatakuna	Liste des siècles
Uma usa	Pou de tête
Alimpuchi	Pomacea
Athapaska rimaykuna	Langues athapascanes
Iwrafrasya	Afro-Eurasie
Makacha	Bellis
Ch'uspi	Brachycera
Qiwlla	Laridae
Ch'iti ch'uspi	Nematocera
Chawpi Awya Yala	Amérique centrale
Tampu wasi	Hôtel
Dene Suline simi	Chipewyan (langue)
Suni waqracha	Ensifera
Apachi rimaykuna	Langues apaches
Taki	Chant
Yupik simi	Langues yupik
Pikikuy	Petit Chevalier
Akan simi	Akan (langue)
Kunti apachi simi	Apache occidental
Kawallu chupa	Equisetum
Kanila	Cannelle (écorce)
Jefferson City (Missouri)	Jefferson City (Missouri)
Jackson (Mississippi)	Jackson (Mississippi)
Philli-philli	Hypochaeris
Augusta (Maine)	Augusta (Maine)
Baton Rouge (Louisiana)	Bâton-Rouge
Lansing (Michigan)	Lansing (Michigan)
Amhara simi	Amharique
Concord (New Hampshire)	Concord (New Hampshire)
Askanku	Erinaceidae
Lincoln (Nebraska)	Lincoln (Nebraska)
Annapolis (Maryland)	Annapolis
Apiyu	Céleri
Pillpintu	Lepidoptera
Isparaw	Asperge
Bribri simi	Bribri
Shinkitu	Calliphoridae
Masu	Chiroptera
Allqitu	Charadriidae
36	36
Chukcha	Poil
Iruru muyu	Périmètre
Siwanku	Caracara à tête jaune
Springfield (Illinois)	Springfield (Illinois)
Achuqalla	Mustela
T'ika k'arachiq	Anthozoa
Suqus	Roseau commun
Maya hawaykawsay	Civilisation maya
Tawantinsuyu	Empire inca
Punku p'anqa: Rimay	Portail:Langues
Frankfort (Kentucky)	Frankfort (Kentucky)
Pruphisyun	Profession
Anis	Anis vert
Sulluy	Fausse couche
Parya	Passer
P'acha	Textile
Saint Paul (Minnesota)	Saint Paul (Minnesota)
Lahti	Lahti
Christopher Marlowe	Christopher Marlowe
Francisco Franco	Francisco Franco
Hatun yaya	Évêque
Martti Ahtisaari	Martti Ahtisaari
Willis Tower	Willis Tower
Canterbury	Canterbury
Maniche	Maniche
Montgomery (Alabama)	Montgomery (Alabama)
Asam simi	Assamais
Juneau (Alaska)	Juneau
Chunwa	Monde chinois
Beatrix Urasuyu-manta	Beatrix (reine des Pays-Bas)
Universidad Mayor (Chili)	Université Mayor
815	815
816	816
Inuyt simi	Inuktitut
822	822
840	840
823	823
811	811
771	771
Puka qura	Petite oseille
888	888
768	768
851	851
205	205
159	159
107	107
162	162
103	103
802	802
804	804
119	119
Chengdu	Chengdu
118	118
Ewe simi	Ewe (langue)
801	801
807	807
806	806
152	152
240	240
218	218
655	655
Chiqap uwas	Vitis vinifera
496	496
238	238
197	197
451	451
775	775
489	489
784	784
661	661
625	625
653	653
904	904
921	921
923	923
1126	1126
668	668
Michiy	Pâture
636	636
408	408
464	464
410	410
956	956
952	952
658	658
Kachu k'arachiq	Méduse (animal)
650	650
518	518
70	70
Kuraka	Maire
81	81
69	69
87	87
65	65
66	66
67	67
55	55
34	34
44	44
35	35
64	64
504	504
Asuka	Pinnipède
453	453
161	161
169	169
481	481
151	151
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
978	978
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
Zhengzhou	Zhengzhou
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
465	465
778	778
846	846
830	830
404	404
Umalliq	Président
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Mikhail Gorbachov	Mikhaïl Gorbatchev
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
780	780
675	675
689	689
774	774
759	759
758	758
350	350
Mama Tirisa Kolkatamanta	Mère Teresa
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
Heredia (Kustarika)	Heredia (Costa Rica)
Cartago (Kustarika)	Cartago (Costa Rica)
648	648
686	686
Limón (Kustarika)	Puerto Limón
664	664
677	677
640	640
110	110
111	111
137	137
138	138
122	122
140	140
809	809
167	167
665	665
Puntarenas	Puntarenas
776	776
763	763
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
130	130
226	226
207	207
475	475
454	454
495	495
206	206
468	468
461	461
460	460
194	194
210	210
225	225
311	311
220	220
541	541
642	642
Oscar Wilde	Oscar Wilde
390 watakuna	Années 390
313	313
180	180
794	794
587	587
530	530
609	609
Kiribati simi	Gilbertin
497	497
540	540
428	428
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
350 watakuna	Années 350
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
291	291
48	48
Chamiku	Datura stramonium
97	97
56	56
93	93
57	57
Ransis Pulinisya	Polynésie française
503	503
510	510
509	509
474	474
484	484
576	576
493	493
479	479
287	287
Altu llaqta	El Alto
407	407
485	485
547	547
546	546
544	544
537	537
535	535
502	502
527	527
508	508
Waska	Corde (outil)
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
630	630
614	614
505	505
446	446
791	791
557	557
656	656
657	657
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
233	233
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
521	521
92	92
597	597
329	329
Kraków	Cracovie
133	133
413	413
258	258
Chhukruna	Bec
259	259
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
131	131
191	191
450	450
612	612
635	635
611	611
534	534
488	488
607	607
524	524
282	282
472	472
471	471
Guadalupe Pallan (Mishiku)	Notre-Dame de Guadalupe
490	490
316	316
797	797
511	511
295	295
598	598
303	303
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
Yapay	Addition
284	284
283	283
Chikichasqa Rikch'aq Puka Sutisuyu	Liste rouge de l'UICN
241	241
243	243
262	262
498	498
336	336
334	334
266	266
Saqmanakuy	Boxe anglaise
261	261
470	470
349	349
271	271
275	275
292	292
296	296
345	345
431	431
380 watakuna	Années 380
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
Ruquna	Couteau
FC Schalke 04	FC Schalke 04
288	288
Carlos V	Charles Quint
278	278
455	455
577	577
575	575
482	482
486	486
580	580
567	567
564	564
561	561
328	328
325	325
317	317
574	574
566	566
249	249
348	348
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
Diyula simi	Dioula (langue)
590	590
269	269
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Siwra	Zèbre
276	276
Miskita	Mosquée
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
528	528
506	506
526	526
507	507
214	214
213	213
212	212
Chahta simi	Choctaw (langue)
228	228
227	227
Aymara haqaru rimaykuna	Langues aymaranes
149	149
174	174
Bemba simi	Bemba (langue)
189	189
199	199
Dzonkha simi	Dzongkha
141	141
Kariwa rimaykuna	Langues caribes
132	132
Parqu Qucha (Buliwya)	Parququcha
125	125
123	123
147	147
Bantu rimaykuna	Langues bantoues
144	144
198	198
178	178
Chikasa simi	Chicacha (langue)
177	177
Urin anti asya rimaykuna	Langues austroasiatiques
187	187
Janq'u Uma	Ancohuma
195	195
Wallpasqa simi	Langue construite
186	186
347	347
620	620
Siwuyanu simi	Cebuano
Bambara simi	Bambara
624	624
605	605
629	629
Chinchay	Ocelot
616	616
615	615
Chichewa simi	Chichewa
644	644
646	646
633	633
637	637
Phiyi simi	Fidjien
436	436
434	434
Drawida rimaykuna	Langues dravidiennes
293	293
427	427
185	185
360 watakuna	Années 360
Chuwash simi	Tchouvache
321	321
Ganda simi	Luganda
327	327
430	430
Tsalaki simi	Cherokee (langue)
Kri simi	Cri (langue)
Leon Trotsky	Léon Trotski
Algonkin rimaykuna	Langues algonquiennes
447	447
Little Rock (Arkansas)	Little Rock
569	569
568	568
444	444
IUPAC	Union internationale de chimie pure et appliquée
796	796
Fula simi	Peul
Yupa huqariy	Exponentiation
798	798
Mam simi	Mam (langue)
793	793
Eugène Delacroix	Eugène Delacroix
685	685
Hartford (Connecticut)	Hartford (Connecticut)
799	799
683	683
Musiyu	Musée
274	274
Dover (Delaware)	Dover (Delaware)
579	579
Iranu rimaykuna	Langues iraniennes
281	281
Lak'ota simi	Lakota (langue)
306	306
438	438
Yawa simi	Javanais
297	297
421	421
298	298
Hawayi simi	Hawaïen
Rwanda simi	Kinyarwanda
351	351
Indu rimaykuna	Langues indo-aryennes
Igbo simi	Igbo
352	352
Rundi simi	Kirundi
Kikuyu simi	Kikuyu (langue)
355	355
Hatun panda	Panda géant
Yuraq ukumari	Ours blanc
95	95
94	94
Irukisa rimaykuna	Langues iroquoiennes
594	594
542	542
448	448
445	445
305	305
234	234
565	565
Chukcha quyllur	Crinoidea
Otomanki rimaykuna	Langues oto-mangues
Kannada simi	Kannada
381	381
Nasa simi	Paez (langue)
385	385
Kongo simi	Kikongo
Nilusaharu rimaykuna	Langues nilo-sahariennes
553	553
307	307
584	584
Mapudungun simi	Mapudungun
346	346
257	257
Maya rimaykuna	Langues mayas
Illap'u	Foudre
285	285
591	591
Mungul rimaykuna	Langues mongoles
289	289
Bertrand Russell	Bertrand Russell
Maki	Main
T'u Fu	Du Fu
563	563
Kanaki	Nouvelle-Calédonie
252	252
Oriya simi	Oriya
Edmund Hillary	Edmund Hillary
Nipali simi	Népalais
Niqir Kungu rimaykuna	Langues nigéro-congolaises
595	595
246	246
Oromo simi	Oromo (langue)
Theodore Roosevelt	Theodore Roosevelt
Anishinapay simi	Ojibwé (langue)
596	596
Makhuwa simi	Makua (langue)
593	593
357	357
573	573
Uluru	Uluru
Sapara rimaykuna	Langues zaparoanes
Simun Pidru	Pierre (apôtre)
Buliwyapi Jesuita Misyunkuna	Missions jésuites de Bolivie
Hayupa	Cuniculus paca
Chikusluwakya	Tchécoslovaquie
Nice	Nice
Usit simi	Ossète
Raphi	Feuille
Jules Verne	Jules Verne
Niwari simi	Nepalbhasha
Valparaíso	Valparaiso
Sindi simi	Sindhi
Aranway pukllaq	Acteur
Sunda simi	Soundanais
Shona simi	Shona (langue)
Marañun sach'a	Anacardier
Samwa simi	Samoan
Marlon Brando	Marlon Brando
Swasi simi	Swati
Phaqcha	Chute d'eau
Tutunaka simi	Langues totonaques
559	559
599	599
326	326
Tagalu simi	Tagalog
Yitzhak Rabin	Yitzhak Rabin
341	341
Tibetu birmanu rimaykuna	Langues tibéto-birmanes
322	322
Tupi rimaykuna	Langues tupi
Utu astika rimaykuna	Langues uto-aztèques
Justin Bieber	Justin Bieber
Turku rimaykuna	Langues turques
Tonga simi	Tongien
Champi	Bronze
Liyun simi	Léonais
Fargo (North Dakota)	Fargo (Dakota du Nord)
Oaxaka	État de Oaxaca
Ural rimaykuna	Langues ouraliennes
386	386
Tahiti simi	Tahitien
Tiñiqi	Cylindre
Tswana simi	Tswana
374	374
380	380
Tay kaday rimaykuna	Langues tai-kadai
Mantikilla	Beurre
Luba simi	Tshiluba
Dyusmanta yachay	Théologie
Siyu rimaykuna	Langues siouanes
Yanomami	Yanomami
Pablo Neruda	Pablo Neruda
Yaki simi	Yaqui (langue)
Yasser Arafat	Yasser Arafat
Oxford	Oxford
136	136
Wolof simi	Wolof (langue)
Port au Prince	Port-au-Prince
Tibet simi	Tibétain
Alliwillay	Évangiles
Alexander Graham Bell	Alexander Graham Bell
Woodrow Wilson	Woodrow Wilson
Yoruba simi	Yoruba (langue)
370 watakuna	Années 370
Ñengatu	Nheengatu
Sesotho simi	Sotho du Sud
Rotterdam	Rotterdam
Kriti	Crète
Waqachina	Instrument de musique
Yuku	Cygne
T'arta	Savon
New Orleans (Louisiana)	La Nouvelle-Orléans
Benazir Bhutto	Benazir Bhutto
Shakira	Shakira
Oxford Yachay Suntur	Université d'Oxford
Ñan	Route
Boris Yeltsin	Boris Eltsine
Ñit'isqa phiruru	Disque compact
Hirohito	Hirohito
Pillwinkumpa	Hélicoptère
Mutur phirunku	Motocyclette
Hatun mayu khuchi	Hippopotamus amphibius
Kuyuq rikch'a waqaychana allwiya	Vidéo
382	382
342	342
373	373
372	372
Ichirō Mizuki	Ichirō Mizuki
Paqariy	Accouchement
Ruk'ana	Doigt
Kyōto	Kyoto
Chunkantin Kamachiykuna	Décalogue
1980 watakuna	Années 1980
Kristiyanu inlisya	Église (institution)
1990 watakuna	Années 1990
Joanne K. Rowling	J. K. Rowling
Hiroshima	Hiroshima
Albert Camus	Albert Camus
Aqu	Sable
Waysallpu	Rosier
Kingston	Kingston (Jamaïque)
Rikch'ayrimana	Adjectif
Misti hawar	Léopard
Salzburg	Salzbourg
Sinqawaqra	Rhinocéros
Suyu rikuchiq	Boussole
Rikch'ana	Genre (biologie)
Rudyard Kipling	Rudyard Kipling
Yaqa wat'a	Péninsule
Friedrich Engels	Friedrich Engels
Sinkiyan Uyq'ur	Xinjiang
Musuq Wata	Jour de l'an
Santo Domingo llaqta	Saint-Domingue (ville)
Tequixquiac	Tequixquiac
Elizabeth Taylor	Elizabeth Taylor
Oklahoma llaqta	Oklahoma City
Papaya	Papayer
375	375
Brisbane	Brisbane
Benjamin Franklin	Benjamin Franklin
Isaac Asimov	Isaac Asimov
Kimsantin llaqta	Trinidad (Bolivie)
Kuwiha	Cobija
Tarija	Tarija
1970 watakuna	Années 1970
2000 watakuna	Années 2000
Copacabana	Copacabana (homonymie)
Orthodoksa Inlisya	Église orthodoxe
Putusi	Potosí
Agatha Christie	Agatha Christie
Noemi (takiq)	Noemi (chanteuse)
Kaqchikel simi	Cakchiquel (langue)
Wilhelm Conrad Röntgen	Wilhelm Röntgen
Odisya	Odyssée
Chol simi	Ch'ol
Rirpu	Miroir
Ido	Ido
Satanas	Satan
Chipaya simi	Puquina
Uru Uru	Oruro
Puma	Puma
44 kñ	44 av. J.-C.
387	387
Titiqaqa qucha	Lac Titicaca
Rikch'aq ayllu	Famille (biologie)
Wintana	Fenêtre
Madina	Médine
242 kñ	242 av. J.-C.
248 kñ	248 av. J.-C.
Mach'ay	Grotte
258 kñ	258 av. J.-C.
257 kñ	257 av. J.-C.
Alsi	Alces alces
253 kñ	253 av. J.-C.
246 kñ	246 av. J.-C.
245 kñ	245 av. J.-C.
Chapaq	Police (institution)
Q'eqchí simi	Q'eqchi'
249 kñ	249 av. J.-C.
252 kñ	252 av. J.-C.
Paul Cézanne	Paul Cézanne
Q'anjob'al simi	Q'anjob'al
240 kñ	240 av. J.-C.
254 kñ	254 av. J.-C.
256 kñ	256 av. J.-C.
Wastika simi	Huastèque (langue)
Wichol simi	Huichol (langue)
251 kñ	251 av. J.-C.
Hokkaido	Hokkaidō
250 kñ	250 av. J.-C.
244 kñ	244 av. J.-C.
243 kñ	243 av. J.-C.
255 kñ	255 av. J.-C.
Awirinri	Gingembre
Nobel Suñay Qasikaypi	Prix Nobel de la paix
Hatun chullunku	Glacier
Uturunku	Jaguar
1930 watakuna	Années 1930
1960 watakuna	Années 1960
1920 watakuna	Années 1920
Rimana huñunakuy	Parlement
Imayay	Matière
Ōsaka	Osaka
247 kñ	247 av. J.-C.
Boise (Idaho)	Boise
Cambridge Yachay Suntur	Université de Cambridge
Ruraq atiy	Pouvoir exécutif
Baruch Spinoza	Baruch Spinoza
Uhu	Toux
Yamt'a	Bois énergie
259 kñ	259 av. J.-C.
Chinantika simi	Langues chinantèques
Achhi	Éternuement
Puñuy	Sommeil
Bawtisay	Baptême
Qharqayuy	Asthme
Wamp'u	Bateau
Waraniyi simi	Guarani (langue)
Keres simi	Langues keresanes
Aral qucha	Mer d'Aral
Yarawisqu	Leucaena leucocephala
Sport Club Corinthians Paulista	Sport Club Corinthians Paulista
Interlingua	Interlingua (IALA)
Pulinisya	Polynésie
İzmir	Izmir
Mercedes-Benz	Mercedes-Benz
Ho Chi Minh	Hô Chi Minh
Lwiw	Lviv
Sawsi	Saule
Minneapolis (Minnesota)	Minneapolis
Muwriy simi	Moré
Charles Bronson	Charles Bronson
Muhammad Ali	Mohamed Ali (boxe anglaise)
Allpa	Sol (pédologie)
Igu	Ficus carica
Tantachisqa	Ensemble
Qillqaq	Écrivain
Siligo	Siligo
Nihunpi pacha kuyuy (2011)	Séisme de 2011 de la côte Pacifique du Tōhoku
Puerto Montt	Puerto Montt
Lingala simi	Lingala
Sutip rantin	Pronom
Masawa simi	Mazahua
Masatika simi	Langues mazatèques
Václav Havel	Václav Havel
Malayalam simi	Malayalam
Hanllalli	Voyelle
Karu kay	Longueur
Kawsay qillqa	Biographie
1950 watakuna	Années 1950
Salta llaqta	Salta
Calgary	Calgary
Paqu ukumari	Ours brun
Musquy	Rêve
Ñañu simi	Langues otomies
Mishtika simi	Langues mixtèques
Kurdi simi	Kurde
Lothar Matthäus	Lothar Matthäus
Hatun ukucha	Rattus
Chawpi tuta	Minuit
Aberdeen	Aberdeen
Shipipu-Qunibu runa	Shipibo-Conibos
Porto	Porto
Katharina II	Catherine II
Mawri simi	Maori de Nouvelle-Zélande
Hak'u	Farine
Qhapaq Liyun	Le Roi lion
K'iché simi	K'iche'
Iyun	Ion
Waranqawata	Millénaire
Francis Drake	Francis Drake
Ruranakuy	Réaction chimique
P'ukuru	Four
1940 watakuna	Années 1940
1900 watakuna	Années 1900
1910 watakuna	Années 1910
Den Haag	La Haye
Rikch'aq ñiqi	Ordre (biologie)
Gurila	Gorille
Q'itayay	Prostitution
Ben Tre	Bến Tre
Mitan kamaypaq suti	Nom binominal
Rikch'a kapchiy	Arts visuels
Yuguslawya	Yougoslavie
Mamut	Mammouth
Rikch'aq suyu	Règne (biologie)
Novial simi	Novial
Aung San Suu Kyi	Aung San Suu Kyi
Rapanuy simi	Rapanui (langue)
Huwanpa qillqasqan	Évangile selon Jean
Punku	Porte (architecture)
Taraska simi	Langue purépecha
Raramuri simi	Tarahumara central
Tseltal simi	Tzeltal
Tsotsil simi	Tzotzil
Tawak'uchu	Quadrilatère
Takichaq	Compositeur
Sillu	Ongle
Tlapanika simi	Tlapanèque
Mama simi	Langue maternelle
Urqu wichay	Alpinisme
Achiksamaytu	Ozone
Tsutuhil simi	Tz'utujil
Waraw simi	Warao (langue)
Salvador (Bahia)	Salvador (Bahia)
Lliqti unquy	Lèpre
Shawanti simi	Xavánte
Chaku	Chasse
Pemon simi	Pemóns
Toshiro Mifune	Toshirō Mifune
Uya	Visage
Thomas Mann	Thomas Mann
Tallahassee (Florida)	Tallahassee
Kachariy	Indépendance (politique)
José Saramago	José Saramago
Alexander Fleming	Alexander Fleming
Bismarck (North Dakota)	Bismarck (Dakota du Nord)
Takarpucha	Clou
Uliw	Olivier
Kimsantin Dyus	Trinité (christianisme)
Awklanda	Auckland
Alajuela	Alajuela
Siwk siq'i	Droite (mathématiques)
331	331
365	365
Iñuku huk'i	Noyau atomique
Palta	Avocatier
379	379
Pillunya	Onde
Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva
Puka yawar kawsaykuq	Érythrocyte
Robert Koch	Robert Koch
Giza hatun chuntu	Pyramide de Khéops
Raqta	Diamètre
Yachachiq	Instituteur
Qillqay	Écriture
Juan Pawlu I	Jean-Paul Ier
Piluta Hayt'ay Pachantin Kupa 2006	Coupe du monde de football de 2006
Ch'uya Ispiritu	Saint-Esprit
Lublin	Lublin
John Michael Talbot	John Michael Talbot
Arara	Arara
Inchik	Arachide
Francis Bacon	Francis Bacon (philosophe)
Pachak	100 (nombre)
Qunqur	Genou
Pacha phuyu	Brouillard
Qhawana q'ispillu	Lunettes
Ninachaq	Allumette
Rikch'aq sinri	Classe (biologie)
Uwas misk'i	Glucose
Ashkamanya (pacha tupuy)	Polygone
Chikchi	Grêle
David Ben-Gurion	David Ben Gourion
Luciano Pavarotti	Luciano Pavarotti
43 kñ	43 av. J.-C.
Qhatu	Marché
Campora San Giovanni	Campora San Giovanni
Francisco Solano López	Francisco Solano López
Fulgencio Yegros	Fulgencio Yegros
Llipipipiq q'aytu	Soie
Paul Gauguin	Paul Gauguin
Awqaq suyu	Armée de terre
Runayupay	Démographie
Besançon	Besançon
Charlottep Llikan (kuyuchisqa siq'isqa)	Le Petit Monde de Charlotte (film, 1973)
Milwaukee (Wisconsin)	Milwaukee
Altay rimaykuna	Langues altaïques
Laqu	Algue
Nobel Suñay Simi Kapchiypi	Prix Nobel de littérature
Chaski unanchana	Timbre postal
Kumar	Patate douce
Sapporo	Sapporo
Gregor Mendel	Gregor Mendel
Akihito	Akihito
63 kñ	63 av. J.-C.
St. Louis (Missouri)	Saint-Louis (Missouri)
Kunkawaki	Consonne
Paraíba suyu	Paraíba
Yawatisuyu	Îles Galápagos
Nobel Suñay Pachaykamaypi	Prix Nobel de physique
Leonardo DiCaprio	Leonardo DiCaprio
Daniel Radcliffe	Daniel Radcliffe
31 kñ	31 av. J.-C.
Helen Keller	Helen Keller
Nagasaki	Nagasaki
Yokohama	Yokohama
Rimana yachay	Morphologie (linguistique)
1840 watakuna	Années 1840
Alexandre Dumas	Alexandre Dumas
Rikch'aq putu	Embranchement (biologie)
Angers	Angers
William Faulkner	William Faulkner
Columbia (South Carolina)	Columbia (Caroline du Sud)
Romano Prodi	Romano Prodi
Turku	Turku
Hunu	Million
Santa Fe (Musuq Mishiku)	Santa Fe (Nouveau-Mexique)
São Paulo Futebol Clube	São Paulo Futebol Clube
Diwanaqri siq'i llumpa	Devanagari
1880 watakuna	Années 1880
Helena (Montana)	Helena (Montana)
Bertolt Brecht	Bertolt Brecht
Bío-Bío Yachay Suntur	Université du Bío-Bío
Ruhollah Khomeini	Rouhollah Khomeini
Heavy metal	Heavy metal (musique)
Ruphariy	Fièvre
4 kñ	4 av. J.-C.
Teide	Teide
1890 watakuna	Années 1890
100 kñ	100 av. J.-C.
Minas Gerais suyu	Minas Gerais
Leeds	Leeds
8 kñ	8 av. J.-C.
Ukucha	Mus (genre)
P'ulin	Volume
Killmu	Orange (couleur)
Chanpi	Hache
Sochi	Sotchi
Ronaldinho	Ronaldinho
1830 watakuna	Années 1830
Qharastaq	Tracteur agricole
Pará suyu	Pará
Gamal Abdel Nasser	Gamal Abdel Nasser
Ruwana	Outil
Ñit'iy	Pression
Michael Phelps	Michael Phelps
1800 watakuna	Années 1800
Antoine Lavoisier	Antoine Lavoisier
Ayamarka	Cimetière
Hampikamayuq	Médecin
Nicolas Appert	Nicolas Appert
14 kñ	14 av. J.-C.
27 kñ	27 av. J.-C.
Makiduniya	Macedonia
Des Moines (Iowa)	Des Moines (Iowa)
Pharu	Phare
Qispichiqkuna (kuyuchisqa siq'isqa)	Les Aventures de Bernard et Bianca
Aqunqhawaq	Aconcagua
19 kñ	19 av. J.-C.
Mario Vargas Llosa	Mario Vargas Llosa
Qhichwa	Vallée
3 kñ	3 av. J.-C.
Runa yupay	Recensement de la population
1860 watakuna	Années 1860
1870 watakuna	Années 1870
Khallwa	Hirundinidae
Pintikustis	Pentecôte
Wara	Pantalon
Chunkawata	Décennie
Almindru	Amandier
Pierre-Auguste Renoir	Auguste Renoir
Lukaspa qillqasqan	Évangile selon Luc
Veda	Véda
58 kñ	58 av. J.-C.
Gela	Gela
Hanyang Yachay Suntur	Université d'Hanyang
Concepción pruwinsya	Province de Concepción (Chili)
Inti micha	Énergie solaire
52 kñ	52 av. J.-C.
Urin Hatunmayu suyu	Rio Grande do Sul
Amarumayu suyu (Brasil)	Amazonas (Brésil)
Upyana	Boisson
Wakichi	Programme informatique
Urdun mayu	Jourdain
6 kñ	6 av. J.-C.
34 kñ	34 av. J.-C.
Challaku	Plage
Kusasqa tika	Brique (matériau)
Will Smith	Will Smith
