Afelika	Afrique
Kalasi:Namibia	Catégorie:Namibie
Kalasi:Repubilika ya Kongo	Catégorie:République du Congo
Template:Babel ca-3	Modèle:Utilisateur ca-3
Template:Babel cs-3	Modèle:Utilisateur cs-3
Kalasi:Bapolitiki ya Espania	Catégorie:Personnalité politique espagnole
Kalasi:Bapolitiki ya Repubilika ya Kongo	Catégorie:Personnalité politique congolaise (RC)
Kalasi:Bapolitiki ya Fwalansa	Catégorie:Personnalité politique française
Kalasi:Albania	Catégorie:Albanie
Kalasi:Université en Italia	Catégorie:Université italienne
Kalasi:Andalucía	Catégorie:Andalousie
Kalasi:Dalapo	Catégorie:Drapeau
Kalasi:Babwala ya Ngabu	Catégorie:Ville du Gabon
The Prodigy	The Prodigy
Kalasi:Babwala ya Namibia	Catégorie:Ville de Namibie
Kalasi:Babwala ya Repubilika ya Kongo	Catégorie:Ville de la République du Congo
Mwela	Air
Kalasi:Málaga	Catégorie:Malaga
Kalasi:Bizunga ya Repubilika ya Kongo	Catégorie:Département de la République du Congo
Trojany	Trojany (Mazovie)
Kalasi:Bizunga ya Repubilika ya Kongo ya Dimokalasi	Catégorie:Province de la République démocratique du Congo
Kalasi:Soria	Catégorie:Soria
Kalasi:Kizunga ya Albania	Catégorie:Préfecture d'Albanie
Kalasi:Kizunga ya Sina	Catégorie:Province de Chine
Kalasi:Babantu	Catégorie:Ville
Template:Babel ln-0	Modèle:Utilisateur ln-0
Kibembe	Bembe (langue de la République démocratique du Congo)
Kipele-pele	Rhopalocères
Muanda	Moanda
Special:RecentChanges	Spécial:Modifications récentes
Ranque Franque	Luis Ranque Franque
