Naakaii Łizhiní Bikéyah	Afrique
Deeteel	Alces alces
Shádiʼááhdę́ę́ʼ náshdóítsoh łikizhígíí	Jaguar
Lókʼaatsoh	Bambou
Káango (Ałtsʼáʼáztiin)	Congo
Kʼaiʼ	Saule
Shash bizaʼazis hólóní	Koala
Náshdóí kʼos bee naashchʼąąʼígíí	Panthère nébuleuse
Shashtsoh	Ours brun
Łéʼétsoh	Rattus
Akʼáán	Farine
Mágítsoh	Gorille
Bitsįʼ yishtłizhii	Amérindiens
Dáʼákaz łikaní	Canne à sucre
Chʼil akʼahí	Avocatier
Neeshchʼííłbáhí	Arachide
Dzidzétsoh díkʼǫ́ǫzhii	Abricotier
Naʼashǫ́ʼii łahgo ánééhé	Chamaeleonidae
Yootó	Santa Fe (Nouveau-Mexique)
Łééchąąłgaii	Lévrier greyhound
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ łééchąąʼí ałchiní	Dingo (chien sauvage)
Chʼééhjiyáán	Pastèque
Teide	Teide
Naʼastsʼǫǫsí	Mus (genre)
Hakʼaz bįįh	Rangifer tarandus
Chʼosh doo yitʼínii	Micro-organisme
Táshchozhii	Hirundinidae
Neeshchʼííʼ hááheeshchiiʼí	Amandier
Łóóʼ bigaan tseebíí	Octopoda
Chʼosh bikágí ntłʼizí	Brachyura
Tábąąstííntsoh bideeʼ hólónígíí	Morse (animal)
Mágí diʼilí	Orang-outan
Atsátsoh	Aigle royal
Łóóʼtʼą́hí atsiniltłʼish ííłʼínígíí	Torpediniformes
Chʼil łitsxooí ntsxaaígíí	Citrus ×paradisi
Kʼíníjíłʼahí (dííshjį́ ááłjiní)	Groseillier à maquereau
Kʼaalógiiłgaígíí	Pieridae
Naʼastsʼǫǫsí binááʼ áłtsʼíísígíí	Soricidae
Dzaanééz	Mulet
Tsinlátah shash łichíʼígíí	Ailurus fulgens
Tsídii jáádnézí	Phoenicopterus
Tééh łééchąąʼí	Hyaenidae
Łóóʼtsoh dootłʼizhígíí	Baleine bleue
Sóól	Érable
Aghaaʼ	Laine
Deesdoigi	Tropique
Shádiʼááhdę́ę́ʼ tłʼízí	Lama (animal)
Mósíʼilí	Persan (chat)
Lókʼaatah mósí ałchiní	Chaus
Náátsʼózídę́ę́ʼ mósíłkizhii ałchinígíí	Chat-léopard
Náshdóítʼą́ʼí łikizhígíí	Serval
Tábąąh béégashii	Bubalus bubalis
Béégashiitsoh naʼałkǫ́ǫ́ʼígíí	Lamantin
Hastiin Leiw Éíwiksson	Leif Ericson
Akágí yitsʼǫǫsii	Hirudinea
Anáʼálwoʼ:TʼAN (FAQ)	Aide:FAQ
Táłkááʼ tsʼin	Crocodylidae
Chidítsoh	Camion
Dlǫ́ʼiitsoh áłtsʼózígíí	Genetta
Gáagii	Corvus
Tó wónaanídę́ę́ʼ náshdóí	Lynx boréal
Jááłánii (bitsiitsʼiin nteelígíí)	Chilopoda
Giní	Faucon
Dahiitį́hii	Trochilidae
Tązhii	Dinde
Chʼosh (Bíígháán Ádaadinígíí)	Invertébré
Gáagii naashchʼąąʼígíí	Coraciidae
Mąʼii	Coyote
Dah Naatʼaʼí Sǫʼ bił Sinil	The Star-Spangled Banner
Akʼah sisíʼí tsin	Eucalyptus
Mááya dinéʼiʼ	Mayas
Gahtsoh	Lièvre
Bisóodi bíchį́į́h nineezí	Oryctérope du Cap
Sonora Hahoodzo	Sonora
Nahakʼízii	Gryllidae
Chaaʼ	Castor (genre)
Chʼilzooł	Brocoli
Kááʼtsʼiní	Dasypodidae
Atsʼiis naałdzid	Cancer du poumon
Yágháhoníkáángóó ałánátʼahí	Navette spatiale américaine
Béésh náábałí atsiniltłʼish ííłʼínígíí	Éolienne
Méhigo tééh	Vallée de Mexico
Shą́ą́ʼnahalghałí (naaldeehii)	Hyracoidea
Nahatʼeʼiitsoh łichíiʼii	Kangourou roux
Azeeniłchin	Lamiaceae
Chʼał	Anoures
Tsxilghááh	Caudata
Shádiʼááhdę́ę́ʼ atsátsoh	Harpie féroce
Shádiʼááhdę́ę́ʼ chʼał kʼaasdáhígíí	Dendrobatidae
Chʼał niłtólí	Centrolenidae
Chʼał dichʼízhí	Bufonidae
Tónteel tsídiitsoh	Diomedeidae
Chʼał atʼąąʼ nahalinii	Megophryidae
Naashgalí	Mescaleros
Bisóodi ałchiní	Sanglier
Naʼastsʼǫǫsí dóó Łéʼétsoh Danilínígíí	Muroidea
Mariner 10	Mariner 10
Sǫʼ łóóʼ bigaanézí	Ophiuroidea
Dághaałóóʼ	Siluriformes
Łóóʼtʼą́hí	Pleuronectiformes
Toohjįʼ ndiigaii	Aigrette neigeuse
Kʼaalógii bitseeʼ hólóní	Papilionidae
Mágí binááʼtsohígíí	Tarsier
Tó wónaanídę́ę́ʼ dlǫ́ʼiiłkizhii	Vormela peregusna
Díłdánii	Odontophoridae
Táłtłʼááh łį́į́ʼ	Hippocampe (poisson)
Łóóʼ bíígháántsiighąąʼ ádaadinígíí	Myxinidae
Béésh Sinil	Winslow (Arizona)
Achʼįʼ Náhiłtį́į́	Safford (Arizona)
Tó wónaanídę́ę́ʼ dzeeh	Cerf élaphe
Tsézhin Deezʼáhí	Saint Johns (Arizona)
Béésh Bá Hooghan	Globe (Arizona)
Kinłání (Hoozdoh Hahoodzo)	Flagstaff (Arizona)
Michoacán Hahoodzo	Michoacán
Tʼiisyaakin	Holbrook (Arizona)
Naʼníʼá Hótsaa	Page (Arizona)
Táłtłʼááh chʼosh daadánígíí	Caridea
Mágíshzhin	Chimpanzé
Łóóʼntsxaaí łikizhígíí	Requin-baleine
Dlǫ́ʼii yił Aheedaałtʼéhígíí	Herpestidae
Béésh Bichʼahníí Bikéyahdę́ę́ʼ ayání	Bison d'Europe
Łóóʼtsoh bitsiiʼ dikʼání	Grand cachalot
Waaʼ (dííshjį́ ááłjiní)	Épinard
Néʼéshjaatsoh	Grand-duc d'Amérique
Shádiʼááhdę́ę́ʼ tłʼízíʼilí	Alpaga
Chʼosh ditłʼooí	Chenille (lépidoptère)
Łóóʼ bigaan neeznání	Calmar
Bijáád noodǫ́ǫzii	Okapi
Méhigo Hahoodzo	État de Mexico
Ayání	Bison d'Amérique du Nord
Mąʼiiłgaii	Renard polaire
Táłtłʼááh chʼosh chʼééh digháhii bideetsohígíí	Anaspidea
Gólízhii Danilínígíí	Mouffette
Táłtłʼááh adijiłii	Echinoidea
Nahachagii	Caelifera
Wóóneeshchʼįįdii (nahachaʼígíí)	Locuste
Tsídiitsoh ditsʼozígíí	Émeu d'Australie
Ałhaʼdeetʼaah	Contrat
Naayééʼ tsídii	Archaeopteryx
Tsísʼná (bitłʼizh ííłʼínígíí)	Apis (genre)
Chééwokii dinéʼiʼ	Cherokees
Tsin naaʼeeł hééł bee nágéhéʼ	Navire de charge
Ałtį́į́ jikʼáshí áłtsʼózígíí (chʼil)	Prêle des champs
Yéigo ałhoshii	Gliridae
Naʼashjéʼii bijéí dah łichíiʼii	Veuve noire
Mágí dághaaʼígíí	Tamarin empereur
Didzéłchííʼ	Ilex
Naałání	Comanches
Oozéí / Ayahkinii	Hopis
Toohjįʼ noołnahiitsoh	Héron goliath
Bidááʼ Haʼaztʼiʼ Tsékooh	Grand Canyon
Táłtłʼááh naʼashjéʼii	Argyroneta aquatica
Táłtłʼááh tsisteełtsoh	Tortue luth
Nahatʼeʼii	Dipodomys
Tsídii yáłtiʼí yázhí	Perruche ondulée
Tábąąh mąʼii	Raton laveur
Hołchʼíʼí	Ortie
Tsįdláád	Usnée
Dáághahii dinéʼiʼ	Français (peuple)
Shash łizhinígíí	Ours noir
Náshdóí bizaʼazis hólóní	Thylacine
Łeeyiʼ chʼosh	Lumbricina
Shash bitéélgaígíí	Ours noir d'Asie
Chʼoshtʼą́hí	Platyhelminthes
Hashtłʼish jeeshóóʼ	Gypaète barbu
Jádí bíchį́į́htsohígíí	Saïga
Táłtłʼááh chʼoshtsoh chʼééh digháhii	Holothurie
Tsísʼná bizǫ́ǫ́z ádinígíí	Meliponini
Chidí naatʼaʼí dilwoʼí	Avion de chasse
Bíchį́į́h naatsʼǫǫdí	Tapir
Tó wónaanídę́ę́ʼ mąʼii	Chacal doré
Chʼóshgai (tsin)	Épinette blanche
Łóóʼ Bigaan Dahólónígíí	Cephalopoda
Naʼashǫ́ʼii łóóʼ	Anguilliformes
Dahbaʼ (tsin)	Frêne
Łóóʼ hashkéhétsoh	Grand requin blanc
Neeshchʼííłchííʼ	Castanea
Chį́į́hnézí nahatʼeʼígíí	Macroscelidea
Táłtłʼááh ayání	Dugong
Dibé Diníí Bikéyahdę́ę́ʼ náshdóí	Lynx pardelle
Maadíséloo	Monticello (Utah)
Kʼaiʼ Bił Hahazteel	Kanab
Toohjįʼ ndiigaiitsoh	Grande Aigrette
Wóóneeshchʼįįdii	Cicadidae
Dééshzhiin	Cygne noir
Naakaii náásééł	Mantodea
Dlǫ́ǫ́ʼ ntsxaaígíí	Capybara
Mąʼii bijaaʼtsohí	Fennec
Dilchaʼ	Marmotte
Díwózhii	Sarcobatus
Náshdóí łibáhígíí	Lynx roux
Chʼilhaatʼaʼii	Faucon émerillon
Tééh hóyáaniitsoh	Béluga (baleine)
Jádí bideeʼ yisdizígíí	Impala
Náátsʼózídę́ę́ʼ mąʼiiłchííʼ	Dhole
Łóóʼtsoh bighą́ą́ʼ yílkʼidígíí	Baleine à bosse
Ghą́ą́ʼnaakiskʼidii	Chameau de Bactriane
Tábąąh mąʼiiniiʼí	Chien viverrin
Naʼazhǫǫsh (ndajiné dóó adazhdikaʼgi)	Casino (lieu)
Ndikʼąʼ	Gossypium hirsutum
Dlǫ́tʼą́ʼí	Suricate
Azeeʼ hókániitsoh (chʼil daadánígíí)	Artichaut
Kéchwa dinéʼiʼ	Quechuas
Mąʼii bizaʼazis hólóní	Diable de Tasmanie
Shash bítááʼłgaígíí	Ours à lunettes
Jádítsoh	Grand koudou
Naatʼáanii Moctezuma II	Moctezuma II
Biwooʼ Ádaałtsʼíísígíí	Pilosa
Ásáí dinéʼiʼ bikéyah	Monde arabe
Shash yázhí	Ours malais
Shash ndilnaʼii	Ours lippu
Teeł	Typha
Hwéeldi	Longue marche des Navajos
Chʼódeenínii	Épicéa bleu
Łéʼétsoh yiljaaʼí	Renoncule
Hakʼaz náshdóí	Lynx du Canada
Mąʼii yił Ałhidanoolinígíí Yázhí	Procyonidae
Béésh Bichʼahii beʼakétłʼóól dijoolí	Chou-rave
Nahooyéí (chʼil naʼatłʼoʼii)	Convolvulus
Tłʼoh waaʼí nahalinígíí	Trèfle blanc
Tséʼésgízii	Ribes aureum
Tábąąstííntsoh dághaaʼígíí	Phoque barbu
Atʼééké bijish yázhí	Chou de Bruxelles
Tsékooh	Gorge (géographie)
Noodah	Agave
Łeeʼdoolʼeezí	Orobanchaceae
Kinteel Bił Hahoodzo	Comté de San Juan (Nouveau-Mexique)
Beeʼeldííl Dahsinil Bił Hahoodzo	Comté de Bernalillo
Aniłtʼánii	Neuroptera
Kʼaalógii bijáád dį́įʼii	Nymphalidae
Nímasii yiyání	Doryphore
Awééʼchíʼí (chʼil)	Campanule
Taʼaghálii	Astragale (flore)
Naaʼołí yiltʼąąʼí	Lathyrus
Azeeʼ ndootʼeezhí łibáhígíí	Marrube blanc
Hastóí tsiiyéélí	Clématite
Chʼilátah atsʼos	Épilobe
Kʼish	Aulne blanc
Dééłjáád	Rumex crispus
Shį́náldzidí (chʼil bilátah hózhóón)	Antirrhinum
Kʼįįʼ	Rhus
Naaztání	Févier d'Amérique
Táłkááʼbéésh	Sagittaire (plante)
Tsinyaa tłʼoh	Pâturin
Tłʼééʼ yiigáhii	Œnothère
Tłʼoh deeskʼidí	Amarante réfléchie
Ndootʼeezhí	Monarda
Wóóseekʼidii	Sphingidae
Dzílí bíláshgaan	Erodium cicutarium
Díkʼǫ́ǫ́zhí (chʼil)	Atriplex
Tʼąąʼdoolghasí	Potentille ansérine
Teełikaní	Troscart maritime
Láʼashdlaʼ	Parthenocissus quinquefolia
Tséghániłchʼi	Portulaca oleracea
Zééʼiilwoʼii	Vulpin
Chéchʼil ntłʼizí yiltʼąąʼí	Mahonia aquifolium
Tólchiintsoh	Épiaire des marais
Tséyaa hataałí	Rutabaga
Tłʼohtsʼózí	Juncus
Tłʼoh dichʼíízh	Carex
Shashdą́ą́ʼ	Berbéris
Tłʼoh waaʼítsoh	Mélilot blanc
Díkʼǫ́ǫ́zhí yiltʼąąʼí	Chenopodium album
Bįįh yildeeʼí	Physalis
Kʼaalógii bitʼaʼ ndikʼąʼ nahalinígíí	Lycaenidae
Hosh niteelí	Opuntia
Teeł bitʼąąʼłánígíí	Scirpus
Chʼał nineezí	Ouaouaron
Tééh hóyáanii bíchį́į́htsahí	Narval
Mágí bíchį́į́htsohígíí	Babouin
Bįįh łikizhígíí (Béésh Bichʼahníí Bikéyahdę́ę́ʼígíí)	Daim
Tábąąh ayání	Buffle d'Afrique
Nátʼostsoh	Molène thapsus
Teeł náyizí	Juncus balticus
Tólchiin (chʼil)	Menthe des champs
Táłkááʼ dah yikał	Nasturtium
Binaʼadaałtzózí	Japonais (peuple)
Kʼįįshzhíní	Cerisier de Virginie
Chʼil awoshí	Soude brûlée
Chʼil naamaasii	Amarante blanche
Yéʼiibeʼetsʼos	Brome des toits
Kʼaiʼ łichíʼii	Cornus sericea
Tsáʼásziʼ nteelí	Yucca gloriosa
Ostseʼ yiltʼąąʼí	Descurainia sophia
Azeediilchʼílii	Lupinus angustifolius
Toohjįʼhotso (chʼil)	Héliotrope de Curaçao
Kʼįįʼ łitsooí	Berberis repens
Dzidzé ditʼódí	Amélanchier à feuilles d'aulne
Gad yił aheełtʼéhígíí	Tamarix
Łóóʼ bíchį́į́h nineezí	Espadon
Łį́į́ʼ Ndahalinígíí	Equidae
Binááʼ Ádaałtsʼózí bichʼil łigaií	Pe-tsaï
Azeedíchʼííʼ	Piment
Kolíya Tááʼ Bikéyahą́ą	Trois Royaumes de Corée
Łeehdoolʼeez łichííʼí	Betterave potagère
Hashkʼaantsoh yiltʼeesígíí	Banane plantain
Chʼah Diʼilii Bikéyahdę́ę́ʼ mósí ałchinígíí	Chat de Pallas
Tááʼyaʼniiltʼóshiiłbáhígíí	Cardinal pyrrhuloxia
Jááłánii (bikágí ntłʼizígíí)	Diplopoda
Iichʼąhii ntsxaaígíí	Attacus atlas
Łóóʼ ńdídzihígíí	Dipnoi
Chʼíshiibeezhii	Paridae
Giní jáádnézí	Messager sagittaire
Hakʼaz néʼéshjaaʼ	Harfang des neiges
Shádiʼááhdę́ę́ʼ jeeshóóʼ	Condor des Andes
Chidí naatʼaʼítsoh beeʼeldǫǫh bikǫʼ neiyéhé	Bombardier (avion)
Shash bighą́ąʼgi hadzíbáhí	Grizzli
Kǫʼ naʼałbąąsii	Locomotive à vapeur
Ndíyíliitsoh	Tournesol
Naaʼahóóhaiłkizhígíí	Pintade
Tłʼiish yighání	Ratel
Dadilhóni aheltłʼidígíí	Grenade à main
Naakaii Łizhiní Bikéyahdę́ę́ʼ łééchąąʼí ałchiní	Lycaon (mammifère)
Aniłtʼánii (tʼááłaʼajínígoʼígíí)	Ephemeroptera
Ayánítsoh bighą́ą́ʼaskʼidígíí	Gayal
Máaz yikááʼ nandahí Spirit	Spirit (rover)
Naʼníʼá Hótsaadi atsiniltłʼish bá hooghan	Centrale thermique de Navajo
Hakʼaz giníłgaii	Faucon gerfaut
Tsétah jeeshóóʼ łibáhí	Vautour fauve
Tééh łééchąąʼí łikizhígíí	Hyène tachetée
Tłʼízí ałchiní	Capra aegagrus
Yaaʼ dóó chʼosh bíchį́į́h dadichʼízhí	Acanthocephala
Beeʼeldǫǫh	Mousquet
Chʼosh bitsʼaʼígíí bigaan dahólónígíí	Brachiopoda
Tʼąąʼdoolghasí (daadánígíí)	Chicorée endive
Dlǫ́ʼii (bílaʼashdlaʼii bilį́į́ʼ)	Furet
Łóóʼtsoh łibáhígíí	Baleine grise
Chʼah Diʼilii Bikéyahdę́ę́ʼ atsátsoh	Aigle des steppes
Yiisnááh	Prisonnier de guerre
Dzeeh	Wapiti
Tsinlátahgi tsídii nahatʼeʼígíí	Coliidae
Nátʼoh (chʼil)	Nicotiana tabacum
Tsin naaʼeeł bee daʼahijighánígíí	Cuirassé
Tsísʼná yiyání	Meropidae
Dlǫ́ʼiitsoh naalzheehígíí	Fossa (animal)
Nahachagii biyázhí	Aphidoidea
Naalkʼįhiitsoh	Dermoptera
Łóóʼ naatʼaʼí	Exocoetidae
Hakʼaz ayání	Bœuf musqué
Tsétah gah	Ochotona
Mąʼiitsoh bikʼos bineʼdę́ę́ʼ łizhinígíí	Loup à crinière
Iichʼąhiitsʼósí	Trichoptera
Kéyah Dańlínídę́ę́ʼ atsátsoh	Aigle des singes
Tábąąstííntsoh bíchį́į́htsohígíí	Éléphant de mer
Łóóʼntsxaaí díníchʼahii	Requin pèlerin
Chʼosh yighání	Protèle
Mágí bitseeʼ noodǫ́zígíí	Lémur catta
Táyiʼ chʼoshnézí	Nemertea
Dlǫ́tsʼósí łibáhígíí	Mangouste à dix raies
Tó naagoʼ	Goutte (physique)
Dlǫ́ʼiitsoh Danilínígíí	Viverridae
Mágí bigaanézí	Hylobatidae
Bílaneezii	Aye-aye
Séí mąʼii	Vulpes corsac
Naalʼeełítsoh bitéél halchíʼí	Bernache à cou roux
Tłʼízí bideeʼ yisdizígíí	Markhor
Jádí	Antilocapra americana
Wónikǫsí	Phasmatodea
Łóóʼ biyaatsʼiin ádaadinígíí	Hyperoartia
Tééh łééchąąʼí noodǫ́zígíí	Hyène rayée
Tsídiiłchxoní	Hoazin huppé
Táłtłʼááh chʼoshtʼą́hí bikááʼtsʼinígíí	Polyplacophora
Mąʼii bighą́ąʼgi hadzíjiní	Chacal à chabraque
Naakaii Łizhiní Bikéyahdę́ę́ʼ mąʼiiłchííʼ	Loup d'Abyssinie
Tsétah dibé	Mouflon canadien
Dibé dóó Tłʼízí Ndahalinígíí	Caprinae
Mágí bíchį́į́h dootłʼizhígíí	Mandrillus sphinx
Tó wónaanídę́ę́ʼ dibé ałchiní	Mouflon
Tsiighájíłchí	Cuscuta
Bįįhyázhí biwooʼnézí	Porte-musc de Sibérie
Dzeeh łikizhígíí	Cerf Sika
Tábąąh mósí ałchiní	Chat viverrin
Chį́į́h yee achʼiishíhii	Pristidae
Shádiʼááhdę́ę́ʼ hodíłchʼil mąʼii	Chien des buissons
Hakʼaz mágí	Macaque japonais
Tsé Biiʼ Ndzisgaii	Monument Valley
Mágí bíchį́į́h niilyoolígíí	Nasalis larvatus
Shádiʼááhdę́ę́ʼ tsídiitsoh	Nandou d'Amérique
Dáádílí łibáhígí	Epinephelus marginatus
Ayání dóó Béégashii Danilínígíí	Bovini
Náátsʼózídę́ę́ʼ mósíłtsxooí ałchinígíí	Chat de Temminck
Łóóʼnteeltsoh	Môle (poisson)
Gaanłáníchilí dóó Gaanłání doo yitʼíinii	Hydre (zoologie)
Atłʼóóh	Tissage
Chʼoshkʼaaʼ	Chaetognatha
Tábąąh bįįh	Hydropotes inermis
Hodíłchʼil jeeshóóʼ	Sarcoramphe roi
Dlǫ́ǫ́ʼ bitseetłʼooígíí	Chinchilla
Achʼąąʼ adáʼatsʼiʼ	Vaccination
Néʼéshjaaʼ bíńdáhii	Chouette épervière
Bitseeʼ yee adiłhałii	Alligator d'Amérique
Jádítsoh noodǫ́zígíí	Bongo (animal)
Níyolgi naatʼaʼígíí (tónteel tsídii)	Hydrobatidae
Tádídíín yiyání	Chrysomelidae
Tsídiidaashiyishí	Ibis (oiseau)
Yílnoodii (łóóʼ)	Sphyraena
Shádiʼááhdę́ę́ʼ łéʼétsoh bitseeʼ ádinígíí	Dasyprocta
Chʼosh bitsʼaʼłáaʼii	Monoplacophora
Naʼashǫ́ʼii łóóʼ hashkéhé	Requin-lézard
Jeeshóóʼ	Condor de Californie
Táłkááʼ chʼó	Berle dressée
Chʼosh dilwoʼígíí	Cicindelinae
Tsin ditʼinii	Spermophile
Joogii	Geai bleu
Łeeyiʼ nahakʼízii	Gryllotalpidae
Náátsʼózídę́ę́ʼ naalʼeełí	Canard mandarin
Mąʼii bijaaʼabanígíí	Renard à oreilles de chauve-souris
Yéʼii bitsáʼásziʼ	Yucca elata
Tsídiitsoh bikʼos dootłʼizhí	Casuariidae
Atsiniltłʼish ííłʼíinii (naʼashǫ́ʼii łóóʼ)	Anguille électrique
Dįʼ	Tetraoninae
Łeeyiʼ tłʼiish áłtsʼíísígíí	Scolecophidia
Niicháadii (łóóʼ)	Tetraodontidae
Tééhoołtsódiichilí	Hexaprotodon liberiensis
Kʼiiznoodǫ́ǫzii (tsin yigházhígíí)	Cuniculus (genre)
Wóláchííʼ yildeełítsoh	Tamanoir
Dibéʼniiʼí	Moucherolle à ventre roux
Bináʼadaałtsózí bitsin naaʼeeł	Jonque
Níłtsą́goʼ (bideeneezígíí)	Cerambycidae
Tséʼédǫ́ʼii bitsiinézí	Mecoptera
Tłʼohtahgi díłdánii yił aheełtʼéhii	Turnicidae
Łóóʼyiniʼįįhí (tónteel tsídii)	Stercorariidae
Shádiʼááhdę́ę́ʼ tó hóyáanii	Boto
Naʼashǫ́ʼiitsoh	Iguana
Łóóʼ adishishí	Dasyatidae
Tsin yąąh dzootʼihí	Sitta
Atʼaʼ yiltʼąąʼí dah sidáhígíí (chʼosh ntsxaaígíí)	Crabe de cocotier
Yółeehii	Lophiiformes
Tiníléí	Monstre de Gila
Dijádídlǫ́ʼí	Alouette hausse-col
Tłʼoh	Gazon
Dinas	Arctostaphylos uva-ursi
Mąʼii bikʼiizgi hadzíjiní	Chacal à flancs rayés
Yadiizį́įgo ayání	Gazelle de Waller
Télii bijáád noodǫ́zí	Âne sauvage d'Afrique
Bitsʼáá bidaʼhodiʼniil	Politique de la terre brûlée
Mágíłchííʼ	Tamarin lion doré
Dááʼadeeʼii	Spatule (oiseau)
Łóóʼ hashkéhé bitsiiʼ dikʼání	Sphyrnidae
Taahilnoodii	Sulidae
Kʼíneedlíshii adiłhashígíí	Lucanidae
Łééh yidi tóʼígíí	Aquifère
Naʼashǫ́ʼiitsoh naʼałkǫ́ʼígíí	Iguane marin des Galapagos
Tsídiisháshii	Bombycillidae
Naakétłʼáhí	Pimas
Yaaʼ bitsʼaʼígíí	Coccoidea
Daateel	Savacou huppé
Tééh łééchąąʼí ditsʼozígíí	Hyène brune
Tsétaʼ łį́į́ʼ	Mustang (cheval)
Kénézí	Jacanidae
Neeshchʼííʼ	Pignon de pin
Naalʼeełítsoh yił aheełtʼéhii łizhin dóó łigaiígíí	Canaroie semipalmée
Mąʼii chʼil	Solidago
Yaadaaʼnézí (tónteel tsídii)	Bec-en-ciseaux
Tsídii disxǫsígíí	Galbulidae
Náátsʼózídę́ę́ʼ mósíłchíiʼii ałchinígíí	Chat bai
Shádiʼááhdę́ę́ʼ tsétah mósí ałchinígíí	Chat des Andes
Tsinlátahgi dlǫ́ʼiitsoh	Binturong
Jeeshóóʼ łizhinígíí	Urubu noir
Naałʼashí	Theraphosidae
Dééłdą́ą́ʼ	Pteridium aquilinum
Hashkʼaan yildeełígíí (tsídii)	Musophagiformes
Łį́į́chilí	Shetland (cheval)
Daakʼį́į́ʼ	Courlis
Mąʼiiłtsooí łibáhígíí	Renard gris
Naʼashǫ́ʼiitsoh dootłʼizhígíí	Iguana iguana
Chidí bikéíjį́ʼ adeizʼááhígíí	Pick-up
Bįįh bitseełgaiígíí	Cerf de Virginie
Wónitłʼizí	Cloporte
Díʼdikii (jádí)	Madoqua
Hakʼaz mąʼiitsoh	Loup arctique
Dark Ages	Âge sombre
Ndikʼąʼ biyaʼ	Charançon du cotonnier
Tłʼoh naadą́ą́ʼ biyaʼ	Charançon du blé
Łeeyiʼ jááłániichilí	Pauropoda
Aniłtʼánii (bikʼosnézí)	Raphidioptera
Dlóóʼ binaalniih	Peste bubonique
Naaʼołí biyaʼ	Bruchinae
Tséʼédǫ́ʼii dishooí	Syrphidae
Tsáʼásziʼ dóó Noodah	Agavaceae
Tééh tsisteeł	Tortue marine
Bichʼah Dootłʼizhii	Force de maintien de la paix des Nations unies
Dlǫ́ʼii łizhin dóó łitsooígíí	Martes flavigula
Chʼosh ałchozhii (chéłchaaʼ)	Dermestidae
Łeʼesoołii (bitseeʼ naakiígíí)	Diplura (Hexapodes)
Dlǫ́ʼátsoh	Marmota monax
Chʼééh digháhii dóó Tsisteeł	Tortue
Tááʼyaʼniiltʼóshii	Cardinalidae
Łóóʼ bigaanłánígo bitsʼaʼígíí	Nautilidae
Łeʼesoołii (bitseeʼ tááʼígíí)	Thysanura
Tłʼézhii	Tabanidae
Tániilʼáítsʼóóz	Zygoptera
Naashtʼézhí	Zuñi
Aniłtʼániitsʼóóz	Myrmeleontidae
Tó wónaanídę́ę́ʼ hazéí bíchį́į́hnézí	Scandentia
Hakʼaz gah	Lièvre arctique
Bįįh łikizhígíí (Naakaii Dootłʼizhii Bikéyahdę́ę́ʼígíí)	Cerf axis
Nahashchʼidí (naaldeehii)	Blaireau d'Amérique
Bisóodi bideeʼ názhahígíí	Babiroussa
Tsídii bichʼahtsooígíí	Calao bicorne
Shádiʼááhdę́ę́ʼ bisóodi diʼilígíí	Tayassuidae
Náʼagéédí bizaʼazis hólóní	Taupes marsupiales
Bilagáana	Blanc (humain)
Tłʼézhiiłbáhí	Tachinidae
Shash nátʼoh	Tribule terrestre
Jádítsoh diłhiłígíí	Nyala
Jádítsoh bideeʼ shiyishígíí	Hippotrague noir
Dlǫ́ʼiitsoh łikizhígíí	Civettictis civetta
Tsinaʼayąʼii yildeełí	Myrmecobius fasciatus
Tsétah tłʼízí	Chèvre des montagnes Rocheuses
Jááłániichilí bighádzígaiígíí	Symphyla
Gahchilí	Brachylagus idahoensis
Tsiishgaii	Sittelle pygmée
Cháʼoł bidahtsʼaaʼ	Arceuthobium
Tsį́į́łkaałiichilí	Picumninae
Dééłgai bitsiiʼ halzhinígíí	Cygne à cou noir
Chʼosh nahachagii	Cicadellidae
Hóółtseiigi naʼastsʼǫǫsí	Gerbille
Gaanłání	Ceriantharia
Dibédą́ą́ʼ	Shépherdie
Tádídíín yiyání łichíʼígíí	Lilioceris lilii
Laanaa Yáʼátʼéehgo Késhmish	We Wish You a Merry Christmas
Naʼazǫ́ǫzii	Mutillidae
Jáád neishoodí (naʼashjéʼii haalzheehígíí)	Pompilidae
Naalʼeełí bidaatsʼózí	Mergus
Chį́į́shłigaií (bílaʼashdlaʼii bilį́į́ʼ)	Oie domestique
Naalʼeełí łizhinígíí	Melanitta
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ naalʼeełítsoh łibáhígíí	Céréopse cendré
Dahsánítsoh	Hystrix cristata
Naʼastsʼǫǫsí bitseeʼ dichʼízhí	Acomys
Tsétah nahatʼeʼiitsoh	Pétrogale
Táłkááʼ dilwoʼí	Gerridae
Akáshtʼóózh biyaʼ	Psocoptera
Łeʼesoołii (bideeʼ ádinígíí)	Protura
Ąąʼąʼii	Pica (genre)
Jádí bideeʼ dį́įʼii	Antilope tétracère
Táłtłʼááh chʼosh ntsxaaígíí	Macrocheira kaempferi
Mósí ałchiní bitsiiʼtʼąhígíí	Chat à tête plate
Naakaii Łizhiní Bikéyahdę́ę́ʼ naalʼeełítsoh dibéłchíʼígíí	Ouette d'Égypte
Hosh aditsahiitsoh	Saguaro
Tʼáá łichíʼígo náʼagéédí	Rat-taupe nu
Tsisteeł łizhinígíí	Tortue charbonnière à pattes rouges
Tééh jeeshóóʼ	Vautour africain
Iichʼąhii noodǫ́zí	Sphinx orangé
Atʼąąʼ nahalinii	Phylliidae
Ghą́ą́ʼnoodǫ́ǫzii (tsin yigházhígíí)	Dinomys branickii
