אפריקע	Afrique
ווערסיי אפמאך	Traité de Versailles
ארכימעד	Archimède
וויעטנאם קריג	Guerre du Viêt Nam
טאמעס עדיסאן	Thomas Edison
אוקלידוס	Euclide
מייקל פאראדיי	Michael Faraday
באסקיש	Basque
ענריקא פערמי	Enrico Fermi
בריטיש ערוועיס	British Airways
DNS	Domain Name System
הענרי פארד	Henry Ford
גאלען	Claude Galien
קריפטאגראפיע	Cryptographie
אינטערנעט פראטאקאל	Internet Protocol
אוקראיניש	Ukrainien
ביט	Bit
HTML	Hypertext Markup Language
וואלענציע	Valence (Espagne)
יוניקאד	Unicode
סאטיאדזשיט ריי	Satyajit Ray
סטיווען ספילבערג	Steven Spielberg
אייראפעאישע קאמיסיע	Commission européenne
אייראפעישער צענטראלבאנק	Banque centrale européenne
אייראפעישע אטאמישע ענערגיע געמיינדע	Communauté européenne de l'énergie atomique
יאהאן גוטנבערג	Johannes Gutenberg
דזשיימס פרעסקאט דזשול	James Prescott Joule
יאהאנעס קעפלער	Johannes Kepler
מאקס פלאנק	Max Planck
שוועדיש	Suédois
דעניש	Danois
ניקאלא טעסלא	Nikola Tesla
אל־כוואריזמי	Al-Khwârizmî
זשיימס וואט	James Watt
טשאנאקיע	Chanakya
גאטפריד ווילהעלם לייבניץ	Gottfried Wilhelm Leibniz
נועם כאמסקי	Noam Chomsky
לוקסעמבורגיש	Luxembourgeois
טשעכיש	Tchèque
סלאוואקיש	Slovaque
קארל מארקס	Karl Marx
סלאוועניש	Slovène
אונגעריש	Hongrois
וואלטער	Voltaire
משה רבינו	Moïse
לעטיש	Letton
וויסן	Connaissance
ליטוויש	Lituanien
הינדואיזם	Hindouisme
בעלארוסיש	Biélorusse
דזשיימס קלארק מאקסוועל	James Clerk Maxwell
ברוסט	Sein
דמיטרי מענדלעעוו	Dmitri Mendeleïev
אטאם	Atome
ערנעסט ראדערפארד	Ernest Rutherford
ליכט	Lumière
גריכיש	Grec
ערווין שרעדינגער	Erwin Schrödinger
מיטאלאגיע	Mythologie
אפערירן סיסטעם	Système d'exploitation
טאזש מאהאל	Taj Mahal
איריש	Irlandais
פראגראמירן שפראך	Langage de programmation
פינגווין	Manchot
פונדאמענטאליזם	Fondamentalisme
בליצפאסט	Courrier électronique
מאנאטעיזם	Monothéisme
פאליטעאיזם	Polythéisme
נשמה	Âme
מאלטעזיש	Maltais
פערסיש	Persan
רעליגיע	Religion
קארעיש	Coréen
אברהם אבינו	Abraham
ספר בראשית	Livre de la Genèse
עמפייער סטעיט בילדינג	Empire State Building
ספר שמות	Livre de l'Exode
רענע דעקארט	René Descartes
וויעטנאמעזיש	Vietnamien
שאול התרסי	Paul de Tarse
סטאטוע פון ליבערטי	Statue de la Liberté
אמעריקאנער ארמיי	United States Army
זיגמונד פרויד	Sigmund Freud
טיילאנדיש	Thaï
דזשייניזם	Jaïnisme
געארג ווילהעלם פרידריך העגל	Georg Wilhelm Friedrich Hegel
מאנגאליש	Mongol
באקו	Bakou
וועלט ירושה ארט	Patrimoine mondial
סאלאט	Salade (mets)
יידישקייט	Judaïsme
העברעאיש	Hébreu
איבן כאלדון	Ibn Khaldoun
סערביש	Serbe
באסניש	Bosnien
אימאנועל קאנט	Emmanuel Kant
סיקהיזם	Sikhisme
דזשאן מיינארד קינס	John Maynard Keynes
אויפפיר	Comportement
לאא צי	Lao Tseu
Gmail	Gmail
גוגל דאקומענטן	Google Documents
יאגא	Yoga
דזשאן לאק	John Locke
פרידריך ניצשע	Friedrich Nietzsche
בישקעק	Bichkek
זשאן-פאל סארטרע	Jean-Paul Sartre
דושאנבע	Douchanbé
גוגל (זוכמאשין)	Google (moteur de recherche)
לעבער	Foie
סימא טשיען	Sima Qian
ניר	Rein
אדם סמיט	Adam Smith
אוריניר פענכער	Vessie
מאקס וועבער	Max Weber
לודוויג וויטגנשטיין	Ludwig Wittgenstein
זשו טשי	Zhu Xi
נערוון סיסטעם	Système nerveux
געפיל	Émotion
פסיכאלאגיע	Psychologie
טראכטן	Pensée
טימבוקטו	Tombouctou
אקעאן	Océan
טאמאס פון אקווינא	Thomas d'Aquin
קעניגין וויקטאריע	Victoria (reine)
גאוטאמא בודהא	Siddhartha Gautama
רעגנוואלד	Forêt humide
דיאלעקטיק	Dialectique
מוכאמאד	Mahomet
מידות	Éthique
עפיסטעמאלאגיע	Épistémologie
בחירה	Libre arbitre
IPod	IPod
משמעותדיקייט	Probabilité
רעאליטעט	Réalité
אטעם	Haleine
בי בי סי	British Broadcasting Corporation
טאני בלער	Tony Blair
אל-גאזאלי	Al-Ghazâlî
מארטין לוטער	Martin Luther
קאנפוציאניזם	Confucianisme
דזשעראלד פארד	Gerald Ford
שיא איסלאם	Chiisme
ריטשארד ניקסאן	Richard Nixon
ITunes	ITunes
קאטוילישע קירכע	Église catholique
טרימורטי	Trimūrti
בויך	Abdomen
טאאיזם	Taoïsme
זאראאסטריזם	Zoroastrisme
סופיזם	Soufisme
בענגאליש	Bengali
טראכט	Utérus
צונג	Langue (anatomie humaine)
פאנקרעאס	Pancréas
נערוו	Nerf
גענאק	Cou
מויל	Bouche
שטימע קעסטל	Larynx
געדערעם	Intestin
לינדאן זשאנסאן	Lyndon B. Johnson
געלענק	Articulation (anatomie)
ברוסטקאסטן	Torse
דריז	Glande
פאלקלאנד אינזלען	Îles Malouines
פארדייאונג סיסטעם	Appareil digestif humain
A	A (lettre)
מיכאל שומאכער	Michael Schumacher
אינזל פון ווייט	Île de Wight
עליזאבעט די צווייטע	Élisabeth II
טאנג דינאסטיע	Dynastie Tang
ניו יארק טיימס	The New York Times
מידקייט	Fatigue (physiologie)
זשאן עף. קענעדי	John Fitzgerald Kennedy
B	B (lettre)
זרע	Sperme
דזשיאאקינא ראסיני	Gioachino Rossini
קלאסישע מוזיק	Musique classique
סימפאניע	Symphonie
G	G (lettre)
U	U (lettre)
Z	Z (lettre)
בלוז	Blues
פלאמענקא	Flamenco
F	F (lettre)
J	J (lettre)
עלעקטראנישע מוזיק	Musique électronique
אלפאבעט	Alphabet
אות	Lettre (alphabet)
רעגיי	Reggae
T	T (lettre)
C	C (lettre)
R	R (lettre)
D	D (lettre)
אלפא	Alpha
I	I (lettre)
מינג דינאסטיע	Dynastie Ming
E	E (lettre)
H	H (lettre)
דווייט דעיוויד אייזנהאוער	Dwight David Eisenhower
K	K (lettre)
L	L (lettre)
M	M (lettre)
N	N (lettre)
O	O (lettre)
Q	Q (lettre)
S	S (lettre)
ראנאלד רייגען	Ronald Reagan
V	V (lettre)
W	W (lettre)
X	X (lettre)
Y	Y (lettre)
ענדי מאריי	Andy Murray
פלאזמע	État plasma
קאנאל טונעל	Tunnel sous la Manche
פיטאגאראס	Pythagore
קאלאסעום	Colisée
פארטענאן	Parthénon
ארימקייט	Pauvreté
סאראגאסא	Saragosse
דזשאן מעקעין	John McCain
פערנאנדא אלאנסא	Fernando Alonso
דעיוויד בעקהעם	David Beckham
גארדאן בראון	Gordon Brown
נעוויל טשעמבערליין	Neville Chamberlain
קאַטעגאָריע:װענעזועלע	Catégorie:Venezuela
בעלפאסט	Belfast
קארדיף	Cardiff
פעריאדישע טאבעלע	Tableau périodique des éléments
טיבאר סעקעלי	Tibor Sekelj
זעלבסטמארד	Suicide
נאקעט	Nudité
9/11	Attentats du 11 septembre 2001
רעפטיליע	Reptile
סעקס שפילצייג	Jouet sexuel
נאגער	Rodentia
טויבן	Columbidae
שפּאנישע בירגער קריג	Guerre d'Espagne
ארכעען	Archaea
בלינדקייט	Cécité
באקטעריע	Bacteria
בוים	Arbre
פראטיסטן	Protista
אמפיביע	Amphibia
כארדאטן	Chordata
רעוואלוציע	Révolution (politique et sociale)
קעז	Fromage
וויינטרויבן	Raisin
האניג	Miel
פלייש	Viande
קארטאפל	Pomme de terre
צוקער	Sucre
גרינצייג	Légume
סויע	Soja
נוס	Fruit à coque
ראבאט	Robot
טעכנאלאגיע	Technologie
מאשין	Machine
שרויף	Vis de fixation
אינזשעניריע	Ingénierie
קאמוניקאציע	Communication
אינפארמאציע	Information
זשורנאליזם	Journalisme
צייטונג	Journal
מאסן מעדיע	Médias de masse
דרוקעריי	Imprimerie
טעלעפאן	Téléphone
קולטור	Culture
הינדוסטאני	Hindoustani
סאנסקריט	Sanskrit
בלוט צירקולאציע	Appareil cardiovasculaire
ענדאקרינאלע סיסטעם	Système endocrinien
אלצהיימערס קרענק	Maladie d'Alzheimer
גראבע קישקע	Gros intestin
פארקינסאן קרענק	Maladie de Parkinson
קליינע קישקע	Intestin grêle
חוש-סיסטעם	Système sensoriel
שפעק	Lard
IP אדרעס	Adresse IP
זייערס	Acide
אומארגאנישע כעמיע	Chimie inorganique
פראגע צייכן	Point d'interrogation
כעמישע פארבינדונג	Composé chimique
יוליאנישער קאלענדאר	Calendrier julien
מעדיצין	Médecine
וועלט פאקטבוך	World Factbook de la CIA
באזע (כעמיע)	Base (chimie)
סאראיעווא	Sarajevo
לאגאריטם	Logarithme
העכסטע געריכט פון די פאראייניגטע שטאטן	Cour suprême des États-Unis
אריטמעטיק	Arithmétique
פענטאגאן	Pentagone (États-Unis)
קאארדינאטן סיסטעם	Système de coordonnées
מיליטער פון די פאראייניקטע שטאטן פון אמעריקע	Forces armées des États-Unis
דיפערענציאל-גלייכונג	Équation différentielle
Windows 7	Windows 7
נומערישער אנאליז	Analyse numérique
יו.עס. מארין קארפס	United States Marine Corps
Windows Server	Windows Server
אמעריקאנער פלאט	United States Navy
אמעריקאנער לופטפלאט	United States Air Force
אמעריקאנער בארטן פאטראל	United States Coast Guard
פראצענט	Pourcentage
Windows Vista	Windows Vista
היימלאנד זיכערהייט	Département de la Sécurité intérieure des États-Unis
Windows Server 2008	Windows Server 2008
World Trade Center	World Trade Center
סמיילי	Smiley
Windows Server 2003	Windows Server 2003
Windows XP	Windows XP
מידטאון מאנהעטן	Midtown (Manhattan)
לאוער מאנהעטען	Lower Manhattan
זאלץ	Sel alimentaire
Microsoft Office	Microsoft Office
פידעל קאסטרא	Fidel Castro
Microsoft Word	Microsoft Word
קאנגרעס	Congrès des États-Unis
עקסעל	Microsoft Excel
Hyper-V	Hyper-V
קאַטעגאָריע:בראזיל	Catégorie:Brésil
טראל (אינטערנעט)	Troll (Internet)
מאנהעטן	Manhattan
וואלקן קראצער	Gratte-ciel
שאפינג מאלל	Centre commercial
קאַטעגאָריע:רומעניע	Catégorie:Roumanie
כעמישער עלעמענט	Élément chimique
גלייכונג	Équation
פונקציע	Fonction (mathématiques)
ארגאנישע כעמיע	Chimie organique
ווינקל	Angle
קארבאהידראט	Glucide
הארמאן	Hormone
ליפיד	Lipide
יוניקס	Unix
מאלעקול	Molécule
פיזיקאלישע כעמיע	Chimie physique
פארגיכערונג	Accélération
ענערגיע	Énergie
לאקאל נעצווערק	Réseau local
קאנסערווירונג פון ענערגיע	Conservation de l'énergie
עלעקטראמאגנעטישע שטראלונג	Rayonnement électromagnétique
אינפרארויט	Infrarouge
אולטראוויאלעט	Ultraviolet
זגאלן אין סכנה	Espèce menacée
שטוביקונג	Domestication
קלאסישע מעכאניק	Mécanique newtonienne
ביאלאגישע קלאסיפיקאציע	Classification scientifique des espèces
ראק מוזיק	Rock
היפ האפ	Hip-hop
קראפט	Force (physique)
סאמבע	Samba (musique)
פויק	Tambour (instrument)
פלייט	Flûte
מאגנעטיש פעלד	Champ magnétique
אפארטהייד	Apartheid
שפיל	Jeu
טריק-טראק	Backgammon
גראוויטאציע	Gravitation
גא	Jeu de go
שטארקע קראפט	Interaction forte
אזארטשפיל	Jeu d'argent
קאמפקונסט	Art martial
שוואכע קראפט	Interaction faible
קאראטע	Karaté
דזשודא	Judo
מאגנעט	Aimant permanent
שפילכל	Jouet
מאסע	Masse
אנימאציע	Image animée
מעטאל	Métal
שטאל (מעטאל)	Acier
יאדער-שפאלטונג	Fission nucléaire
צושטאנד פון מאטעריע	État de la matière
גאז	Gaz
פליסיקייט	Liquide
לופטמאשין	Aéronef
סאלידער קערפער	État solide
ביציקל	Bicyclette
שיף	Navire
ראדיאאקטיוויטעט	Radioactivité
לאנדווירטשאפט	Agriculture
אלגעמיינע טעאריע פון רעלאטיוויטעט	Relativité générale
באוואסערונג	Irrigation
ספעציעלע טעאריע פון רעלאטיוויטעט	Relativité restreinte
האלב-דורכפירער	Semi-conducteur
באוול	Coton
קליידונג	Vêtement
קלאנג	Son (physique)
אדאבי	Adobe Systems
אקער	Charrue
טעמפעראטור	Température
מעטאלורגיע	Métallurgie
נאנאטעכנאלאגיע	Nanotechnologie
גלאז	Verre
צייט	Temps
פאפיר	Papier
טערמאדינאמיק	Thermodynamique
פלאסטיק	Matière plastique
וואקיום	Vide
קינעמאטיק	Cinématique
שטח	Aire (géométrie)
פיטאגאראס פרינציפ	Théorème de Pythagore
מאטעמאטישער דערווייז	Démonstration
צאל	Nombre
קאמפלעקסע צאל	Nombre complexe
דארווין, אויסטראליע	Darwin (Australie)
קילאגראם	Kilogramme
מעטער	Mètre
סעקונדע	Seconde (temps)
קוקורוזע	Maïs
גערשט	Orge commune
ליטער	Litre
בליטש	Blanchiment (chimie)
הערי עס טרומאן	Harry S. Truman
מאלעריי	Peinture
פאטאגראפיע	Photographie
סקולפטור	Sculpture
טעאטער	Théâtre
דזשודי גארלאנד	Judy Garland
טאנץ	Danse
טעפעריי	Poterie
עלעקטראניק	Électronique
עלעקטרישער שטראם	Courant électrique
פרעקווענץ	Fréquence
דיאדע	Diode
טראנספארמאטאר	Transformateur électrique
קינסטלעכע אינטעליגענץ	Intelligence artificielle
אינפארמאציע טעכנאלאגיע	Technologie de l'information
וועטער	Temps (météorologie)
ענדרו קוואמא	Andrew Cuomo
דעיוויד פעטערסאן	David Paterson
עליאט שפיצער	Eliot Spitzer
דזשארזש פאטאקי	George E. Pataki
אקציע (פינאנץ)	Action (finance)
פרעזידענט פון די פאראייניגטע שטאטן	Président des États-Unis
רעסטאראן	Restaurant
דרום-מזרח אזיע	Asie du Sud-Est
רשימה:לענדער פון דער וועלט	Liste des pays du monde
פרעהיסטאריע	Préhistoire
לייזער זאמענהאף	Ludwik Lejzer Zamenhof
שטיין עפאכע	Âge de la pierre
בראנדז עפאכע	Âge du bronze
אייזן עפאכע	Âge du fer
מעסאפאטאמיע	Mésopotamie
אוראלט עגיפטן	Égypte antique
אוראלט גריכנלאנד	Grèce antique
גופטא אימפעריע	Empire Gupta
בער	Ursidae
זשאן עדעמס	John Adams (homme politique)
טאמעס זשעפערסאן	Thomas Jefferson
זשיימס מעדיסאן	James Madison
זשיימס מאנרא	James Monroe
זשאן קווינסי עדעמס	John Quincy Adams
ענדרו זשעקסאן	Andrew Jackson
מארטין וואן ביורען	Martin Van Buren
וויליאם הענרי העריסאן	William Henry Harrison
זשאן טיילער	John Tyler
וויליאם ראאן האמילטאן	William Rowan Hamilton
זשיימס נאקס פאלק	James Knox Polk
זאקארי טיילאר	Zachary Taylor
בריטני ספירס	Britney Spears
פארדייאונג	Digestion
פאטאסינטעז	Photosynthèse
רעפראדוקציע	Reproduction (biologie)
שוואנגערן	Grossesse
קיילי מינא	Kylie Minogue
דעמב	Chêne
גוגל מאפע	Google Maps
גוגל נייעס	Google Actualités
סאסנע	Pin (plante)
אדיקציע	Addiction
קענסער	Cancer
כאלערע	Choléra
קארן	Seigle
האבער	Avoine cultivée
ווייץ	Blé
סארגע	Sorghum
תבואה	Céréale
פארקילונג	Rhume
ציינדאקטעריי	Odontologie
דעפעקטיווקייט	Handicap
קאלענדאר	Calendrier
טויב	Surdité
מח-קרענק	Trouble psychique
קראנקייט	Maladie
גרעגאריאנישער קאלענדאר	Calendrier grégorien
מעדיקאמענט	Médicament
צייט זאנע	Fuseau horaire
ניקאטין	Nicotine
געזונט	Santé
הארץ אטאקע	Infarctus du myocarde
טוטאַנכאַמון	Toutânkhamon
מאלאריע	Paludisme
אנטארעס	Antarès
נישט-דערנערונג	Malnutrition
מענסטרואציע	Menstruation
גראב	Obésité
פאנדעמיע	Pandémie
אנטיביאטיק	Antibiotique
פעניצילין	Pénicilline
נאנט	Nantes
לונגען אנטצינדונג	Pneumonie aiguë
קינדער-פאראליז	Poliomyélite
געשלעכט-קראנקייט	Infection sexuellement transmissible
עידס	Syndrome d'immunodéficience acquise
וואטע שפיץ	Coton-tige
אנפאל	Accident vasculaire cérébral
טובערקולאז	Tuberculose
צוקערקרענק	Diabète sucré
פאקן	Variole
קורדן	Kurdes
ארכיטעקטור	Architecture
בויגן (ארכיטעקטור)	Arc (architecture)
בריק	Pont
קאנאל	Canal (voie d'eau)
מילארד פילמאר	Millard Fillmore
פרענקלין פירס	Franklin Pierce
דאם	Barrage
זשיימס ביוקענען	James Buchanan
זאלץ (כעמיע)	Sel (chimie)
פירענעען	Pyrénées
שוויץ (קאנטאן)	Canton de Schwytz
דעטרויט	Détroit (Michigan)
מאס	Mesure physique
אינטערנאציאנאלע סיסטעם פון איינסן	Système international d'unités
נומערן טעאריע	Théorie des nombres
סכומען טעאריע	Théorie des ensembles
סטאטיסטיק	Statistique
סימעטריע	Symétrie
קופאל	Dôme (architecture)
בורדזש כאליפא	Burj Khalifa
כינעזער וואנט	Grande Muraille
גאנצע צאל	Entier relatif
האגיא סאפיא	Sainte-Sophie (Constantinople)
טרעפּ	Escalier
פעטראס באסיליקע	Basilique Saint-Pierre
דריי-שלוכטן-דאמבע	Barrage des Trois-Gorges
פיראמיד	Pyramide (architecture)
טורעם	Tour (édifice)
אבאסישער כאליפאט	Califat abbasside
אויפקלערונג	Siècle des Lumières
אזטעק	Aztèques
ביזאנטישע אימפעריע	Empire byzantin
קרייצצוג	Croisades
הייליגע רוימישע אימפעריע	Saint-Empire romain germanique
הונדערט-יעריגע מלחמה	Guerre de Cent Ans
מיטל אלטער	Moyen Âge
מאנגאלישע אימפעריע	Empire mongol
אטאמאנישע אימפעריע	Empire ottoman
עספעראנטא וועלט קאנגערס	Congrès mondial d'espéranto
פראטעסטאנטישע רעפארמאציע	Réforme protestante
וויקינג	Vikings
נבוכדנאצר דער צווייטער	Nabuchodonosor II
ברוטא אינלענדישער פראדוקט	Produit intérieur brut
קאליגראפיע	Calligraphie
מאדע	Mode (habillement)
דערנייבארע ענערגיע	Énergie renouvelable
עלעקטריע	Électricité
קערנדיקע קראפט	Énergie nucléaire
פאסיל-ברענשטאף	Combustible fossile
אינטערנל קאמבאסטשען ענזשין	Moteur à combustion interne
דאמפמאטאר	Machine à vapeur
שווערד	Épée
פייער-געווער	Arme à feu
מאשינביקס	Mitrailleuse
נוקלעארער וואפן	Arme nucléaire
2029	2029
באריס קאלקער	Boris Kolker
איבערישער האלבאינזל	Péninsule Ibérique
שיספולווער	Poudre à canon
פליסיגע אויפרייס	Explosif
טאנק	Char de combat
אנטווערפן	Anvers
דזשארדזש סאראס	George Soros
רעאלע צאל	Nombre réel
לעאפאלד דער צווייטער פון בעלגיע	Léopold II (roi des Belges)
לעאפאלד דער ערשטער פון בעלגיע	Léopold Ier (roi des Belges)
לעאפאלד דער דריטער פון בעלגיע	Léopold III (roi des Belges)
אלבערט דער ערשטער פון בעלגיע	Albert Ier (roi des Belges)
באדעוויין פון בעלגיע	Baudouin (roi des Belges)
מישעל אבאמא	Michelle Obama
יאגדע	Bleuet (fruit)
ראזשינקע	Raisin sec
קאקאס	Cocos nucifera
מילגרוים	Grenade (fruit)
מאראנץ	Orange (fruit)
רומאנטש	Romanche
אייזקרעם	Crème glacée
קוכן	Gâteau
יאגארט	Yaourt
הארווארד אוניווערסיטעט	Université Harvard
על זשאזירא	Aljazeera
רעטעניש	Casse-tête
סעבו (גובערניע)	Cebu
אנזשאלינא זשאולי	Angelina Jolie
אדריאטישער ים	Mer Adriatique
אראביש	Arabe
דאנק טאג	Thanksgiving
Msnbc	MSNBC
האנשו	Honshū
בערנארד מעדאף	Bernard Madoff
ערווין ראמעל	Erwin Rommel
קאנדאם	Préservatif
פאלמע	Arecaceae
טשימבאראזא	Chimborazo (volcan)
דאלאר	Dollar
ביקיני	Bikini (vêtement)
ספארטזאל	Gymnase (sport)
קארסיקע	Corse
פרעמיער מיניסטער	Premier ministre
דזשוסעפע פיאצי	Giuseppe Piazzi
ערשטער ניווא דאמען	Domaine de premier niveau
סאנטיאגא דע קאמפאסטעלא	Saint-Jacques-de-Compostelle
וויטאריע	Vitoria-Gasteiz
סאנטא קרוז דע טענעריפע	Santa Cruz de Tenerife
בעטא	Bêta
גאמא	Gamma
קאקטוס	Cactaceae
אפטיק	Optique
פאן	Drapeau
טיש	Table
לענאווא	Lenovo
הייסע וואסער סיסטעם	Chauffe-eau
ברין	Brno
עסקאלאטאר	Escalier mécanique
שטול	Chaise
אינטערנאציאנאלע ארגאניזאציע פאר סטאנדארטיזאציע	Organisation internationale de normalisation
ג	Gimel (lettre)
ד	Dalet (lettre)
ה	He (lettre)
זשיראף	Girafe
דרום טיראל	Province autonome de Bolzano
ו	Vav (lettre)
ז	Zayin (lettre)
ח	Het (lettre)
ט	Tet (lettre)
וואנצעס	Moustache
סאוועטן פארבאנד	Union des républiques socialistes soviétiques
ראן פאול	Ron Paul
מוניציפאליטעט	Commune
גוט	Bonté
שלעכטס	Mal
אלקאהאליזם	Alcoolodépendance
קאמערע	Appareil photographique
טעלעוויזיע פראגראם	Émission de télévision
פאראנא	Paraná (État)
C (פראגראם שפראך)	C (langage)
פוס	Pied (anatomie humaine)
האנטקייטן	Menottes
קווין	Queen
פרעדי מערקורי	Freddie Mercury
ברייען מעי	Brian May
ראדזשער טעילער	Roger Taylor
עמי וויינהאוס	Amy Winehouse
מאנטעסקיע	Montesquieu
פעניאראל	Club Atlético Peñarol
פערזענלעכער קאמפיוטער	Ordinateur personnel
אקסל	Épaule
האלדז	Gorge (anatomie)
שילדדריז	Glande thyroïde
פארטאל:רעקאמענדירטע ארטיקלען	Wikipédia:Articles de qualité
וועלט	Monde (univers)
װיקיפּעדיע:קאווע שטיבל	Wikipédia:Le Bistro
ריכטער	Juge
ווערמאנט	Vermont
סאן דיעגא	San Diego
דענווער	Denver
היוסטן	Houston
פיניקס	Phoenix (Arizona)
אסטין	Austin (Texas)
מעמפיס	Memphis (Tennessee)
קאלומבוס, אהייא	Columbus (Ohio)
אמעריקאנישער סאמאא	Samoa américaines
עדגאר אלאן פא	Edgar Allan Poe
לאס אנדזשעלעס, טשילע	Los Ángeles
שפיטאל	Hôpital
מזרח דייטשלאנד	République démocratique allemande
קלויסטער	Église (édifice)
נארד-פא-דע-קאלע	Nord-Pas-de-Calais
אקלאנד, קאליפארניע	Oakland (Californie)
גאוויאל	Gavial du Gange
איי	Œuf (biologie)
מונטינלופא	Muntinlupa
אעראפלאנען שיף	Porte-avions
שניי-מאביל	Motoneige
מאנאפאלי (שפיל)	Monopoly
קרייז	Cercle
פלאך	Plan (mathématiques)
זעלביקער-געשלעכט חתונה	Mariage homosexuel
וויקיע	Wikia
קיינציקלאפעדיע	Désencyclopédie
פלאמענגא	Clube de Regatas do Flamengo
צעלפאן	Téléphone mobile
שטרויס	Autruche d'Afrique
סטיווען האקינג	Stephen Hawking
קלאסישע פעריאדע (מוזיק)	Musique de la période classique
אקסיאם	Axiome
טעאריע	Théorie
סעקסואלער אריענטאציע	Orientation sexuelle
סאקראמענטא	Sacramento
האנאלולו	Honolulu
קארעע	Corée
1925	1925
1927	1927
מאנטשעסטער	Manchester
אספירין	Acide acétylsalicylique
אינסטינקט	Instinct
פראווידענס	Providence (Rhode Island)
ניו ענגלאנד	Nouvelle-Angleterre
אלי וויזעל	Elie Wiesel
ברוקלין	Brooklyn
קווינס	Queens
בראנקס	Bronx
סטעטן איילאנד	Staten Island
לאנג איילענד	Long Island
וואלף	Canis lupus
מעטאפאר	Métaphore
אלעגאריע	Allégorie
מאפיא	Mafia
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
פיאנגיאנג	Pyongyang
נייער טעסטאמענט	Nouveau Testament
GPS	Global Positioning System
אסקאר	Oscars du cinéma
2010ער	Années 2010
אייקאריאט	Eukaryota
9 (נומער)	9 (nombre)
י	Yod (lettre)
כ	Kaf (lettre)
סאן פעדרא דע לא פאז	San Pedro de la Paz
פאדאלסק	Podolsk
באנאבא	Bonobo
פויבסט	Pape
אלקאלי מעטאל	Métal alcalin
ראפאעל קארעא	Rafael Correa
איבערגאנג מעטאל	Métal de transition
האלבמעטאלן	Métalloïde
נישט-מעטאל	Non-métal
איידעלער גאז	Gaz noble
בוקארעשט	Bucarest
על גאר	Al Gore
סעווערן	Severn
פארטא-ריקאנישע אומאפהענגיקייט פארטיי	Parti indépendantiste portoricain
טעמז	Tamise
טיראנא	Tirana
1928	1928
מאנגראווע	Mangrove
היטשין	Hitchin
קראצמעך	Noël
דרייעק	Triangle
עיבור יאר	Année bissextile
סטופיניגי שלאס	Pavillon de chasse de Stupinigi
סטיוו זשאבס	Steve Jobs
ליידי גאגא	Lady Gaga
ברייניגערבערג	Breinigerberg
מואמאר קאדאפי	Mouammar Kadhafi
בעקערלו ליניע	Bakerloo line
טיגער	Tigre
כואן קארלאס דער ערשטער	Juan Carlos Ier
פעטוטשיני	Fettuccine
לאנדאנער אונטערגרונט	Métro de Londres
קוגעלעך	Osselets (jeu)
MAC אדרעס	Adresse MAC
פאדקעסט	Podcasting
קעשענעוו	Chișinău
נאטירלעכע צאל	Entier naturel
סאציאלאגיע	Sociologie
שלום (צייטונג)	Şalom
אדישא	Odisha
GNU פרייע דאקומענטאציע ליצענץ	Licence de documentation libre GNU
זשאן קערי	John Kerry
טייוואן אינזל	Taïwan (île)
אנטיסעמיטיזם	Antisémitisme
נאפט	Pétrole
פרידריך שילער	Friedrich von Schiller
שיך	Chaussure
דאנאלד טראמפ	Donald Trump
באנק	Banque
מעץ	Metz
פרייהייט פון ווארט	Liberté d'expression
טעאריע:סעפטעמבער 11	Théories du complot à propos des attentats du 11 septembre 2001
באפעלקערונג ענגקייט	Densité de population
Russia Today	RT (chaîne de télévision)
אירלאנד (אינזל)	Irlande (île)
װיקיפּעדיע:בלעטער צו אויסמעקן	Wikipédia:Pages à supprimer
בראדפארד	Bradford
טשעשיר	Cheshire (comté)
קאמבריע	Cumbria
לאנקאשיר	Lancashire
נארטהאמבערלאנד	Northumberland (comté)
טיין און וויר	Tyne and Wear
קאנטי דארהאם	Durham (comté)
מערב יארקשיר	Yorkshire de l'Ouest
צפון יארקשיר	Yorkshire du Nord
מזרח ריידינג פון יארקשיר	Yorkshire de l'Est
לינקאנשיר	Lincolnshire
נאטינגהאמשיר	Nottinghamshire
דרום יארקשיר	Yorkshire du Sud
דארבישיר	Derbyshire
גרויס-מאנטשעסטער	Grand Manchester
מערזיסייד	Merseyside
שראפשיר	Shropshire
סטאפארדשיר	Staffordshire
לעסטערשיר	Leicestershire
ראטלאנד	Rutland
נארפאלק	Norfolk (comté)
סאפאלק	Suffolk
קעמברידזשיר	Cambridgeshire
לו קסון	Lu Xun (écrivain)
נארטהאמפטאנשיר	Northamptonshire
הערעפארדשיר	Herefordshire
וואוסטערשיר	Worcestershire
וואריקשיר	Warwickshire
בעדפארדשיר	Bedfordshire
קארנוואל	Cornouailles
בריסטאל	Bristol (Angleterre)
דעוון	Devon (comté)
דארסעט	Dorset (comté)
גלאסטערשיר	Gloucestershire
אקספארדשיר	Oxfordshire
10	10
ווילטשיר	Wiltshire
האמפשיר	Hampshire (comté)
בארקשיר	Berkshire
באקינגהאמשיר	Buckinghamshire
20	20
אמטראק	Amtrak
עסעקס	Essex (comté)
סארי	Surrey (comté)
מערב סאסעקס	Sussex de l'Ouest
מזרח סאסעקס	Sussex de l'Est
