Africa	Afrique
Cēmpōhualcaxtōlli	35 (nombre)
Nāuhpōhualcaxtōlonnāhui	99 (nombre)
Antonio de Mendoza	Antonio de Mendoza
Ātlitzintlah	Alvarado
Francisco (huēyi teōpixcātlahtoāni)	François (pape)
Amado Nervo	Amado Nervo
Āmatl	Papier d'amate
Joaquín Guzmán Loera	Joaquín Guzmán
Matt Helders	Matt Helders
Soraya Jiménez	Soraya Jiménez
Emilio Fernández	Emilio Fernández
Noah Gordon	Noah Gordon
Alex Kapranos	Alexander Kapranos
Chetumal	Chetumal
Volkswagen Polo II	Volkswagen Polo II
Juan Álvarez	Juan Álvarez
Carazo	Département de Carazo
Juventino Rosas	Juventino Rosas
Josefa Ortiz de Domínguez	Josefa Ortiz de Domínguez
Ferrari F40	Ferrari F40
Honda Accord VIII	Honda Accord
Tēcuāncōātl	Crotalus
Porsche 986 Boxster	Porsche Boxster
Tlamahtlācōnti 2005	Décembre 2005
Vânia Fernandes	Vânia Fernandes
Volkswagen Touran	Volkswagen Touran
Ātzompan	Monte Albán
María Félix	María Félix
Peugeot 407	Peugeot 407
Petén	Département du Petén
Tlanāuhti 2005	Avril 2005
Josefina Vázquez Mota	Josefina Vázquez Mota
Alamogordo	Alamogordo
Pedro Infante	Pedro Infante
Huancayo	Huancayo
Pāpalōcuahuitl	Orme d'Amérique
Ocotzocuahuitl	Liquidambar styraciflua
Ācoyōtl	Anhinga d'Amérique
Belle de jour	Belle de jour (film)
Julio César Chávez	Julio César Chávez
Paramore	Paramore
Juan	Juan
Xōchipal	Cosmos (plante)
Ehēcalquixohuayān Tan Son Nhat	Aéroport international de Tân Sơn Nhất
Depeche Mode	Depeche Mode
Yahualtzintli	Album (musique)
My Chemical Romance	My Chemical Romance
São Paulo Metro	Métro de São Paulo
Walmart	Walmart
The Cranberries	The Cranberries
Sigur Rós	Sigur Rós
Mr. Bean	Mr Bean
Keane	Keane (groupe)
The Cure	The Cure
Jared Leto	Jared Leto
Erasure	Erasure
Tarkan Tevetoğlu	Tarkan
Simple Plan	Simple Plan
Smells Like Teen Spirit	Smells Like Teen Spirit
San Bernardino, California	San Bernardino (États-Unis)
Tēucyōtl San Miguel (Yancuīc Mēxihco)	Comté de San Miguel (Nouveau-Mexique)
Tēucyōtl Valencia	Comté de Valencia
Monterey, California	Monterey (Californie)
Salinas, California	Salinas (Californie)
Tlamantli	Objet (philosophie)
Michel Teló	Michel Teló
The Verve	The Verve
Tēucyōtl Hidalgo (Yancuīc Mēxihco)	Comté de Hidalgo (Nouveau-Mexique)
Tēucyōtl Luna	Comté de Luna
Andahuaylas	Andahuaylas
Subcomandante Marcos	Sous-commandant Marcos
Ahtlatl	Propulseur
James Avery	James Avery (acteur)
.nl	.nl
Rainer Brüderle	Rainer Brüderle
Peugeot 308	Peugeot 308
Nissan Skyline GT-R R35	Nissan GT-R
The Time Machine (2002 īxiptlayōlli)	La Machine à explorer le temps (film, 2002)
The Sign of Four	Le Signe des quatre
Volkswagen Polo III	Volkswagen Polo III
Puntarenas (huēyāltepētl)	Puntarenas (province)
Cartago (huēyāltepētl)	Cartago (province)
Alajuela (huēyāltepētl)	Alajuela (province)
Heredia (huēyāltepētl)	Heredia (province)
Adela Noriega	Adela Noriega
Chris Pratt	Chris Pratt
Chīlchōtl	Piment jalapeño
Peugeot 607	Peugeot 607
Renault 5	Renault 5
Xomōtl	Sarcelle à ailes bleues
Āltepētepozmalacatl	Petite citadine
Renault Laguna III	Renault Laguna
Renault 21	Renault 21
Ayacucho	Ayacucho
Huanuco	Huánuco
Alta Verapaz	Département d'Alta Verapaz
Baja Verapaz	Département de Baja Verapaz
Huancavelica (tlālxeliuhcāyōtl)	Région de Huancavelica
Cuetzpalmichin	Lepisosteidae
Zacatepēc, Cuauhtēmallān	Département de Sacatepéquez
San Rafael, Veracruz	San Rafael (Veracruz)
Peugeot 202	Peugeot 202
Pozolli	Pozole
Xīcamatl	Pachyrhizus erosus
Chimbote	Chimbote
Patrícia Pillar	Patrícia Pillar
Jaguar XJ220	Jaguar XJ220
Tlālxeliuhcāyōtl Xālātēnanco	Département de Chalatenango
Carlos Monsiváis	Carlos Monsiváis
Nezahualpilli	Nezahualpilli
Kami	Kami (divinité)
Angelika Mlinar	Angelika Mlinar
Andrés Henestrosa	Andrés Henestrosa
Andrés Quintana Roo	Andrés Quintana Roo
Huēyizacatlān	San Cristóbal de Las Casas
Tabatinga	Tabatinga (homonymie)
Miguel Cabrera	Miguel Cabrera (peintre)
Yellow (cuīcatl)	Yellow (chanson)
Renault 18	Renault 18
Peugeot 302	Peugeot 302
Cuetlāchcoyōtl	Loup du Mexique
Teignmouth	Teignmouth
Renault Scénic	Renault Scénic
Efem Zimbalist, Jr.	Efrem Zimbalist II
Kaká	Kaká
Acambay Ruiz Castañeda	Acambay
Concepción de La Vega	Concepción de La Vega
Mastretta MXT	Mastretta MXT
Puerto Maldonado	Puerto Maldonado
Dolores O'Riordan	Dolores O'Riordan
Richard Hughes	Richard Hughes (musicien)
Mictlān	Mictlan
Cēmpōhualchiucnāhui	29 (nombre)
Peugeot 304	Peugeot 304
Anime necentlālīliztli	Convention d'anime
Tlāhuīlmecatl	Fil métallique
Novelas Ejemplares	Nouvelles exemplaires
Cē Ācatl Topīltzin Quetzalcōātl	Ce Acatl Topiltzin Quetzalcoatl
Fernando del Paso	Fernando del Paso
Juan Bustillo Oro	Juan Bustillo Oro
Carlos Núñez	Carlos Núñez
Ignacio Allende	Ignacio Allende
Ignacio Zaragoza	Ignacio Zaragoza
Xīpe-Totec	Xipe Totec
Franz Schönhuber	Franz Schönhuber
Joan Fuster	Joan Fuster
José Emilio Pacheco	José Emilio Pacheco
Azteca 13	Azteca 13
Tōllān Xīcohcotitlan	Tula
Arcady Boytler	Arcady Boytler
Tlachicuazti 2001	Juin 2001
Tlamācuīlti 2001	Mai 2001
Renault 14	Renault 14
Los Olvidados	Los Olvidados
Cuauhcoxolihtli	Grand Hocco
Ignacio Manuel Altamirano	Ignacio Manuel Altamirano
Tepēcempōhualxōchitl	Tagetes tenuifolia
Tlālxeliuhcāyōtl Āhuachāmpan	Département d'Ahuachapán
Newhaven, Sussex Tlāpcopa	Newhaven (Sussex de l'Est)
Mecano	Mecano
Renault Celtaquatre	Renault Celtaquatre
Amolpechtli	Porte-savon
Cuammantlah	Huamantla
Āmanacocheh	Petit Garrot
Renault 8	Renault 8 et 10
Acachatl	Crevette géante tigrée
Āxōlōmichin	Ictaluridae
Mātlālcuēyeh (tletepētl)	La Malinche (volcan)
Tezontzapotl	Sapote
Otlatl	Otatea
Mēxihcah in ōmpa Tlacetilīlli Tlahtohcāyōtl	Immigration mexicaine aux États-Unis
Īpān Asturias	Drapeau des Asturies
Cochotl	Amazone à front blanc
Maná	Maná
Champotón	Champotón
Renault 7	Renault 7
Hot Wheels	Hot Wheels
Osuna	Osuna
Tlālxeliuhcāyōtl León	Département de León
Dominic Howard	Dominic Howard
Cēmpōhualchicuēyi	28 (nombre)
São Paulo Metro - Pāntli 2	Ligne 2 du métro de São Paulo
Map of the Problematique	Map of the Problematique
Īxiptlayōlcāyōtl	Cinéma
Tlālxeliuhcāyōtl Santa Bárbara (Honduras)	Département de Santa Bárbara (Honduras)
Renault 12	Renault 12
2060	2060
Veraguas	Veraguas (province)
Edge of the Earth	Edge of the Earth
Peugeot 301	Peugeot 301 (1932)
Nāuhpōhualcaxtōlli	95 (nombre)
Cēmpōhualcaxtōlomēyi	38 (nombre)
Īpān Xālīxco	Drapeau de Jalisco
Guy Berryman	Guy Berryman
Itzcuāuhtli	Aigle orné
Āehēcamalacotl Félix	Ouragan Felix
Tlanāuhti 2004	Avril 2004
Yohuallān Independencia	Iguala
Tlamahtlācōnti 2000	Décembre 2000
Jorge Fons	Jorge Fons
Somebody Told Me	Somebody Told Me
Tlayēti 2004	Mars 2004
Āzcamōlli	Escamoles
Ātlatlālacatl	Anserinae
Tlanāuhti 1999	Avril 1999
Tlanāuhti 2000	Avril 2000
Tlanāuhti 2001	Avril 2001
Tlanāuhti 2002	Avril 2002
Tlanāuhti 2003	Avril 2003
Palos de la Frontera	Palos de la Frontera
Mīltomatl	Tomatille
Licaonia	Lycaonie
Tlālxeliuhcāyōtl Atlántida	Département d'Atlántida
Carmel	Carmel-by-the-Sea
Huēiyac chicāuhtlahtōl	Macron
Colón, Panama	Colón (ville du Panama)
Ōmpōhualmācuīlli	45 (nombre)
Mēxihco Tlahtohcātēīxiptla	Président du Mexique
Santo Domingo Tēcuāntepēc	Santo Domingo Tehuantepec
Ricardo Montaner	Ricardo Montaner
Chichtli	Chouette rayée
San Rafael, California	San Rafael (Californie)
Ehēcatōtolin	Grand Géocoucou
Peugeot 401	Peugeot 401
Neiva	Neiva
Cuīcatiani	Musicien
Epazōtl	Épazote
Atetepitztli	Dynastinae
Vybiti	Vybiti
Ejido, Venezuela	Ejido (Venezuela)
Limón (huēyāltepētl)	Limón (province)
Jimmy Eat World	Jimmy Eat World
Īpān Yancuīc Mēxihco	Drapeau du Nouveau-Mexique
Tonantzin Coromoto	Notre-Dame de Coromoto
Xōchimīlco	Xochimilco
Huitzitzilmichin	Orphie
Nissan Skyline GT-R R34	Nissan Skyline
Marías Tlālhuāctli	Îles Marías
Florence Cassez	Affaire Florence Cassez
Santa María, California	Santa Maria (Californie)
Citroën C4	Citroën C4
Tlālxeliuhcāyōtl Chināntēcapan	Département de Chinandega
Dodge Viper SRT-10 ZB	Dodge Viper
Tlapaltecacayahtli	Œillet d'Inde
Mātlālpāpalōtl	Morpho
Atapalcatl	Érismature rousse
San José (huēyāltepētl)	San José (province)
Tapachtli	Spondylus
Arthur Seyß-Inquart	Arthur Seyss-Inquart
Quetzalcuetzpalin	Basiliscus basiliscus
Neōlīniliztli Nehhuātl 132	Yo soy 132
Penonomé	Penonomé
Fernando de Fuentes	Fernando de Fuentes
Ocēlōpāpalōtl	Heliconius
Ensenada, Tlani California	Ensenada
Mamixtli	Robinet (plomberie)
Caratagena de Indias	Carthagène des Indes
From Yesterday	From Yesterday
Progreso, Yucatān	Progreso
The Hardest Part	The Hardest Part (chanson de Coldplay)
Coyōhuahcān	Coyoacán
Wieselburg	Wieselburg (Basse-Autriche)
Iztāccihuātl	Ixtaccíhuatl
Is It Any Wonder?	Is It Any Wonder?
Zacatōchin	Romerolagus diazi
2073	2073
Quiché, Cuauhtēmallān	Département du Quiché
Santa Ana (tlālxeliuhcāyōtl)	Département de Santa Ana
Chichicōātl	Spilotes pullatus
San Miguel, Cōzcatlān	San Miguel (Salvador)
Tlamācuīlti 2005	Mai 2005
Tlachicuazti 2005	Juin 2005
Juárez	Juárez
Nāuhpōhualcaxtōlomōme	97 (nombre)
Xināchtēcatl	Nevado de Toluca
Cerro de Pasco	Cerro de Pasco
Erlauf	Erlauf
Drew Barrymore	Drew Barrymore
Las Vegas, Yancuīc Mēxihco	Las Vegas (Nouveau-Mexique)
Machu Picchu	Machu Picchu
Francesco d'Assisi	François d'Assise
Renault Dauphine	Renault Dauphine
Puyo	Puyo (Équateur)
Solidaridad (āltepēcalpōlli)	Solidaridad (municipalité)
Ācachichictli	Grèbe élégant
Flores, Petén	Flores (Guatemala)
Cōcohtli	Colombe inca
Āltepētl Obregón	Ciudad Obregón
Partido Revolucionario Institucional	Parti révolutionnaire institutionnel
Ic cē mētztli īpan 2005	Janvier 2005
Chicalotl	Argémone mexicaine
Nāuhpōhualmahtlāctli onnāhui	94 (nombre)
Santiago Veraguas	Santiago de Veraguas
Darién	Darién (province)
Kanon und Gigue in D-Dur für drei Violinen und Basso Continuo	Canon de Pachelbel
Tlaxcallān Xīcohtēncatl	Tlaxcala
Cuauhnacaztli (huēyāltepētl)	Guanacaste (province)
Nāuhpōhualmahtlāctli oncē	91 (nombre)
Nextlālpan	Nextlalpan
2097	2097
Izabal	Département d'Izabal
Cuauhtēmallān (Tlālxeliuhcāyōtl)	Département de Guatemala
Āehēcamalacotl Dean	Ouragan Dean
Juliaca	Juliaca
Volkswagen Jetta	Volkswagen Jetta
Xālcanauhtli	Canard d'Amérique
De facto	De facto
Ichanehquiliz tlacatiyan	Liste des pays par population
Cēmpōhualoncē	21 (nombre)
Cēmpōhualomōme	22 (nombre)
Ōmpōhualoncē	41 (nombre)
Cēmpōhualmahtlāctli onnāhui	34 (nombre)
Cēmpōhualmahtlāctli omēyi	33 (nombre)
Ōmpōhualchicōme	47 (nombre)
Cēmpōhualmahtlāctli oncē	31 (nombre)
Cēmpōhualmahtlāctli omōme	32 (nombre)
Ōmpōhualonnāhui	44 (nombre)
Ōmpōhualchicuacē	46 (nombre)
Ōmpōhualchiucnāhui	49 (nombre)
Ōmpōhualchicuēyi	48 (nombre)
Cēmpōhualcaxtōlomōme	37 (nombre)
Cēmpōhualcaxtōlonnāhui	39 (nombre)
Cēmpōhualcaxtōloncē	36 (nombre)
Chris Martin	Chris Martin
Nāuhpōhualcaxtōlomēyi	98 (nombre)
Jenni Rivera	Jenni Rivera
Lista de Tēpouhtitlāzcuetzpalin	Liste de dinosaures non-aviens
Ichcatl	Gossypium
Sam’s Town	Sam's Town
Renault Twingo	Renault Twingo
Cōzahtli	Mustela frenata
Santa Tecla, Cōzcatlān	Santa Tecla (Salvador)
Citroën C3	Citroën C3
Mexcalli	Mezcal
Quetzalcōātl (yōlcatl)	Bothriechis aurifer
Renault 19	Renault 19
Tlālxeliuhcāyōtl Rivas	Département de Rivas
Īxmanquitlālli	Flatland
José Revueltas	José Revueltas
Ic cē mētztli īpan 2004	Janvier 2004
Ask	Ask (Hordaland)
BMW 3er-E21	BMW E21
Bugatti EB110	Bugatti EB110
Santiago Apóstol īteōpan (Tequixquiāc)	Église Saint-Jacques (Tequixquiac)
José Pablo Moncayo	José Pablo Moncayo
Ricardo Legorreta Vilchis	Ricardo Legorreta
Jô Soares	Jô Soares
José Guadalupe Posada	José Guadalupe Posada
Jorge Negrete	Jorge Negrete
Juan Camilo Mouriño	Juan Camilo Mouriño
Āltepētl Mēxihco Metro	Métro de Mexico
Kėdainiai	Kėdainiai
Cave	Cave (chanson)
Jorge Basadre	Jorge Basadre
Miguel Grau	Miguel Grau
Calanda	Calanda
Tlātlāuhqui	Vermillon (couleur)
Battle, Sussex Tlāpcopa	Battle (Angleterre)
Chiriquí	Chiriquí (province)
Santa Ana, Cōzcatlān	Santa Ana (Salvador)
Cōzcatlān, Cōlimān	Manzanillo (Mexique)
Francis Healy	Francis Healy
Metro Salto del Agua	Salto del Agua (métro de Mexico)
Alpine A110	Alpine A110
Patox	Canard domestique
Āteponaztli	Butor d'Amérique
Panoz	Panoz
Āltepēcalpōlli	Commune d'Italie
Tequitl (netlamachtilli)	Tribut
Ferrari F50	Ferrari F50
Ātīzapan Zaragoza	Atizapán de Zaragoza
Bender Bending Rodríguez	Bender Tordeur Rodríguez
Huilōtl	Tourterelle triste
Chināmitl	Chinampa
Tlaōnti 2005	Février 2005
Ford GT	Ford GT
Tōnalmachiyōtl	Calendrier aztèque
Tulcán	Tulcán
Calexico, California	Calexico (Californie)
Chiquimollān	Département de Chiquimula
Volkswagen Sharan	Volkswagen Sharan
San Miguel de Allende	San Miguel de Allende
Crimea	République autonome de Crimée
Āpipipitzcatl	Mouette de Franklin
Tezcatlīpoca	Tezcatlipoca
Tozan	Geomyidae
Chachapoyas	Chachapoyas (ville)
Audi A4	Audi A4
Audi R8	Audi R8 (voiture de route)
Acambay	Acambay de Ruiz Castañeda
Cempōhualxōchitl	Rose d'Inde
Īpān Andalucia	Drapeau de l'Andalousie
Āxōlōcōātl	Bipes biporus
Īpān Extremadura	Drapeau de l'Estrémadure
Chīmaltēnanco	Département de Chimaltenango
Okinawa, Xapon	Préfecture d'Okinawa
Partido de la Revolución Democrática	Parti de la révolution démocratique
Kukulkán	Kukulkan
Lambayeque	Lambayeque (ville)
Bragança	Bragance (Portugal)
Ixtehuilotl	Lentille optique
Ehēcalquixohuayān ītlālpancalactihuechiliz Da Nang	Aéroport international de Đà Nẵng
Huēyi teōcalli	Templo Mayor
Īpān Aragón	Drapeau de l'Aragon
Chīmalpahin Cuāuhtlehuanitzin	Chimalpahin Cuauhtlehuanitzin
Architecture & Morality	Architecture & Morality
Santa Elena (āltepēcalpōlli)	Santa Elena (Mexique)
Magdalena Contreras	Magdalena Contreras
Triquitlahtōlli	Langues triques
Viva Zapata!	Viva Zapata !
Zacāpan	Département de Zacapa
Tlachicōnti 2004	Juillet 2004
Muscle Museum	Muscle Museum
Inic Mācuīlli Tōnatiuh	Légende des soleils
Huaraz	Huaraz
Mēxihcatl tlahcuilōliztli	Écriture aztèque
Ēxcān Tlahtōlōyān	Triple alliance (Mésoamérique)
Mazāxococuahuitl	Prunier mombin
Instituto Nacional de Estadística y Geografía	Instituto Nacional de Estadística y Geografía
Xālāpan, Cuauhtēmallān	Département de Jalapa
Itzcuintlān	Département d'Escuintla
El Progreso	Département d'El Progreso
Xāltocān (āltepētl)	Xaltocan
Shiver	Shiver (chanson de Coldplay)
Tacaxtli	Souche
Cinocuilin	Helicoverpa zea
Shintō	Shintoïsme
Ōmpōhualomōme	42 (nombre)
Tepitōn tepozmalacatl	Citadine polyvalente
Irapuato	Irapuato
Electronica	Electronica
Jonny Buckland	Jon Buckland
Will Champion	Will Champion
Bernd Lucke	Bernd Lucke
Peugeot 405	Peugeot 405
Peugeot 605	Peugeot 605
Coclé	Coclé
Nāhuatlācah	Nahuas
Tumbes	Tumbes
Cōātlīcue	Coatlicue
Centzontlahtōleh	Moqueur polyglotte
Franz Ferdinand (LP)	Franz Ferdinand (album)
Cuāchichiquilzōlin	Colin de Californie
Bono	Bono
Medford, Oregon	Medford (Oregon)
Tilmahtli	Tilmatli
Your Song	Your Song (chanson d'Elton John)
Caterham	Caterham
Chīlācatl	Pasilla
Cacomiztli	Bassariscus sumichrasti
Ica	Ica
LP	Long play
Ford Ka	Ford Ka
Tehuahcān	Tehuacán
Āhuēhuētēnanco	Département de Huehuetenango
Do	Do (note de musique)
Copan	Département de Copán
Santiago Tequixquiāc	Santiago Tequixquiac
Tēcuāni tlācamāyeh	Ursus arctos nelsoni
Quetzaltenānco	Département de Quetzaltenango
2061	2061
Tlālnepantlah Baz	Tlalnepantla de Baz
Tequillān	Tequila (Jalisco)
Peugeot 104	Peugeot 104
Renault Espace IV	Renault Espace
Mägo de Oz	Mägo de Oz
Tlayēti 2005	Mars 2005
Partido Acción Nacional	Parti action nationale
Montería	Montería
Xincoyōtl	Phrynosomatidae
Copitl	Lampyre
Viridiana	Viridiana
Puerto Vallarta	Puerto Vallarta
Paquimeh, Chihuahhua	Paquimé
VietJet Air	VietJet Air
Tlālhuāctli Guadalupe	Île Guadalupe
Iponia	Hippone
Tētzacuīlli	Enclos
Chechelotl	Écureuil
Capricorn (A Brand New Name)	Capricorn (A Brand New Name)
Chīltōtōtl	Cardinalis
Mitsubishi Eclipse	Mitsubishi Eclipse
Chaplin	Chaplin (homonymie)
Ehēcalquixohuayān ītlālpancalactihuechiliz Āltepētl Mēxihco	Aéroport international de Mexico
Chīlpoctli	Chipotle
Bill Meléndez	Bill Meléndez
The Valley of Fear	La Vallée de la peur
Tlamahtlācōnti 2004	Décembre 2004
Tlālxeliuhcāyōtl La Paz (Honduras)	Département de La Paz (Honduras)
Tlālxeliuhcāyōtl Ocotepēc	Département d'Ocotepeque
Ōllālco	Département d'Olancho
Tlālxeliuhcāyōtl Valle	Département de Valle
Tlālxeliuhcāyōtl Gracias a Dios	Département de Gracias a Dios
Tlālxeliuhcāyōtl Colón	Département de Colón (Honduras)
Cabañas	Département de Francisco Morazán
Ciudad de la Costa	Ciudad de la Costa
Pemex	Pemex
Chicomecōātl	Chicomecoatl
Tlamahtlācti 2004	Octobre 2004
Hubert Farnsworth	Professeur Hubert Farnsworth
Calcactli	Chausson
Xōchitepēc, Cuauhtēmallān	Département de Suchitepéquez
San Marcos, Cuauhtēmallān	Département de San Marcos
Totōnicāpan	Département de Totonicapán
Santa Rosa, Cuauhtēmallān	Département de Santa Rosa
Retalhuleu	Département de Retalhuleu
Boca del Río	Boca del Río
Bocas del Toro	Bocas del Toro
2075	2075
2076	2076
2077	2077
2078	2078
2072	2072
2074	2074
2079	2079
2069	2069
2068	2068
2067	2067
2071	2071
2065	2065
2066	2066
2070	2070
Tlācah olōltzintli	Société anonyme avec appel public à l'épargne
Tlālxeliuhcāyōtl Cholōltēcac	Département de Choluteca
Ehēcalquixohuayān Ca Mau	Aéroport de Cà Mau
Córdoba	Córdoba
Tlahcotlālpan	Tlacotalpan
São Joaquim, Santa Catarina	São Joaquim
Copalli	Copal
Tlāltechalōtl	Écureuil terrestre du Mexique
Tlālxeliuhcāyōtl Cabañas	Département de Cabañas
-ll-	Ll (digramme)
Renault 4CV	Renault 4CV
Tzīncahcalaquiāliz	Plug anal
Ford Futura	Ford Fusion (Amérique du Nord)
Tlachicuazti 2002	Juin 2002
Peugeot 404	Peugeot 404
Toyota Corolla E110	Toyota Corolla E110
Day & Age	Day and Age
Cocollān (āltepēcalpōlli)	Cocula
Organisation	Organisation (album)
Oeiras	Oeiras
Caxtiltēcah in ōmpa Mēxihco	Immigration espagnole au Mexique
Peugeot 504	Peugeot 504
San Miguel Cozumel	San Miguel de Cozumel
Tlālxeliuhcāyōtl San Miguel	Département de San Miguel (Salvador)
Tlālxeliuhcāyōtl La Libertad (Cōzcatlān)	Département de La Libertad
Cuitlacochin (tōtōtl)	Moqueur à bec courbe
Mandi	Mandi
Jesús María (Aguascalientes īāltepēcalpōl)	Jesús María (Aguascalientes)
Haxuri	Chaschuri
Reconquista, Argentina	Reconquista (Santa Fe)
Mācuahuitl	Macuahuitl
Yakult	Yakult
Nissan Fairlady Z34	Nissan 370Z
Porsche 996 Carrera	Porsche 911 (996)
Samuel Ruiz García	Samuel Ruiz Garcia
Īpān Galicia	Drapeau de la Galice
Cuāuhtlah	Cuautla (Morelos)
Universidad de los Andes (Chile)	Université des Andes (Chili)
Tlachicuazti 2004	Juin 2004
Libertad, Uruguay	Libertad (Uruguay)
Zacualli tepozmalacatl	Automobile compacte
Tenexmichin	Pagrus pagrus
L'Âge d'Or	L'Âge d'or (film, 1930)
Wilamowice	Wilamowice
Michael (cuīcatl)	Michael
Zōyapanco	Soyapango
Orchestral Manoeuvres In The Dark	Orchestral Manoeuvres in the Dark
Dolores Hidalgo	Dolores Hidalgo
Champerico	Champerico
Āhuacatl	Avocat (fruit)
Iztāccuāuhtli	Buse blanche
San Francisco Gotera	San Francisco Gotera
El Santo	El Santo
2086	2086
2089	2089
2087	2087
2088	2088
2098	2098
2080	2080
2093	2093
2092	2092
2081	2081
2090	2090
2099	2099
2096	2096
2095	2095
Āzcacoyōtl	Fourmilier
2091	2091
2085	2085
2083	2083
2084	2084
2094	2094
2082	2082
Cataviña	Cataviña
Chināntēcapan	Chinandega
Francisco Blake Mora	Francisco Blake Mora
Jorge Chávez	Jorge Chávez Dartnell
Toquinho	Toquinho
Juan Aldama	Juan Aldama
Guadalupe, Arizona	Guadalupe (Arizona)
Guaymas	Guaymas
Clovis, Yancuīc Mēxihco	Clovis (Nouveau-Mexique)
Tucumcari	Tucumcari
Cuauhtechalōtl	Écureuil d'Abert
Huilōnco	Córdoba (Veracruz)
Playa del Carmen	Playa del Carmen
Sogamoso	Sogamoso
Nogales, Sonora	Nogales (Sonora)
Monclova	Monclova
Tlachco Alarcón	Taxco
Seixal	Seixal
Āltepētl Carmen	Ciudad del Carmen
Ahuilizāpan	Orizaba
Āzcapōtzalco	Azcapotzalco
San Luis Río Colorado	San Luis Río Colorado
Tlamācuīlti 2003	Mai 2003
Huancavelica	Huancavelica
Moquegua	Moquegua
Ifrane	Ifrane
Huacho	Huacho (ville)
Nexāpan	Nejapa
Durango, Colorado	Durango (Colorado)
Ostia	Ostie
Centzonātl	Sonsonate
Ocēlōtlān	Usulután
Mazāmictlān	Mazamitla
Izamal	Izamal
Cabo San Lucas	Cabo San Lucas
Tepoztlān	Tepoztlán
Creel	Creel
Otavalo	Otavalo
Rye, Sussex Tlāpcopa	Rye (Sussex)
Pátzcuaro	Pátzcuaro
Retalhuleu (āltepēcalpōlli)	Retalhuleu
Vrahovice	Vrahovice
Salamá	Salamá
San Marcos, San Marcos	San Marcos (Guatemala)
Valladolid, Yucatān	Valladolid (Yucatán)
Caifanes	Caifanes
Paita	Paita
Xīcohtēncac	Jinotega
Real de Catorce	Real de Catorce
Nehuelyōllōtilonih Miccatzintin Ilhuitl	Commémoration des fidèles défunts
Sincelejo	Sincelejo
2064	2064
2063	2063
2062	2062
Tom Chaplin	Tom Chaplin
Tim Rice-Oxley	Tim Rice-Oxley
Tlaōnti 2003	Février 2003
Teōcalli	Téocalli
Xihuiachyolli	Cellule végétale
Tlālxeliuhcāyōtl Oruro	Département d'Oruro
San Juan Chamollan	San Juan Chamula
Tlamācuīlti 2004	Mai 2004
Chapōlin	Chapulín
Chasing Cars	Chasing Cars
Chiyan	Chia
Ācxoyātōtōtl	Pic chevelu
Chīchīmēcah	Chichimèques
Tlaōnti 1999	Février 1999
Tlamahtlācōnti 2003	Décembre 2003
Tlachicuazti 1999	Juin 1999
Tlayēti 1999	Mars 1999
Porsche 993 Carrera	Porsche 911 (993)
Tlālhuāctli San Benedicto	Île San Benedicto
Él	Tourments (film, 1953)
Ic cē mētztli īpan 2003	Janvier 2003
Power ballad	Power ballad
Tlacōtl	Osier (matériau)
José Vasconcelos	José Vasconcelos
Centeōtl	Centeotl
El Cerrito, Valle del Cauca	El Cerrito (Colombie)
Zōlin	Colin arlequin
Āltepētl Guzman	Ciudad Guzmán
San Vicente, Cōzcatlān	San Vicente (Salvador)
Tlālhuāctli Clarión	Île Clarion
Zōyatl	Washingtonia robusta
Cacalōxōchitl	Plumeria rubra
Closer	Closer
Historia general de las cosas de Nueva España	Codex de Florence
Mendoza āmoxtli	Codex Mendoza
Nuttall āmoxtli	Codex Zouche-Nuttall
Columbus, Yancuīc Mēxihco	Columbus (Nouveau-Mexique)
San Benito, Petén	San Benito (Guatemala)
Tzompanco (āltepēcalpōlli)	Zumpango (municipalité)
Tlālxeliuhcāyōtl Ocēlōtlān	Département d'Usulután
Tlālxeliuhcāyōtl Morazán	Département de Morazán
Tlālxeliuhcāyōtl Yōllōtl	Département de Yoro
Ehēcatl (teōtl)	Ehecatl
Cascadia	Cascadie (mouvement d'indépendance)
Tlālxeliuhcāyōtl La Paz (Cōzcatlān)	Département de La Paz (Salvador)
Tlālxeliuhcāyōtl San Vicente	Département de San Vicente
Cuextēcah	Huaxtèques
Māxtlatl	Pagne
Iztapallohcān	Ixtapaluca
Tlālxeliuhcāyōtl Cōzcatlān	Département de Cuscatlán
Peugeot 403	Peugeot 403
Tlālxeliuhcāyōtl La Unión	Département de La Unión
Under the Iron Sea	Under the Iron Sea
Renault Avantime	Renault Avantime
Renault 11	Renault 9 et 11
With Or Without You	With or Without You
Renault Supercinq	Renault Supercinq
Renault Modus	Renault Modus
Otomih	Otomis
Peugeot 309	Peugeot 309
Tzahtzapalin	Gerreidae
Peugeot 203	Peugeot 203
Metro Garibaldi	Garibaldi-Lagunilla (métro de Mexico)
Tamalli	Tamal
José María Bocanegra	José María Bocanegra
Tlayēti 2003	Mars 2003
Tlachicōnti 2003	Juillet 2003
Tlachicuazti 2003	Juin 2003
Tlamahtlācti 2003	Octobre 2003
Dakimakura	Dakimakura
Huitzolmeh	Huichols
Cuapatlānqueh inmācēhualiztli	Danse du volador
The Dead Zone (tētōcāīxiptlayōlli)	Dead Zone (série télévisée)
Make Poverty History	Make Poverty History
Δ	Delta (homonymie)
Mariachi Vargas ītech Tecāllitlān	Les Mariachis Vargas
Mācēhualli	Humilité
Pīpillahtōlli	Pipil
