Afrika	Afrique
Kompas	Boussole
Genus	Genre (biologie)
Rudyard Kipling	Rudyard Kipling
Fuxin	Fuxin
Somaliland	Somaliland
Skiereiland	Péninsule
Lys van landskakelkodes	Liste des indicatifs téléphoniques internationaux par indicatif
X-strale	Rayon X
Xinjiang	Xinjiang
Albuquerque, Nieu-Meksiko	Albuquerque
Nuwejaarsdag	Jour de l'an
Santo Domingo	Saint-Domingue (ville)
Tequixquiac	Tequixquiac
Ulysses S. Grant	Ulysses S. Grant
Elizabeth Taylor	Elizabeth Taylor
Oklahoma City	Oklahoma City
Age of Empires III	Age of Empires III
Provinsie	Province
Papaja	Papayer
375	375
Driedimensioneel	Trois dimensions
Brisbane	Brisbane
Ptolemaeus	Claude Ptolémée
F-14 Tomcat	Grumman F-14 Tomcat
Benjamin Franklin	Benjamin Franklin
Isaac Asimov	Isaac Asimov
Trinidad, Bolivia	Trinidad (Bolivie)
Torah	Torah
See van Azof	Mer d'Azov
Tarija	Tarija
Oosters-Ortodokse Kerk	Église orthodoxe
William McKinley	William McKinley
Potosí	Potosí
Cyprinidae	Cyprinidae
Poskantoor	Bureau de poste
Agatha Christie	Agatha Christie
Lys van Presidente van die Verenigde State	Liste des présidents des États-Unis
Bontpalings	Muraenidae
Suid-Georgië en die Suidelike Sandwicheilande	Géorgie du Sud-et-les Îles Sandwich du Sud
Lys van hoofstede	Liste des capitales du monde
Spreekwoord	Proverbe
Noemi	Noemi (chanteuse)
Webwerf	Site web
Catalão	Catalão
Predikaatlogika	Calcul des prédicats
Wilhelm Röntgen	Wilhelm Röntgen
Odussee	Odyssée
Grover Cleveland	Grover Cleveland
Koeweit (stad)	Koweït (ville)
Anglo-Normandies	Anglo-normand (langue)
Ido	Ido
Satan	Satan
Herbert Hoover	Herbert Hoover
Etimologie	Étymologie
Oruro	Oruro
Poema	Puma
44 v.C.	44 av. J.-C.
Jehovah se Getuies	Témoins de Jéhovah
Metafisika	Métaphysique
Warren G. Harding	Warren Gamaliel Harding
387	387
Nikita Chroesjtsjof	Nikita Khrouchtchev
Arabiere	Arabes
Brad Pitt	Brad Pitt
Titicacameer	Lac Titicaca
Eblaïties	Éblaïte
Sumeriese beskawing	Sumer
Auvergnat	Auvergnat
See van Marmara	Mer de Marmara
Colombo	Colombo
Fonetiek	Phonétique
Familie (biologie)	Famille (biologie)
Elamities	Élamite
Venster	Fenêtre
Medina	Médine
Almati	Almaty
Chester A. Arthur	Chester Alan Arthur
Ou Kerkslawies	Vieux-slave
Afrodite	Aphrodite
Oudnoors	Vieux norrois
Akkadies	Akkadien
Withuis	Maison-Blanche
Dalmaties	Dalmate
Polisie	Police (institution)
Wallis en Futuna	Wallis-et-Futuna
UEFA	Union des associations européennes de football
Hokkaido	Hokkaidō
250 v.C.	250 av. J.-C.
Tigrisrivier	Tigre (fleuve)
Oeralgebergte	Oural
Arthur Conan Doyle	Arthur Conan Doyle
Noord-Ndebele	Sindebele
Gemmer	Gingembre
Nobelprys vir Vrede	Prix Nobel de la paix
William Howard Taft	William Howard Taft
Deelstate van die Verenigde State van Amerika	États des États-Unis
Gletser	Glacier
Ge'ez	Guèze
Faliskies	Falisque
Pitcairneilande	Îles Pitcairn
Benjamin Harrison	Benjamin Harrison
Rutherford B. Hayes	Rutherford Birchard Hayes
Jaguar	Jaguar
Suid-Australië	Australie-Méridionale
Goties	Gotique
Gaskons	Gascon
Canis Major-dwergsterrestelsel	Galaxie naine du Grand Chien
Hercules-dwergsterrestelsel	Hercule (galaxie naine)
Materie	Matière
Kombuis-Duits	Küchendeutsch
Essay	Essai
Osaka	Osaka
Safari (webblaaier)	Safari (logiciel)
Boise	Boise
Leo II-dwergsterrestelsel	Leo II
Al Bayda	El Beïda (Libye)
Universiteit van Cambridge	Université de Cambridge
Leo I-dwergsterrestelsel	Leo I
Zoroaster	Zoroastre
Fornax-dwergsterrestelsel	Galaxie naine du Fourneau
Carina-dwergsterrestelsel	Galaxie naine de la Carène
Nies	Éternuement
Idiom Neutral	Idiom Neutral
Interlingue	Occidental (langue)
Hektaar	Hectare
Kabilies	Kabyle
Koers	Curonien
Inflasie	Inflation
Asma	Asthme
Boot	Bateau
Massa-energieverband	E=mc2
Guaraní	Guarani (langue)
Aralmeer	Mer d'Aral
Emmy Rossum	Emmy Rossum
Kongo	Congo
SC Corinthians Paulista	Sport Club Corinthians Paulista
Interlingua	Interlingua (IALA)
Amorities	Amorrite
Polinesië	Polynésie
Bosporus	Bosphore
Kelte	Celtes
Estetika	Esthétique
Leponties	Lépontique
Mazda	Mazda (automobiles)
Izmir	Izmir
Kokoseilande	Îles Cocos
Mercedes-Benz	Mercedes-Benz
Hồ Chí Minh	Hô Chi Minh
Calvin Coolidge	Calvin Coolidge
Lwif	Lviv
Queensland	Queensland
Minneapolis	Minneapolis
Charles Bronson	Charles Bronson
Muhammad Ali	Mohamed Ali (boxe anglaise)
Maithili	Maïthili
Borneo	Bornéo
Straat van Gibraltar	Détroit de Gibraltar
Komi	Komi (langue)
Beyoncé Knowles	Beyoncé
Kopties	Copte
Bridgetown	Bridgetown
Skrywer	Écrivain
Bram Stoker	Bram Stoker
Ladino	Judéo-espagnol
Siligo	Siligo
Ladinies	Ladin
Puerto Montt	Puerto Montt
Mark Zuckerberg	Mark Zuckerberg
Brega	Marsa El Brega
Voornaamwoord	Pronom
Václav Havel	Václav Havel
Malayalam	Malayalam
Klinker	Voyelle
Lengte	Longueur
Eenheidsvektor	Vecteur unitaire
Apia	Apia
St. John's, Antigua en Barbuda	Saint John's
Brigitte Bardot	Brigitte Bardot
Roseau	Roseau (Dominique)
Syroete	Route de la soie
Thales van Milete	Thalès
Calgary	Calgary
Jane Austen	Jane Austen
Giordano Bruno	Giordano Bruno
Hammoerabi	Hammurabi
Koerdies	Kurde
Taekwondo	Taekwondo
Aanhalings van Voorsitter Mao Zedong	Petit Livre rouge
Rot	Rattus
Aberdeen, Skotland	Aberdeen
Neolitikum	Néolithique
Porto	Porto
Katharina II van Rusland	Catherine II
Maori (taal)	Maori de Nouvelle-Zélande
Narita Internasionale Lughawe	Aéroport international de Narita
Hannibal	Hannibal Barca
Sir Seewoosagur Ramgoolam Internasionale Lughawe	Aéroport international Sir-Seewoosagur-Ramgoolam
Meel	Farine
The Lion King	Le Roi lion
Voegwoord	Conjonction de coordination
Guglielmo Marconi	Guglielmo Marconi
Ioon	Ion
Port Moresby	Port Moresby
Karaj	Karaj
.ru	.ru
.ad	.ad
Savanne-olifant	Éléphant de savane d'Afrique
Vladimir Nabokov	Vladimir Nabokov
Den Haag	La Haye
Orde (biologie)	Ordre (biologie)
Gorilla	Gorille
Tycho Brahe	Tycho Brahe
Prostitusie	Prostitution
Binomiale naam	Nom binominal
Beeldende kunste	Arts visuels
Oskies	Osque
Henrik Ibsen	Henrik Ibsen
Somertyd	Heure d'été
Wesoewer	Cisjordanie
Victoria (Australië)	Victoria (État)
Zhuang	Zhuang (ethnie)
Joego-Slawië	Yougoslavie
Norn	Norne (langue)
Koninkryk (biologie)	Règne (biologie)
Novial	Novial
Aung San Suu Kyi	Aung San Suu Kyi
Polabies	Polabe
Ponties	Grec pontique
Sinai	Sinaï
Dawid IV van Georgië	David IV de Géorgie
Evangelie volgens Johannes	Évangile selon Jean
Robert Pattinson	Robert Pattinson
Frans-Vlaandere	Flandre française
Taiwannees	Taïwanais
Franse geweste	Région (France)
Suid-Ndebele	Nrebele
Deur	Porte (architecture)
Arancón	Arancón
Vierhoek	Quadrilatère
Prins William, Hertog van Cambridge	William de Cambridge
Tokelau	Tokelau
Komponis	Compositeur
Vandaals	Vandale (langue)
Rihanna	Rihanna
Varkgriep	Grippe porcine
Moedertaal	Langue maternelle
Oegarities	Ougaritique
Osoon	Ozone
Salvador da Bahia	Salvador (Bahia)
Robert de Niro	Robert De Niro
Melaatsheid	Lèpre
Umbries	Ombrien
Jag	Chasse
Volapük	Volapük
Toshiro Mifune	Toshirō Mifune
Keltiberies	Celtibère
Rauma	Rauma (Finlande)
Serwië en Montenegro	Serbie-et-Monténégro
Togaars	Langues tokhariennes
Thomas Mann	Thomas Mann
W3C	World Wide Web Consortium
Tallahassee	Tallahassee
Onafhanklikheid	Indépendance (politique)
Alexander Fleming	Alexander Fleming
Bismarck	Bismarck (Dakota du Nord)
Romantiek	Romantisme
Popmusiek	Pop (musique)
Spyker	Clou
Olyf	Olivier
Salomo	Salomon (Bible)
Kerk van Satan	Église de Satan
Yahoo!	Yahoo!
30 Februarie	30 février
Auckland	Auckland
Florence Nightingale	Florence Nightingale
Farao	Pharaon
AK-47	AK-47
331	331
Athena	Athéna
Metaan	Méthane
Marioepol	Marioupol
365	365
Groep van Agt	Groupe des sept (économie)
Avokado	Avocatier
379	379
IBM	International Business Machines
Starbucks	Starbucks
David Hume	David Hume
.fi	.fi
Golf (fisika)	Onde
Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva
Rooibloedsel	Érythrocyte
Robert Koch	Robert Koch
Groot Piramide van Giza	Pyramide de Khéops
Diameter	Diamètre
Central Intelligence Agency	Central Intelligence Agency
.ae	.ae
.am	.am
.de	.de
Skryfkuns	Écriture
.fr	.fr
Pous Johannes Paulus I	Jean-Paul Ier
FIFA Sokker-Wêreldbekertoernooi in 2006	Coupe du monde de football de 2006
Gallo	Gallo
Heilige Gees	Saint-Esprit
Internet-rolprentdatabasis	Internet Movie Database
Cleveland, Ohio	Cleveland
Lublin	Lublin
Apollo	Apollon
John Michael Talbot	John Michael Talbot
Akrotiri en Dhekelië	Akrotiri et Dhekelia
Klaus Ebner	Klaus Ebner
Arara	Arara
Grondboontjie	Arachide
Melanesië	Mélanésie
Naypyidaw	Naypyidaw
Globale stratotipepunt	Point stratotypique mondial
.af	.af
.au	.au
Knie	Genou
ISO 4217	ISO 4217
Sinsbou	Syntaxe
Poskode	Code postal
Appelkoos	Abricotier
Nicole Kidman	Nicole Kidman
Epos	Épopée
Ioniese See	Mer Ionienne
Klas (biologie)	Classe (biologie)
Glukose	Glucose
.cz	.cz
.ag	.ag
Astrofisika	Astrophysique
Vulgêrlatyn	Latin vulgaire
Donatello	Donatello
Johannes Calvyn	Jean Calvin
Kegonwaterval	Chutes de Kegon
Valentynsdag	Saint-Valentin
Boerboel	Boerboel
Willem I van Engeland	Guillaume le Conquérant
Hael	Grêle
David Ben-Gurion	David Ben Gourion
Luciano Pavarotti	Luciano Pavarotti
Schelde	Escaut
Thomas Hobbes	Thomas Hobbes
Mila Kunis	Mila Kunis
Australiese herdershond	Berger australien
43 v.C.	43 av. J.-C.
Golfoorlog	Guerre du Golfe
Mark (ekonomie)	Marché
Suid-Sjinese See	Mer de Chine méridionale
Campora San Giovanni	Campora San Giovanni
Verkleurmannetjie	Chamaeleonidae
Bloemfontein	Bloemfontein
.at	.at
Oethman	Othmân ibn Affân
Feodalisme	Féodalité
Chromosoom	Chromosome
Legering	Alliage
T. S. Eliot	T. S. Eliot
Besançon	Besançon
Sint-Truiden	Saint-Trond
Bălţi	Bălți
Port Vila	Port-Vila
Ekostelsel	Écosystème
Auckland Grammar School	Auckland Grammar School
Milwaukee	Milwaukee
Altaïese tale	Langues altaïques
Barok	Baroque
.us	.us
Alg	Algue
.es	.es
.gr	.gr
Seestraat	Détroit
.pl	.pl
.uk	.uk
Nobelprys vir Letterkunde	Prix Nobel de littérature
Posseël	Timbre postal
Patats	Patate douce
Masiela Lusha	Masiela Lusha
Sapporo	Sapporo
Geelsee	Mer Jaune
Gregor Mendel	Gregor Mendel
Akihito	Akihito
Karinthië	Carinthie (Land)
Yangon	Rangoun
63 v.C.	63 av. J.-C.
Hera	Héra
St. Louis	Saint-Louis (Missouri)
Konsonant	Consonne
Gallië	Gaule
Eksistensialisme	Existentialisme
Nasionale Dag van Switserland	Fête nationale suisse
Paraíba	Paraíba
Galápagos-eilande	Îles Galápagos
Leonardo DiCaprio	Leonardo DiCaprio
Daniel Radcliffe	Daniel Radcliffe
Volkebond	Société des Nations
Samoerai	Samouraï
31 v.C.	31 av. J.-C.
Arthur Schopenhauer	Arthur Schopenhauer
Helen Keller	Helen Keller
George Lucas	George Lucas
Nagasaki	Nagasaki
Eintracht Frankfurt	Eintracht Francfort
Enya	Enya
Britse Eilande	Îles Britanniques
Duitse Herdershond	Berger allemand
Jokohama	Yokohama
.al	.al
.ar	.ar
Morfologie (linguistiek)	Morphologie (linguistique)
Phylum	Embranchement (biologie)
Hendrik VIII van Engeland	Henri VIII
Angers	Angers
Outisme	Autisme
.az	.az
Diesel	Gazole
Newton se bewegingswette	Lois du mouvement de Newton
Columbia	Columbia (Caroline du Sud)
Xena: Warrior Princess	Xena, la guerrière
Turku	Turku
Miljoen	Million
Adana	Adana
Santa Fe, Nieu-Meksiko	Santa Fe (Nouveau-Mexique)
São Paulo Futebol Clube	São Paulo Futebol Clube
Dingo	Dingo (chien sauvage)
Devanagari	Devanagari
Waatlemoen	Pastèque
Fort van Petrus en Paulus	Forteresse Pierre-et-Paul
Golf van Bengale	Golfe du Bengale
Kookkuns	Cuisson des aliments
Windmeul	Moulin à vent
Labrador Retriever	Labrador retriever
Helena, Montana	Helena (Montana)
Richterskaal	Magnitude d'un séisme
Carnaby Street	Carnaby Street
Universiteit van die Bio-Bio	Université du Bío-Bío
Suva	Suva
Ruhollah Khomeini	Rouhollah Khomeini
Nukuʻalofa	Nukuʻalofa
Heavy metal	Heavy metal (musique)
Laser	Laser
Pruise	Prusse
Tirreense See	Mer Tyrrhénienne
Kuiper	Tonnelier
Olimpia	Olympie
Aswandam	Haut barrage d'Assouan
.cn	.cn
Thamaga	Thamaga
.ee	.ee
Romeinse syfers	Numération romaine
Nuus	Actualité
Maoming	Maoming
Koors	Fièvre
4 v.C.	4 av. J.-C.
Teide	Teide
Liuzhou	Liuzhou
Vorarlberg	Vorarlberg
Menslike ontwikkelingsindeks	Indice de développement humain
.ao	.ao
Skiepertjie	Schipperke
Keiser	Empereur
.bg	.bg
Cheyenne	Cheyenne (Wyoming)
Skewe Toring van Pisa	Tour de Pise
Noordelike Halfrond	Hémisphère nord
100 v.C.	100 av. J.-C.
Minas Gerais	Minas Gerais
Leeds	Leeds
.jp	.jp
.bd	.bd
.it	.it
Oopbronkode	Open source
8 v.C.	8 av. J.-C.
Port of Spain	Port-d'Espagne
Boheme	Bohême
.in	.in
Foksterriër	Fox-terrier
Hondsdolheid	Rage (maladie)
Foedji	Mont Fuji
Richard Feynman	Richard Feynman
Vlieënde Hollander	Hollandais volant
Recep Tayyip Erdoğan	Recep Tayyip Erdoğan
Muis	Mus (genre)
Volume	Volume
Oranje (kleur)	Orange (couleur)
Spesievorming	Spéciation
Hertz	Hertz
.ie	.ie
Sotsji	Sotchi
Anchorage	Anchorage
Pol Pot	Pol Pot
Artemis	Artémis
.dk	.dk
Pará	Pará
Gamal Abdel Nasser	Gamal Abdel Nasser
.bb	.bb
Druk	Pression
Petrol	Essence (hydrocarbure)
Michael Phelps	Michael Phelps
Mitochondrium	Mitochondrie
Ptolemeus II Philadelphus	Ptolémée II
.ca	.ca
Birkirkara	Birkirkara
Ptolemeus IV Philopator	Ptolémée IV
Christiaan Huygens	Christian Huygens
Ptolemeus III Euergetes	Ptolémée III
Antoine Lavoisier	Antoine Lavoisier
Begraafplaas	Cimetière
Ali	Ali ibn Abi Talib
Nicolas Appert	Nicolas Appert
Semantiek	Sémantique
Eyjafjallajökull	Eyjafjallajökull
Kadima	Kadima
.co	.co
.ba	.ba
Stonehenge	Stonehenge
.ch	.ch
Makro-ekonomie	Macroéconomie
USA Today	USA Today
14 v.C.	14 av. J.-C.
Alchemie	Alchimie
27 v.C.	27 av. J.-C.
Masedonië (dubbelsinnig)	Macedonia
Des Moines	Des Moines (Iowa)
Vuurtoring	Phare
Baltiese lande	Pays baltes
Aconcagua	Aconcagua
Gasastrook	Bande de Gaza
.be	.be
19 v.C.	19 av. J.-C.
Insulien	Insuline
Bemarking	Marketing
3 v.C.	3 av. J.-C.
Sensus	Recensement de la population
Stephen King	Stephen King
Mikro-organisme	Micro-organisme
Radio Studio 54 Network	Radio Studio 54 Network
Ágreda	Ágreda
Swael	Hirundinidae
Pinkster	Pentecôte
.by	.by
.fj	.fj
.cl	.cl
.br	.br
.is	.is
NSU Motorenwerke AG	NSU Motorenwerke AG
.lt	.lt
.bz	.bz
.cg	.cg
Amandel	Amandier
Evangelie volgens Lukas	Évangile selon Luc
Ptolemeus V Epiphanes	Ptolémée V
.pt	.pt
58 v.C.	58 av. J.-C.
Gela	Gela
Cannes	Cannes
.bh	.bh
.bt	.bt
Sonenergie	Énergie solaire
52 v.C.	52 av. J.-C.
North American T-6 Texan	North American T-6 Texan
Rio Grande do Sul	Rio Grande do Sul
Amazonas (Brasilië)	Amazonas (Brésil)
Drank	Boisson
Rekenaarprogram	Programme informatique
Jordaanrivier	Jourdain
6 v.C.	6 av. J.-C.
Strand	Plage
Baksteen	Brique (matériau)
Ajaccio	Ajaccio
Ellips	Ellipse (mathématiques)
Ceará	Ceará
Amapá	Amapá
59 v.C.	59 av. J.-C.
Slag van Coronel	Bataille de Coronel
57 v.C.	57 av. J.-C.
Seekat	Octopoda
Lawa	Lave
Hefboom	Levier (mécanique)
Neanderdaller	Homme de Néandertal
Suurreën	Pluie acide
Hobart	Hobart
William Butler Yeats	William Butler Yeats
Ruimtetuig	Véhicule spatial
Carl Benz	Carl Benz
Verkiesing	Élection
Manaus	Manaus
UEFA Bekerwenner-beker	Coupe d'Europe des vainqueurs de coupe de football
Maraton	Marathon (sport)
Selkern	Noyau (biologie)
Porto Alegre	Porto Alegre
Nieu-Guinee	Nouvelle-Guinée
Handelinge	Actes des Apôtres
Goeie Vrydag	Vendredi saint
.md	.md
.ci	.ci
.an	.an
Tronk	Prison
Arabiese Demokratiese Republiek Sahara	République arabe sahraouie démocratique
.et	.et
.tv	.tv
.eg	.eg
5 v.C.	5 av. J.-C.
Supermassiewe swartkolk	Trou noir supermassif
Weefsel	Tissu biologique
23 v.C.	23 av. J.-C.
Impressionisme	Impressionnisme
.fm	.fm
Bahia	Bahia
Buffalo, New York	Buffalo (New York)
.se	.se
.ax	.ax
.cy	.cy
.il	.il
Slawiërs	Slaves
Lys van pouse	Liste des papes
.bo	.bo
.bs	.bs
John Wayne	John Wayne
Diereriem	Zodiaque
Brusimpiano	Brusimpiano
Horing van Afrika	Corne de l'Afrique
Heath Ledger	Heath Ledger
Lisa Gerrard	Lisa Gerrard
30 Seconds to Mars	Thirty Seconds to Mars
Kommunistiese Manifes	Manifeste du Parti communiste
Groot Hadronversneller	Large Hadron Collider
Aurora (astronomie)	Aurore polaire
Spoetnik 7	Spoutnik 7
Fossiel	Fossile
.kz	.kz
Ankilosourus	Ankylosaurus
.hu	.hu
Takloban	Tacloban
Myspace	Myspace
Filologie	Philologie
Sjitomir-oblast	Oblast de Jytomyr
Ray Bradbury	Ray Bradbury
Cristina Fernández de Kirchner	Cristina Fernández de Kirchner
.ua	.ua
.cd	.cd
.ge	.ge
.ai	.ai
.cm	.cm
Paulínia	Paulinia
Dilma Rousseff	Dilma Rousseff
Demeter	Déméter
Le Monde se 100 boeke van die eeu	Les cent livres du siècle
Bursa	Bursa
Pierre	Pierre (Dakota du Sud)
Albertosaurus	Albertosaurus
Gorgosaurus	Gorgosaurus
Damavand	Mont Damavand
Saad	Graine
65 v.C.	65 av. J.-C.
Acre (staat)	Acre (Brésil)
Nikolaas II van Rusland	Nicolas II
God Save the Queen	God Save the Queen
Soechoemi	Soukhoumi
Benghazi	Benghazi
Knut Hamsun	Knut Hamsun
Komedie	Comédie
29 v.C.	29 av. J.-C.
Tampere	Tampere
Breda	Bréda
Tenerife	Tenerife
Skêr	Paire de ciseaux
Edward Jenner	Edward Jenner
Dnjepr	Dniepr
Aardgas	Gaz naturel
Oort-wolk	Nuage d'Oort
90 v.C.	90 av. J.-C.
Doris Lessing	Doris Lessing
Diarree	Diarrhée
Carson City	Carson City
Alagoas	Alagoas
Andaman- en Nicobar-eilande	Îles Andaman-et-Nicobar
Anna Maria Jopek	Anna Maria Jopek
Nancy	Nancy
Ares	Arès
Virginia Woolf	Virginia Woolf
Frank Sinatra	Frank Sinatra
7 v.C.	7 av. J.-C.
9 v.C.	9 av. J.-C.
Honiara	Honiara
Urine	Urine
Nefertiti	Néfertiti
Eva Perón	Eva Perón
PH	Potentiel hydrogène
Aischylos	Eschyle
Pernambuco	Pernambouc (État)
Daniel Defoe	Daniel Defoe
Amerikaanse Rewolusionêre Oorlog	Guerre d'indépendance des États-Unis
Anhui	Anhui
Internasionale Olimpiese Komitee	Comité international olympique
.cr	.cr
.mx	.mx
.bw	.bw
Porsche	Porsche
Fonologie	Phonologie
.do	.do
.cu	.cu
.hr	.hr
.dj	.dj
.aq	.aq
.er	.er
.cv	.cv
.hn	.hn
.bm	.bm
.dm	.dm
.lk	.lk
.dz	.dz
.kh	.kh
Orang-oetang	Orang-outan
Hezbollah	Hezbollah
Epimetheus	Épiméthée
Topeka	Topeka
.no	.no
Psalms	Livre des Psaumes
Avenida Paulista	Avenue Paulista
Ram Narayan	Ram Narayan
Burgerlike verbintenis	Partenariat enregistré
Mariah Carey	Mariah Carey
Binne-Mongolië	Mongolie-Intérieure
Sifilis	Syphilis
Raleigh	Raleigh
.gg	.gg
.bj	.bj
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
Skisofrenie	Schizophrénie
.ec	.ec
Santa Catarina	Santa Catarina
Rooiplein	Place Rouge
Kim Il-sung	Kim Il-sung
Poseidon	Poséidon
48 v.C.	48 av. J.-C.
26 v.C.	26 av. J.-C.
70 v.C.	70 av. J.-C.
Jakobsweg	Pèlerinage de Saint-Jacques-de-Compostelle
11 v.C.	11 av. J.-C.
Cortina d'Ampezzo	Cortina d'Ampezzo
Republieke van Rusland	Républiques de Russie
Werkloosheid	Chômage
Demi Lovato	Demi Lovato
Gebou	Bâtiment (construction)
Haile Selassie	Haïlé Sélassié Ier
Mekong	Mékong
Marseillaise	La Marseillaise
Aleppo	Alep
Caen	Caen
.cf	.cf
.bf	.bf
.bn	.bn
San Juan	San Juan (Porto Rico)
Meganika	Mécanique (science)
Boris Pasternak	Boris Pasternak
Suidelike Halfrond	Hémisphère sud
69 v.C.	69 av. J.-C.
16 v.C.	16 av. J.-C.
13 v.C.	13 av. J.-C.
Opera (webblaaier)	Opera
Bydgoszcz	Bydgoszcz
Grammy	Grammy Awards
Heinrich Hertz	Heinrich Rudolf Hertz
Nottingham	Nottingham
Begroting	Budget
Momentum	Quantité de mouvement
Ulsan	Ulsan
Gwangju	Gwangju
Vuurpyl	Fusée (astronautique)
Basseterre	Basseterre
Tydskrif	Magazine
Kwadratiese vergelyking	Équation du second degré
Orde van die Tempeliers	Ordre du Temple
Epiteelweefsel	Épithélium
Republiek van Weimar	République de Weimar
Bobby Fischer	Bobby Fischer
Torpediniformes	Torpediniformes
.mk	.mk
Edward de Bono	Edward de Bono
Amerikaanse voetbal	Football américain
Lys van dorpe en stede in Oostenryk	Villes d'Autriche
17 v.C.	17 av. J.-C.
Linz	Linz (Autriche)
Pomelo	Citrus ×paradisi
Jodie Foster	Jodie Foster
Asyn	Vinaigre
Stiermarke	Styrie (Land)
24 v.C.	24 av. J.-C.
Volksmoord	Génocide
Teletubbies	Les Télétubbies
Edvard Munch	Edvard Munch
Hades	Hadès
Hestia	Hestia
BV Borussia Dortmund	BV 09 Borussia Dortmund
Ballet	Ballet
Rio de Janeiro (deelstaat)	État de Rio de Janeiro
Golf van Guinee	Golfe de Guinée
Gemenebes	Commonwealth (homonymie)
.sa	.sa
.gd	.gd
.ma	.ma
.aw	.aw
.fo	.fo
.gy	.gy
.gw	.gw
.gl	.gl
.gq	.gq
Yshokkie	Hockey sur glace
Koerdistan	Kurdistan
Mohs se hardheidskaal	Échelle de Mohs
Kingstown	Kingstown
Hermes	Hermès
Levitikus	Lévitique
Henryk Sienkiewicz	Henryk Sienkiewicz
Lukwart	Eriobotrya japonica
Groen Berge	Montagnes Vertes
Ludwig Mies van der Rohe	Ludwig Mies van der Rohe
William Blake	William Blake
Mstislaf I van Kiëf	Mstislav Ier
Wimbledon-kampioenskap	Tournoi de Wimbledon
Plutarchus	Plutarque
60 v.C.	60 av. J.-C.
.sk	.sk
BIND	BIND
St. George’s, Grenada	Saint-Georges (Grenade)
OESO	Organisation de coopération et de développement économiques
Pyp (materiaal)	Tuyau
Kweekhuiseffek	Effet de serre
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Michel de Montaigne	Michel de Montaigne
Golf van Biskaje	Golfe de Gascogne
Kokaïen	Cocaïne
Vurkhyser	Chariot élévateur
Goiás	Goiás
Ohm se wet	Loi d'Ohm
Basilius I die Masedoniër	Basile Ier
Świnoujście	Świnoujście
See van Ochotsk	Mer d'Okhotsk
Johannes I Tzimiskes	Jean Ier Tzimiskès
Amiens	Amiens
Konstantyn IV van Bisantium	Constantin IV
Konstantyn VII van Bisantium	Constantin VII Porphyrogénète
Koljander	Coriandre
Constans II van Bisantium	Constant II
Grondwetlike monargie	Monarchie constitutionnelle
Konstantyn III Herakleios	Constantin III (empereur byzantin)
Leo VI van Bisantium	Léon VI le Sage
Anastasius II van Bisantium	Anastase II (empereur byzantin)
Haifa	Haïfa
Michael III van Bisantium	Michel III (empereur byzantin)
Nikephoros II Phokas	Nicéphore II Phocas
.to	.to
.lv	.lv
Skeerbekmuis	Soricidae
.gh	.gh
Konstantyn V van Bisantium	Constantin V
.mm	.mm
Tiberius III Apsimar	Tibère III
.hk	.hk
Michael II van Bisantium	Michel II (empereur byzantin)
Leo V die Armeen	Léon V l'Arménien
Leo IV die Kasaar	Léon IV le Khazar
Romanos I van Bisantium	Romain Ier Lécapène
Michael I Rangabe	Michel Ier Rhangabé
Konstantyn VI van Bisantium	Constantin VI
Vlag van Indië	Drapeau de l'Inde
Dionysos	Dionysos
Thukydides	Thucydide
Castries	Castries (Sainte-Lucie)
Verenigde State (dubbelsinnig)	États unis (homonymie)
Fujian	Fujian
Hipotese	Hypothèse
.kg	.kg
Vrymesselary	Franc-maçonnerie
.as	.as
Ierse See	Mer d'Irlande
Thrakië	Thrace
Achilles	Achille
Joseph Goebbels	Joseph Goebbels
Klagenfurt	Klagenfurt
.gm	.gm
.gn	.gn
.iq	.iq
.ir	.ir
.gt	.gt
.ga	.ga
.mh	.mh
.ls	.ls
.lu	.lu
Gram	Gramme
80 v.C.	80 av. J.-C.
Kansas City	Kansas City (Missouri)
.tm	.tm
.lb	.lb
Theodosius III van Bisantium	Théodose III
Golf van Aden	Golfe d'Aden
.ph	.ph
.zm	.zm
.uz	.uz
Romanos II van Bisantium	Romain II
.uy	.uy
.sg	.sg
Herakleios van Bisantium	Héraclius
.kr	.kr
.mt	.mt
Hipertensie	Hypertension artérielle
Justinianus I van Bisantium	Justinien
Paul Newman	Paul Newman
Interstellêre medium	Milieu interstellaire
Reims	Reims
61 v.C.	61 av. J.-C.
55ste Oscar-toekenningsaand	55e cérémonie des Oscars
.la	.la
50 v.C.	50 av. J.-C.
.jm	.jm
.pa	.pa
.pe	.pe
Sri Jayawardenepura	Sri Jayawardenapura Kotte
Federale Distrik Oeral	District fédéral de l'Oural
Opper-Oostenryk	Haute-Autriche
Verre-Oosterse Federale Distrik	District fédéral extrême-oriental
Tringa	Tringa
Dokkum	Dokkum
Siberiese Federale Distrik	District fédéral sibérien
Demokritos	Démocrite
Maas	Meuse (fleuve)
.bi	.bi
Talcahuano	Talcahuano
Tahiti	Tahiti
Swart Dood	Peste noire
.nz	.nz
.mc	.mc
Justinianus II van Bisantium	Justinien II
.ml	.ml
.ki	.ki
.tj	.tj
.ly	.ly
Openbaring	Apocalypse
Sjamanisme	Chamanisme
Stollingsgesteente	Roche magmatique
