IAfrika	Afrique
Category:IMelika Enyakatho	Catégorie:Amérique du Nord
Category:I-Osheaniya	Catégorie:Océanie
Category:Amabhendi weMzansi	Catégorie:Groupe de musique sud-africain
The Prodigy	The Prodigy
Category:Izilimi weZimbabwe	Catégorie:Langue du Zimbabwe
Category:IGoli	Catégorie:Johannesburg
Category:Iziqongo eyurobhu	Catégorie:Capitale européenne
Module:URL	Module:URL
Portal:Izilwane	Portail:Zoologie
Category:Izinyuvesi weNingizimu Afrika	Catégorie:Université sud-africaine
Category:ILondon Kakhulu	Catégorie:Grand Londres
Template:Lang-pl	Modèle:Lang-pl
Category:Izifunda wama-Netherlands	Catégorie:Région naturelle des Pays-Bas
Category:Zulu kings	Catégorie:Roi zoulou
Trojany	Trojany (Mazovie)
Category:Izimeya weLondon	Catégorie:Maire de Londres
Template:Yo icon	Modèle:Yo
Template:Lang-oc	Modèle:Lang-oc
Template:Lang-gd	Modèle:En gaélique écossais
Template:Ig icon	Modèle:Ig
Template:Ha icon	Modèle:Ha
Category:Vilnius	Catégorie:Vilnius
Category:Abafundi weBalliol, Oxford	Catégorie:Étudiant de Balliol College
Category:Amalungu waphalamende weConservative (UK)	Catégorie:Député du Parti conservateur (Royaume-Uni)
Category:Iziqhingi we-Afrika	Catégorie:Île d'Afrique
Category:Izinhlobo	Catégorie:Race humaine
Category:Abadlali wama-Beatles	Catégorie:Membre des Beatles
Category:Amalungu waphalamende (UK) 2001–2005	Catégorie:Député du 53e Parlement du Royaume-Uni
Category:Amalungu waphalamende (UK) 2005–2010	Catégorie:Député du 54e Parlement du Royaume-Uni
Template:Image label begin	Modèle:Image label début
Category:Amadolobha kwaXhosa	Catégorie:Ville du Cap-Oriental
Category:Amadolobha	Catégorie:Ville
Category:Izinyuvesi yombuso Ohlangeneyo	Catégorie:Université anglaise
Category:Ubezalwa ngo-1946	Catégorie:Naissance en 1946
Category:Ubezalwa ngo-1924	Catégorie:Naissance en 1924
Category:Ukuzala ngo-1964	Catégorie:Naissance en 1964
Template:Frac	Modèle:Fraction
Template:Start date	Modèle:Date début
Template:Western Cape Province	Modèle:Palette Province Cap-Occidental
Template:Wayback	Modèle:Lien mort archive
Template:Martin Luther	Modèle:Palette Martin Luther
Template:Discogs artist	Modèle:Discogs artiste
Template:Birth year and age	Modèle:Année de naissance et âge
Template:Style/IPA	Modèle:Style/IPA
Template:Style/yid	Modèle:Style/yid
Indlu ye Satyagraha	Satyagraha House
Template:Infobox pageant titleholder	Modèle:Infobox Miss
Module:Yesno	Module:Yesno
Module:Arguments	Module:Arguments
Special:RecentChanges	Spécial:Modifications récentes
Module:List	Module:List
Module:Math	Module:Math
Eve Mayfair	Eve Mayfair
Tiffany Mason	Tiffany Mason
Industrial and Mining Water Research Unit	Industrial and Mining Water Research Unit
