Africa	Afrique
Muchacha pima negonya	Vitesse angulaire
Munyonga	Courbe
Hudonongodzwa	List
Ketamabwe	Pétrologie
Chihara	Gaine
Mukoko	Ruche
Mhiripiri	Piment
Tsanga	Arundo
Nhanga (Muchero)	Citrouille
Francistown	Francistown
Nhunzi	Mouche domestique
Kubundira	Condensation
Betafo	Betafo
Remba	Lemba (peuple)
Ambuya	Aïeul
Mhete	Boucle d'oreille
Caselle Landi	Caselle Landi
Hargeisa	Hargeisa
Hwata	Messager sagittaire
Nelspruit	Nelspruit
Matoro	Zone humide
Avarua	Avarua
Agadir	Agadir
Maun	Maun
Zvombo zvinechefu	Arme biologique
Nhovo	Matelas
Sunflower	Tournesol
Bwato	Canoë
Tsaona	Accident
Hanga	Pintade
Rukuvhute	Cordon ombilical
Gupuko	Molalité
Fosi yeRutondapakati	Force centripète
Nhoozhinji	Polyèdre
Hunzwi	Sens (physiologie)
Bantu	Bantous
Guva	Tombe
Mhumhi	Lycaon (mammifère)
Taramunyongo	Rayon (géométrie)
Bara	Balle (projectile)
Chitsitsinho	Talon (anatomie)
Mukondo	Autorité
Ruwa	Campagne
Kuswedera	Convergence
Toamasina	Toamasina
Rutsuwa rwemagetsi	Isolateur
Rukwarapakati	Force centrifuge
Ruzha	Bruit
Shaya	Mâchoire
Zhumwi	Prisme (solide)
Dhuku	Bandana
Nhanzva	Traîneau
Mudungwe	Queue
Mutemo waPareto	Principe de Pareto
Maungira	Écho (acoustique)
Kano	Kano (Nigeria)
Magonga (taranyika)	Pôle géographique
Ibadan	Ibadan
Shato	Pythonidae
Rhekeni	Catapulte
Gwati (muti)	Écorce
Tlemcen	Tlemcen
Nyamukuta	Sage-femme
Gwee	Galagidae
Chirambo (misandu)	Transition de phase
Pietermaritzburg	Pietermaritzburg
Donhwe	Goutte (physique)
Mukoti	Infirmier
Bota	Bouillie
Constantine, Algeria	Constantine (Algérie)
Lumumbashi	Lubumbashi
Chikuwo	Mode (statistiques)
Idi	Fait
Rovambira	Dendroaspis polylepis
Munda	Champ (agriculture)
Manyene	Chacal à chabraque
Chikwereti	Emprunt (finance)
Abomey	Abomey
Guramakonyo	Diagonale
Harar	Harar
Bhutsu	Botte (chaussure)
Kumhura	Diffamation
Mbonga	Nonne
Mhute	Brume
Madamvura	Hydrophile
Cherechedza	Observation
Gambamutengo	Subvention
Bulawayo	Bulawayo
Mweya (wemunhu)	Esprit (surnaturel)
Dire Dawa	Dire Dawa
Mbabvu	Côte (os)
Chapupu	Témoin
Kuvaviwa	Prurit
Chikupo	Fronde (arme)
Nhamba ndemera	Nombre négatif
Rifa	Héritage (droit)
Hupfumi	Richesse
Rokwe	Robe (vêtement)
Rufu	Rite funéraire
Ziguinchor	Ziguinchor
Avhareji	Moyenne
Bandiko	Secteur circulaire
Chitofu (Kubika)	Poêle (chauffage)
Goma	Goma
Pito	Sifflet
Mutwi	Perpendicularité
Kananga	Kananga
Dendera pa Mineti	Tour par minute
Tafura yekuunga huwandu	Table de multiplication
Vanga	Cicatrice
Rudzindi rwemweya	Traînée
Ruremekedzo	Honneur
Huswa	Gazon
Masvingo eZimbabwe	Monument national du Grand Zimbabwe
Njiva	Columba (genre)
East London	East London
Mbandaka	Mbandaka
Matadi	Matadi
Hudyu	Aine
Dzinza	Clan
Kupambadzirwa	Ductilité
Zera (chizvarwa)	Génération (sociologie)
Kukohwa (kuunganidza)	Récolte
Furo	Mousse (physique)
Mhofu	Éland
Bilda	Blida
Port Harcourt	Port Harcourt
Hungwe	Pygargue vocifer
Hunyoro	Humidité
Mahajanga	Mahajanga
Gondar	Gondar
Antsiranana	Antsiranana
Palestine	Palestine (État)
Chikare (bonde)	Position du missionnaire
Matyamvura	Hydrophobe
Walvis Bay	Walvis Bay
Chapfunga	Bilharziose
Bukavu	Bukavu
Hukama	Relation humaine
Boma	Boma
Muny'atira	Absorption
Gwanza (chivakwa)	GAP
Musunamiswa	Inverse (homonymie)
Mombasa	Mombasa
Hwendedzo	Médium
Dungidzira	Alternative
Chinangwa	AIM
Kusuduruka	Divergence
Chipakati	Médiane (statistiques)
Hwaro (kuvaka)	Foundation
Kushumira	Accouplement (biologie)
Zvinoshandiswa kuchengetedza	Contrôle d'accès
Vavariro	Target
Saga	Saga (homonymie)
Runda	Tendon
Hupombwe	Adultère
Boka (masvomhu)	Set
Varungu	Blanc (humain)
Makumi mapfumbamwe	90 (nombre)
Ngwarati	Hippotrague noir
Mhakure	Cobra égyptien
Kumimina	Filtration
Kutandauka	Expansion
Chiware	Couche
Rukweza	Millet (graminée)
Mutupo	Totem (objet rituel)
Mhomho	Loi 12 du football
Kindu	Kindu
Saint-Louis, Senegal	Saint-Louis (Sénégal)
Mhembwe	Cephalophinae
Kirsty Coventry	Kirsty Coventry
Chiremera	Dignité
Mawere	Pente (mathématiques)
Massawa	Massaoua
Makumi mashanu nena	54 (nombre)
Husvinu	Qualité
Masanga (Panosangana)	Jonction
Hwembwa (bonde)	Levrette (position sexuelle)
Nungu	Hystricidae
Mukunda	Fille (parenté)
Musami	Mirage
Hozhwa	Escargot
Kuronga	Planification
Madora	Ver mopane
Buea	Buéa
Ian Smith	Ian Smith
Rwendo	Journey
Abel Tendekai Muzorewa	Abel Muzorewa
Mukwende	Transport de marchandises
Mbuji-Mayi	Mbujimayi
Benin City	Benin City
Kugunzva	Somesthésie
Mek'ele	Mekele
Mhiri kweMakungwa	Outremer
Muchovha Mota	Mode de transport
Makumi masere nesere	88 (nombre)
Donzvo	Objectif
Rondo	Rondo
Mudida	Taux
Adama	Adama (Éthiopie)
Mukova	Threshold
Hufombwe	Concavité
Mhene (mhuka)	Raphicerus campestris
Kugera	Rasage
Kuchepa	Norme et standard techniques
Chiva	Vipère heurtante
George, Western Cape	George (Cap-Occidental)
Bonga-musakwani	Vipère du Gabon
Kunyenga	Parade nuptiale
Chibeto	Tamis
Nyanzvi	Expert
Mukombe	Trophée
Kadoma	Kadoma
Jimma	Jimma
Dziva	Pool
Kumbanidza	Combiné
Agordat	Agordat
Murayiro	Instruction
Chipandwa	Clue
Chitungwiza	Chitungwiza
Gweru	Gweru
Mutare	Mutare
Laghouat	Laghouat
America	America
Kusunda	Push
Kuyangarara	Float
Mhango	Cavité
Kunze	Outside (homonymie)
Murandu	Fine
Rumazvitinhura	Automatic
Mbadzi	Slice
Kutsveyama	Tilt
Kuenzana chikero	Equilibrium
Kududza	Cahier des charges
Humba	Potamochoerus larvatus
Makumi mapfumbamwe nepfumbamwe	99 (nombre)
Mashonaland West	Mashonaland occidental
Bhuku raMormoni	Livre de Mormon
Bahir Dar	Baher Dar
Manicaland	Manicaland
Mahusekwa	Mashonaland oriental
Salé	Salé
Joshua Nkomo	Joshua Nkomo
Nyota	Soif
Chenza (kutodza)	Image
Chiso (Chiumbwa)	Surface (géométrie)
Hutong'o	Ténacité
Chipika	Col (vêtement)
Edinburgh of the Seven Seas	Edinburgh of the Seven Seas
Nyemba	Vigna unguiculata
Maguta emuZimbabwe	Villes du Zimbabwe
Chinyamudzura	Aigle martial
Ngerulmud	Ngerulmud
Butembo	Butembo
Tôlanaro	Tôlanaro
Fianarantsoa	Fianarantsoa
Bamenda	Bamenda
Alfred Bitini Xuma	Alfred Xuma
Keren, Eritrea	Keren
Kuputsa	Shatter
Kusuma	Inform (programmation)
Mongo	Moelle osseuse
Ishwa	Termite
Yeuka	Remember
Waya	Fil métallique
Yunivhesiti yeZimbabwe	Université du Zimbabwe
Antsirabe	Antsirabe
Okahandja	Okahandja
Thiès	Thiès
Mudzi wenhamba	Racine d'un nombre
Chingaira	Aigle de Wahlberg
Queenstown, Eastern Cape	Queenstown (Cap-Oriental)
Gungano renhenderedzi	Concentricité
Kusamhura	Calcul (mathématiques)
Chengu	Alcelaphus buselaphus
Ngururu	Oréotrague
Dhumukwa	Kobus ellipsiprymnus
Tsumeb	Tsumeb
Atafu	Atafu
Bunia	Bunia
Mushandi	Emploi
Touba, Senegal	Touba (Sénégal)
Kuwurutsa	Tarare (machine)
Muganhu	Boundary
Homwe	Types de dépôts bancaires
Kuyaruka	Cérémonie de la majorité
Kunatsa	Raffinage
Makumi mashanu neshanu	55 (nombre)
Parakou	Parakou
Bhuru	Taureau
Georgetown (Ascension Island)	Georgetown (Ascension)
Nyamuragira	Nyamuragira
Makumi masere	80 (nombre)
Makumi maviri nembiri	22 (nombre)
Makumi manomwe	70 (nombre)
Makumi mashanu	50 (nombre)
Makumi matatu nenhatu	33 (nombre)
Makumi mana nena	44 (nombre)
Makumi matanhatu nenhanhatu	66 (nombre)
Makumi manomwe nenomwe	77 (nombre)
Mazana maviri	200 (nombre)
Zana negumi	110 (nombre)
Madirano eNzizi	Confluent
Ambhuya	Belle-mère
Bandundu (city)	Bandundu (ville)
Mabharani	Commis
Mutowo	Méthode
Randfontein	Randfontein
Ngaoundéré	Ngaoundéré
Nhova	Fontanelle
Dessie	Dessie
Jijiga	Djidjiga
Awasa	Awasa
Roora	Prix de la fiancée
Chinhoyi	Chinhoyi
Bangassou	Bangassou
Beitbridge	Beitbridge
SADC	Communauté de développement d'Afrique australe
Beni	Beni (ville)
Toliara	Toliara
Chishanu (mhoresa)	Poignée de main
Kumbumba	Let There Be Rock
Hupfu	Farine de maïs
Banda	Civière
Calabar	Calabar
Zvinyanye	Extremum
Rukodzi	Buse (oiseau)
Musarirwa	Reste
Kaolack	Kaolack
Bhachi	Veste
Ouidah	Ouidah
Ndiro (midziyo)	Vaisselle
Serowe	Serowe
Kudzinda	Réluctance
Chimukuyu	Biltong
Bindura guta	Bindura
Morondava	Morondava
Birchenough Bridge	Pont de Birchenough
Rukanda runosarura zvinobvinina	Membrane hémiperméable
Djougou	Djougou
Hukoshi	Valeur (économie)
Gongo	Clitoris
Ladysmith, KwaZulu-Natal	Ladysmith (Afrique du Sud)
Boka	Groupe social
Bossangoa	Bossangoa
Chivhuni	Fragilité
Kudzimurira	Contrôle de gestion
Maunga huwandu	Produit (mathématiques)
Mhandamabwe	Concasseur
Uvira	Uvira
Chinokoro	Scoop
Kurega basa	Retraite (économie)
Duwo	Nasse
Mukuwasha	Alliance (famille)
Rusero	Van (agriculture)
Gonzalo da Silveira	Gonçalo da Silveira
Oliver Mtukudzi	Oliver Mtukudzi
Tiburon	Tiburon (Californie)
Grootfontein	Grootfontein
Chubhu dzinotakura ropa	Vaisseau sanguin
Rusape	Rusape
Otjiwarongo	Otjiwarongo
Germiston	Germiston
Natitingou	Natitingou
Norton, Zimbabwe	Norton (Zimbabwe)
Karoi	Karoi
Klerksdorp	Klerksdorp
Rufisque	Rufisque
M'Bour	M'bour
Marondera	Marondera
Dekemhare	Dekemhare
Mthatha	Mthatha
Worcester, Western Cape	Worcester (Afrique du Sud)
Newcastle, KwaZulu-Natal	Newcastle (Afrique du Sud)
Dumbu	Estomac
Bimha	Redunca
Mambara	Gangue
Chegutu	Chegutu
Tonderai	Nom personnel
Chiredzi	Chiredzi
Bindu	Jardin
Coloureds	Coloured
Njodzi	Danger
Muteremuko	Pente (topographie)
Muururo	Tarière
Mhiko	Vœu
MDC	Mouvement pour le changement démocratique
Zimbabwean presidential election, 2008	Élection présidentielle zimbabwéenne de 2008
Zingizi	Xylocopa
Zhumwi regonyonhatu	Prisme triangulaire
Nhamba Ndandira	Signe (arithmétique)
Bape	Feuille (homonymie)
Ketamukadzi	Gynécologie
Govaniso	Division
Chidavado	Décoration
Nhamba svinu	Nombre rationnel
Rwodzi	Liber (biologie)
Dowokadzi	Ovule
Humbowo	Évidence
Puranga	Planche (bois)
Bvinina	Percolation
Hwabvu	Lèvres vaginales
Makonyo Mhirikano	Angles supplémentaires
Muchovha Masvomhu	Vecteur (homonymie)
Mhemberero	Jour férié
Category:Vietnam	Catégorie:Viêt Nam
Category:Madzinde	Catégorie:Plante
Category:Fundoyetsimba	Catégorie:Physique
Category:Chezvipenyu	Catégorie:Biologie
Category:Chemishonga	Catégorie:Chimie
Category:Taranyika	Catégorie:Géographie
Category:Chinamato	Catégorie:Religion
Richards Bay	Richards Bay
Mhitsa dzehondo	Superpuissance
Giyani	Giyani
Chinyakamwe	Simultané
Mutoro	Load
Nzwisa	Échantillon
Herbert Chitepo	Herbert Chitepo
Chidzikwe	Standard
Katahwi	Hymen (biologie)
El Oued	El Oued
Tsika yezvinzvimbo zvenhamba	Notation positionnelle
Bundutso	Procédé industriel
Kukavanisa	Variégation
Nyundwa	Croupe
Zanu-PF	Union nationale africaine du Zimbabwe - Front patriotique
Dowera (nyoka)	Pseudaspis cana
Middelburg, Mpumalanga	Middelburg (Mpumalanga)
Chanza	Paume
Goronga	Fossé (infrastructure)
Dare reMabhuyo	Parlement du Zimbabwe
Gondo	Aigle
Kudoma	Spécification (norme technique)
Rwizi Pungwe	Pungue
Belon'i Tsiribihina	Belon'i Tsiribihina
Jongwe	Coq
Nyamafingu	Cobra
Bohicon	Bohicon
Rudyi	Latéralité
Sabata	Sabbat (christianisme)
Tsono (zviridzwa)	Style (écriture)
Chigaro (chokugara)	Siège (meuble)
Tsanga (Dzinde)	Roseau
Chisuvi	Apex (géométrie)
Category:Tsika	Catégorie:Culture
Category:Ziwumbe	Catégorie:Continent
Hata (chiumbwa)	Bobine (électricité)
Bumbiro	Collection
Zviperengo zvehuwandu	Ensemble de nombres
Mtarazi Falls	Mutarazi Falls
Nyungudika	Dissolution (chimie)
Chiguro	Profit (homonymie)
Josiah Tongogara	Josiah Tongogara
Tsapfu	Mollet
Hukukutu	Dureté (matériau)
Ganda	Race humaine
Chaunga (nhamba)	Multiple
Dumba	Pyramide
Mhiriko	Supplémentaire
Yambiro	Warning
Dzihwa	Mucus
Category:Wikipedia bots	Catégorie:Bot Wikipédia
Hutapiri	Concentrer (chimie)
Spidhi	Vitesse
Dhadha	Canard
Akiso	Symétrie axiale
Template:Tl	Modèle:M
Category:Muviri	Catégorie:Anatomie
Category:Hurapi	Catégorie:Médecine
Category:Dzidzo	Catégorie:Éducation
Mutsindo	Impact (mécanique)
Egypt	Égypte
Template:Bot	Modèle:Bot
Canada	Canada
Nzenda	Dimension
Denga (raMwari)	Ciel (religion)
Category:Europe	Catégorie:Europe
Template:Documentation	Modèle:Documentation
Nhengo dzesikarudzi	Organe sexuel
Category:User languages	Catégorie:Wikipédiens par langue
Sung Jae-ki	Sung Jae-ki
Template:Softredirect	Modèle:Redirection douce
Template:Delete	Modèle:Suppression Immédiate
Kugocha	Rôtissage
Category:Wikipedia	Catégorie:Wikipédia
Wikipedia:General disclaimer	Wikipédia:Avertissements généraux
Wikipedia:Statistics	Wikipédia:Statistiques
Template:Navbox	Modèle:Méta palette de navigation
Template:!	Modèle:!
Template:!-	Modèle:!-
Template:Nowrap	Modèle:Nobr
Template:Bots	Modèle:Bots
Category:Africa	Catégorie:Afrique
Category:Zviperengo Zvehuwandu	Catégorie:Nombre
Category:Bhaibheri	Catégorie:Bible
Template:Babel	Modèle:Boîte Babel
Template:User af-1	Modèle:Utilisateur af-1
Template:User als-1	Modèle:Utilisateur als-1
Template:User ar-1	Modèle:Utilisateur ar-1
Template:User ast-1	Modèle:Utilisateur ast-1
Template:User az	Modèle:Utilisateur az
Template:User bar-1	Modèle:Utilisateur bar-1
Template:User eo-1	Modèle:Utilisateur eo-1
Template:User da-2	Modèle:Utilisateur da-2
Template:User da	Modèle:Utilisateur da
Template:User ca-1	Modèle:Utilisateur ca-1
Template:User ca-4	Modèle:Utilisateur ca-4
Template:User be-2	Modèle:Utilisateur be-2
Template:User da-1	Modèle:Utilisateur da-1
Template:User cs-1	Modèle:Utilisateur cs-1
Template:User bg-1	Modèle:Utilisateur bg-1
Template:User eo-3	Modèle:Utilisateur eo-3
Template:User de	Modèle:Utilisateur de
Template:User de-1	Modèle:Utilisateur de-1
Template:User el	Modèle:Utilisateur el
Template:User es	Modèle:Utilisateur es
Template:User de-3	Modèle:Utilisateur de-3
Template:User en-3	Modèle:Utilisateur en-3
Template:User el-1	Modèle:Utilisateur el-1
Template:User en-1	Modèle:Utilisateur en-1
Template:User en-2	Modèle:Utilisateur en-2
Template:User eo-2	Modèle:Utilisateur eo-2
Template:User en-4	Modèle:Utilisateur en-4
Template:User en-0	Modèle:Utilisateur en-0
Template:User es-4	Modèle:Utilisateur es-4
Template:User en	Modèle:Utilisateur en
Template:User de-2	Modèle:Utilisateur de-2
Template:User es-1	Modèle:Utilisateur es-1
Template:User sk	Modèle:Utilisateur sk
Template:User tr	Modèle:Utilisateur tr
Category:User uk	Catégorie:Utilisateur uk
Category:User uk-N	Catégorie:Utilisateur uk-M
Template:Mod	Modèle:Mod
Template:User uk	Modèle:Utilisateur uk
Template:User es-2	Modèle:Utilisateur es-2
Template:Africa	Modèle:Palette Pays d'Afrique
Template:Max	Modèle:Max
Template:Navbox with columns	Modèle:Méta palette de navigation avec colonnes
Template:Location map	Modèle:Carte avec géolocalisation
Category:User en-4	Catégorie:Utilisateur en-4
Category:User en	Catégorie:Utilisateur en
Category:User en-2	Catégorie:Utilisateur en-2
Template:Protected title	Modèle:Titre protégé
Template:GeoTemplate	Modèle:GeoTemplate
Category:Kurima	Catégorie:Agriculture
Template:About	Modèle:Autre4
Wikipedia:Nospam	Wikipédia:Pages protégées à la création
Murairidzi	Moniteur-éducateur
Template:User lt	Modèle:Utilisateur lt
Template:Kujekesa	Modèle:Homonymie
Template:Convert	Modèle:Conversion
Template:Citation/make link	Modèle:Citation/make link
Category:Gonyazhinji	Catégorie:Polygone
Template:Europe	Modèle:Palette Pays d'Europe
Category:User az	Catégorie:Utilisateur az
Category:User be	Catégorie:Utilisateur be
Category:User sk	Catégorie:Utilisateur sk
Category:User eo	Catégorie:Utilisateur eo
Category:User lt	Catégorie:Utilisateur lt
Category:User cs-1	Catégorie:Utilisateur cs-1
Category:User da-1	Catégorie:Utilisateur da-1
Category:User ar-1	Catégorie:Utilisateur ar-1
Category:User be-2	Catégorie:Utilisateur be-2
Category:User da-2	Catégorie:Utilisateur da-2
Category:User lt-N	Catégorie:Utilisateur lt-M
Category:User af	Catégorie:Utilisateur af
Category:User af-1	Catégorie:Utilisateur af-1
Category:User als	Catégorie:Utilisateur als
Category:User als-1	Catégorie:Utilisateur als-1
Category:User ar	Catégorie:Utilisateur ar
Category:User ast	Catégorie:Utilisateur ast
Category:User ast-1	Catégorie:Utilisateur ast-1
Category:User az-N	Catégorie:Utilisateur az-M
Category:User bar	Catégorie:Utilisateur bar
Category:User bar-1	Catégorie:Utilisateur bar-1
Category:User bg	Catégorie:Utilisateur bg
Category:User bg-1	Catégorie:Utilisateur bg-1
Category:User ca	Catégorie:Utilisateur ca
Category:User ca-1	Catégorie:Utilisateur ca-1
Category:User ca-4	Catégorie:Utilisateur ca-4
Category:User cs	Catégorie:Utilisateur cs
Category:User da	Catégorie:Utilisateur da
Category:User sk-N	Catégorie:Utilisateur sk-M
Category:User de	Catégorie:Utilisateur de
Category:User de-2	Catégorie:Utilisateur de-2
Category:User de-3	Catégorie:Utilisateur de-3
Category:User el	Catégorie:Utilisateur el
Category:User el-1	Catégorie:Utilisateur el-1
Category:User el-N	Catégorie:Utilisateur el-M
Category:User en-3	Catégorie:Utilisateur en-3
Category:User en-N	Catégorie:Utilisateur en-M
Category:User eo-1	Catégorie:Utilisateur eo-1
Category:User eo-2	Catégorie:Utilisateur eo-2
Category:User eo-3	Catégorie:Utilisateur eo-3
Category:User es	Catégorie:Utilisateur es
Category:User es-1	Catégorie:Utilisateur es-1
Category:User es-2	Catégorie:Utilisateur es-2
Category:User es-4	Catégorie:Utilisateur es-4
Category:User es-N	Catégorie:Utilisateur es-M
Category:Pimanzvimbo	Catégorie:Géométrie
Template:Weather box	Modèle:Climat
Chamhembe kwakadziva kumabvazuva	Sud-Est
Template:Sup	Modèle:Exp
Simudzo	Flottabilité
Ruchiva	Luxure
Category:Hushangazhi	Catégorie:Industrie
Category:User tr	Catégorie:Utilisateur tr
Category:User tr-N	Catégorie:Utilisateur tr-M
Template:•	Modèle:•
Category:Rwizi	Catégorie:Rivière
Category:Zimbabwe	Catégorie:Zimbabwe
Paradise Cay	Paradise Cay (Californie)
Category:Musangano	Catégorie:Parti politique
Category:Mhuka	Catégorie:Animal
Category:Dzemuzongoza	Catégorie:Vertébré
Category:Zvombo	Catégorie:Arme
Category:Zvipfeko	Catégorie:Vêtement
Category:Mhuri	Catégorie:Famille
Category:Chitendero	Catégorie:Croyance
Category:Nyoka	Catégorie:Serpent
Category:North America	Catégorie:Amérique du Nord
Template:Masvomhu	Modèle:Palette Domaines des mathématiques
Template:Fundoyetsimba	Modèle:Palette Branches de la physique
Category:Nzwimbo	Catégorie:Lieu
Template:Coord/display/inline,title	Modèle:Coord/display/inline,title
Category:Huwandu	Catégorie:Arithmétique
Category:Bhuku Ramorimoni	Catégorie:Livre de Mormon
Category:Jekanyika	Catégorie:Géodésie
Kuhamba	Mouvement
Igo	Guêpe
Category:User en-1	Catégorie:Utilisateur en-1
Category:User de-1	Catégorie:Utilisateur de-1
Category:User da-N	Catégorie:Utilisateur da-M
KwaDukuza	KwaDukuza
Template:Babel field *	Modèle:Babel field *
Nhutirwa	Intrant
Mutauro wePasirose	Langue internationale
Template:Location map~	Modèle:Carte position~
Kukangaridza	Exposé
Template:Location map+	Modèle:Location map+
Bhucha	Boucherie
Imba yeSatyagraha	Satyagraha House
Module:Documentation	Module:Documentation
Module:Yesno	Module:Yesno
Module:Arguments	Module:Arguments
Special:RecentChanges	Spécial:Modifications récentes
Module:Citation/CS1	Module:Biblio
Module:TableTools	Module:TableTools
Module:Coordinates	Module:Coordinates
Module:Math	Module:Math
Module:Infobox	Module:Infobox
Module:Location map	Module:Carte
Gusi	Oie
